[Epoch 1] lr=1.2e-05 loss(train_avg)=6.919 val_top1=322/50000 (0.0064) val_top5=0.0247 val_loss=6.7495  [1002.6s train, 31.5s val]
[Epoch 2] lr=2.5e-05 loss(train_avg)=6.857 val_top1=338/50000 (0.0068) val_top5=0.0281 val_loss=6.6887  [900.1s train, 17.7s val]
[Epoch 3] lr=3.8e-05 loss(train_avg)=6.803 val_top1=651/50000 (0.013) val_top5=0.0474 val_loss=6.5203  [900.0s train, 17.6s val]
[Epoch 4] lr=5e-05 loss(train_avg)=6.71 val_top1=1168/50000 (0.0234) val_top5=0.0779 val_loss=6.2803  [899.1s train, 17.7s val]
[Epoch 5] lr=6.3e-05 loss(train_avg)=6.5954 val_top1=1914/50000 (0.0383) val_top5=0.1138 val_loss=5.9948  [899.2s train, 17.6s val]
[Epoch 6] lr=7.5e-05 loss(train_avg)=6.4554 val_top1=3239/50000 (0.0648) val_top5=0.1787 val_loss=5.6232  [899.3s train, 17.6s val]
[Epoch 7] lr=8.7e-05 loss(train_avg)=6.2962 val_top1=5268/50000 (0.1054) val_top5=0.2537 val_loss=5.2016  [900.0s train, 17.6s val]
[Epoch 8] lr=0.0001 loss(train_avg)=6.1306 val_top1=7511/50000 (0.1502) val_top5=0.3319 val_loss=4.7782  [899.0s train, 17.7s val]
[Epoch 9] lr=0.000112 loss(train_avg)=5.9363 val_top1=9975/50000 (0.1995) val_top5=0.4129 val_loss=4.3402  [898.9s train, 17.6s val]
[Epoch 10] lr=0.000125 loss(train_avg)=5.7513 val_top1=12817/50000 (0.2563) val_top5=0.4901 val_loss=3.9037  [898.7s train, 17.7s val]
[Epoch 11] lr=0.000137 loss(train_avg)=5.5664 val_top1=15656/50000 (0.3131) val_top5=0.5601 val_loss=3.5037  [898.9s train, 17.6s val]
[Epoch 12] lr=0.00015 loss(train_avg)=5.3924 val_top1=18388/50000 (0.3678) val_top5=0.6197 val_loss=3.1596  [898.8s train, 17.6s val]
[Epoch 13] lr=0.000163 loss(train_avg)=5.2282 val_top1=20863/50000 (0.4173) val_top5=0.6693 val_loss=2.8655  [898.8s train, 17.6s val]
[Epoch 14] lr=0.000175 loss(train_avg)=5.0793 val_top1=22908/50000 (0.4582) val_top5=0.7084 val_loss=2.6277  [898.9s train, 17.7s val]
[Epoch 15] lr=0.000188 loss(train_avg)=4.9303 val_top1=24611/50000 (0.4922) val_top5=0.7365 val_loss=2.4355  [899.0s train, 17.6s val]
[Epoch 16] lr=0.0002 loss(train_avg)=4.818 val_top1=26098/50000 (0.522) val_top5=0.7628 val_loss=2.2625  [899.0s train, 17.6s val]
[Epoch 17] lr=0.000213 loss(train_avg)=4.7271 val_top1=27498/50000 (0.55) val_top5=0.7878 val_loss=2.0894  [899.1s train, 17.6s val]
[Epoch 18] lr=0.000225 loss(train_avg)=4.6533 val_top1=28766/50000 (0.5753) val_top5=0.8087 val_loss=1.9471  [898.8s train, 17.6s val]
[Epoch 19] lr=0.000238 loss(train_avg)=4.59 val_top1=29831/50000 (0.5966) val_top5=0.8251 val_loss=1.8392  [898.9s train, 17.7s val]
[Epoch 20] lr=0.00025 loss(train_avg)=4.5329 val_top1=30757/50000 (0.6151) val_top5=0.8388 val_loss=1.7402  [898.9s train, 17.7s val]
[Epoch 21] lr=0.00025 loss(train_avg)=4.4675 val_top1=31638/50000 (0.6328) val_top5=0.8517 val_loss=1.6513  [898.7s train, 17.6s val]
[Epoch 22] lr=0.00025 loss(train_avg)=4.4112 val_top1=32345/50000 (0.6469) val_top5=0.8616 val_loss=1.5723  [899.3s train, 17.6s val]
[Epoch 23] lr=0.00025 loss(train_avg)=4.3615 val_top1=33060/50000 (0.6612) val_top5=0.8695 val_loss=1.5119  [898.8s train, 17.6s val]
[Epoch 24] lr=0.00025 loss(train_avg)=4.3127 val_top1=33579/50000 (0.6716) val_top5=0.8764 val_loss=1.4597  [899.2s train, 18.2s val]
[Epoch 25] lr=0.00025 loss(train_avg)=4.2737 val_top1=34008/50000 (0.6802) val_top5=0.8831 val_loss=1.4167  [899.0s train, 17.8s val]
[Epoch 26] lr=0.00025 loss(train_avg)=4.2239 val_top1=34366/50000 (0.6873) val_top5=0.8875 val_loss=1.3796  [898.9s train, 17.6s val]
[Epoch 27] lr=0.00025 loss(train_avg)=4.1883 val_top1=34728/50000 (0.6946) val_top5=0.8909 val_loss=1.3468  [899.0s train, 17.6s val]
[Epoch 28] lr=0.000249 loss(train_avg)=4.1787 val_top1=35033/50000 (0.7007) val_top5=0.8945 val_loss=1.3191  [898.7s train, 17.6s val]
[Epoch 29] lr=0.000249 loss(train_avg)=4.1573 val_top1=35281/50000 (0.7056) val_top5=0.8983 val_loss=1.295  [898.6s train, 17.6s val]
[Epoch 30] lr=0.000249 loss(train_avg)=4.1102 val_top1=35573/50000 (0.7115) val_top5=0.9014 val_loss=1.2711  [898.3s train, 17.6s val]
[Epoch 31] lr=0.000249 loss(train_avg)=4.0962 val_top1=35791/50000 (0.7158) val_top5=0.9043 val_loss=1.2509  [898.5s train, 17.7s val]
[Epoch 32] lr=0.000249 loss(train_avg)=4.0827 val_top1=35986/50000 (0.7197) val_top5=0.907 val_loss=1.2326  [898.7s train, 17.6s val]
[Epoch 33] lr=0.000249 loss(train_avg)=4.0465 val_top1=36124/50000 (0.7225) val_top5=0.9095 val_loss=1.2166  [898.4s train, 17.6s val]
[Epoch 34] lr=0.000248 loss(train_avg)=4.0281 val_top1=36331/50000 (0.7266) val_top5=0.9111 val_loss=1.2011  [898.6s train, 17.6s val]
[Epoch 35] lr=0.000248 loss(train_avg)=4.0154 val_top1=36545/50000 (0.7309) val_top5=0.9126 val_loss=1.1852  [898.6s train, 17.6s val]
[Epoch 36] lr=0.000248 loss(train_avg)=3.9979 val_top1=36618/50000 (0.7324) val_top5=0.9147 val_loss=1.1715  [898.6s train, 17.7s val]
[Epoch 37] lr=0.000248 loss(train_avg)=3.9811 val_top1=36755/50000 (0.7351) val_top5=0.9163 val_loss=1.1587  [898.5s train, 17.7s val]
[Epoch 38] lr=0.000247 loss(train_avg)=3.9644 val_top1=36881/50000 (0.7376) val_top5=0.9173 val_loss=1.1463  [898.4s train, 17.6s val]
[Epoch 39] lr=0.000247 loss(train_avg)=3.9545 val_top1=36992/50000 (0.7398) val_top5=0.9188 val_loss=1.1366  [898.4s train, 17.6s val]
[Epoch 40] lr=0.000247 loss(train_avg)=3.9441 val_top1=37086/50000 (0.7417) val_top5=0.9198 val_loss=1.1281  [898.4s train, 17.7s val]
[Epoch 41] lr=0.000247 loss(train_avg)=3.9293 val_top1=37194/50000 (0.7439) val_top5=0.9215 val_loss=1.1199  [898.7s train, 17.6s val]
[Epoch 42] lr=0.000246 loss(train_avg)=3.9234 val_top1=37279/50000 (0.7456) val_top5=0.9225 val_loss=1.1122  [898.5s train, 17.8s val]
[Epoch 43] lr=0.000246 loss(train_avg)=3.8858 val_top1=37368/50000 (0.7474) val_top5=0.9233 val_loss=1.1022  [898.3s train, 17.6s val]
[Epoch 44] lr=0.000245 loss(train_avg)=3.9093 val_top1=37448/50000 (0.749) val_top5=0.9242 val_loss=1.0951  [897.6s train, 17.7s val]
[Epoch 45] lr=0.000245 loss(train_avg)=3.8943 val_top1=37544/50000 (0.7509) val_top5=0.925 val_loss=1.0878  [898.3s train, 17.6s val]
[Epoch 46] lr=0.000245 loss(train_avg)=3.8659 val_top1=37580/50000 (0.7516) val_top5=0.9265 val_loss=1.0812  [898.4s train, 17.6s val]
[Epoch 47] lr=0.000244 loss(train_avg)=3.8406 val_top1=37677/50000 (0.7535) val_top5=0.9267 val_loss=1.0748  [898.4s train, 17.6s val]
[Epoch 48] lr=0.000244 loss(train_avg)=3.8472 val_top1=37736/50000 (0.7547) val_top5=0.9268 val_loss=1.0684  [897.4s train, 17.7s val]
[Epoch 49] lr=0.000243 loss(train_avg)=3.8306 val_top1=37800/50000 (0.756) val_top5=0.9272 val_loss=1.0609  [897.6s train, 17.6s val]
[Epoch 50] lr=0.000243 loss(train_avg)=3.8261 val_top1=37859/50000 (0.7572) val_top5=0.9287 val_loss=1.0558  [900.1s train, 17.6s val]
[Epoch 51] lr=0.000243 loss(train_avg)=3.8125 val_top1=37919/50000 (0.7584) val_top5=0.9291 val_loss=1.05  [903.7s train, 17.7s val]
[Epoch 52] lr=0.000242 loss(train_avg)=3.808 val_top1=38003/50000 (0.7601) val_top5=0.9297 val_loss=1.0445  [898.9s train, 17.6s val]
[Epoch 53] lr=0.000242 loss(train_avg)=3.8142 val_top1=38063/50000 (0.7613) val_top5=0.9303 val_loss=1.0389  [898.5s train, 17.6s val]
[Epoch 54] lr=0.000241 loss(train_avg)=3.7932 val_top1=38128/50000 (0.7626) val_top5=0.931 val_loss=1.0347  [898.5s train, 17.7s val]
[Epoch 55] lr=0.00024 loss(train_avg)=3.8053 val_top1=38149/50000 (0.763) val_top5=0.9309 val_loss=1.0313  [898.6s train, 17.6s val]
[Epoch 56] lr=0.00024 loss(train_avg)=3.7776 val_top1=38202/50000 (0.764) val_top5=0.9319 val_loss=1.0279  [898.6s train, 17.6s val]
[Epoch 57] lr=0.000239 loss(train_avg)=3.7788 val_top1=38259/50000 (0.7652) val_top5=0.9326 val_loss=1.0247  [898.6s train, 17.7s val]
[Epoch 58] lr=0.000239 loss(train_avg)=3.7613 val_top1=38330/50000 (0.7666) val_top5=0.933 val_loss=1.0191  [898.3s train, 17.6s val]
[Epoch 59] lr=0.000238 loss(train_avg)=3.7574 val_top1=38350/50000 (0.767) val_top5=0.9337 val_loss=1.0137  [898.5s train, 17.8s val]
[Epoch 60] lr=0.000238 loss(train_avg)=3.7642 val_top1=38400/50000 (0.768) val_top5=0.9343 val_loss=1.0096  [898.2s train, 17.6s val]
[Epoch 61] lr=0.000237 loss(train_avg)=3.7611 val_top1=38487/50000 (0.7697) val_top5=0.9341 val_loss=1.0064  [898.4s train, 20.7s val]
