[Epoch 76] lr=0.001195 loss(train_avg)=0.0033 val_top1=36124/49664 (0.7274) val_top5=0.9099 val_loss=1.1927  [580.0s train, 16.9s val]
[Epoch 77] lr=0.001102 loss(train_avg)=0.0033 val_top1=36277/49664 (0.7304) val_top5=0.911 val_loss=1.2081  [545.2s train, 12.4s val]
[Epoch 78] lr=0.001013 loss(train_avg)=0.0033 val_top1=36436/49664 (0.7337) val_top5=0.912 val_loss=1.178  [546.0s train, 12.4s val]
[Epoch 79] lr=0.000927 loss(train_avg)=0.0032 val_top1=36760/49664 (0.7402) val_top5=0.9169 val_loss=1.1347  [546.3s train, 12.6s val]
[Epoch 80] lr=0.000844 loss(train_avg)=0.0032 val_top1=36899/49664 (0.743) val_top5=0.9191 val_loss=1.1343  [546.2s train, 12.4s val]
[Epoch 81] lr=0.000764 loss(train_avg)=0.0032 val_top1=37068/49664 (0.7464) val_top5=0.9214 val_loss=1.1114  [544.9s train, 12.3s val]
[Epoch 82] lr=0.000688 loss(train_avg)=0.0031 val_top1=37180/49664 (0.7486) val_top5=0.9214 val_loss=1.0953  [545.3s train, 12.4s val]
[Epoch 83] lr=0.000616 loss(train_avg)=0.0031 val_top1=37394/49664 (0.7529) val_top5=0.9234 val_loss=1.1119  [545.4s train, 12.4s val]
[Epoch 84] lr=0.000547 loss(train_avg)=0.0032 val_top1=37504/49664 (0.7552) val_top5=0.9248 val_loss=1.0926  [545.3s train, 12.3s val]
[Epoch 85] lr=0.000482 loss(train_avg)=0.0031 val_top1=37560/49664 (0.7563) val_top5=0.9262 val_loss=1.0693  [545.9s train, 12.5s val]
[Epoch 86] lr=0.000421 loss(train_avg)=0.0031 val_top1=37678/49664 (0.7587) val_top5=0.9272 val_loss=1.0493  [543.9s train, 12.3s val]
[Epoch 87] lr=0.000364 loss(train_avg)=0.0031 val_top1=37693/49664 (0.759) val_top5=0.9284 val_loss=1.0503  [544.1s train, 12.4s val]
[Epoch 88] lr=0.000311 loss(train_avg)=0.003 val_top1=37831/49664 (0.7617) val_top5=0.9288 val_loss=1.0484  [544.1s train, 12.4s val]
[Epoch 89] lr=0.000262 loss(train_avg)=0.003 val_top1=38013/49664 (0.7654) val_top5=0.93 val_loss=1.0298  [544.2s train, 12.3s val]
[Epoch 90] lr=0.000217 loss(train_avg)=0.003 val_top1=38081/49664 (0.7668) val_top5=0.9307 val_loss=1.0244  [544.5s train, 12.3s val]
[Epoch 91] lr=0.000176 loss(train_avg)=0.0031 val_top1=38168/49664 (0.7685) val_top5=0.9323 val_loss=1.0219  [543.6s train, 12.2s val]
[Epoch 92] lr=0.000139 loss(train_avg)=0.0031 val_top1=38142/49664 (0.768) val_top5=0.9324 val_loss=1.0145  [543.7s train, 12.3s val]
[Epoch 93] lr=0.000107 loss(train_avg)=0.0031 val_top1=38178/49664 (0.7687) val_top5=0.9332 val_loss=1.0239  [543.8s train, 12.5s val]
[Epoch 94] lr=7.9e-05 loss(train_avg)=0.003 val_top1=38290/49664 (0.771) val_top5=0.9334 val_loss=1.0225  [543.6s train, 12.3s val]
[Epoch 95] lr=5.5e-05 loss(train_avg)=0.003 val_top1=38316/49664 (0.7715) val_top5=0.9331 val_loss=0.9944  [543.0s train, 12.3s val]
[Epoch 96] lr=3.5e-05 loss(train_avg)=0.003 val_top1=38279/49664 (0.7708) val_top5=0.9331 val_loss=1.0077  [543.9s train, 12.2s val]
[Epoch 97] lr=2e-05 loss(train_avg)=0.003 val_top1=38336/49664 (0.7719) val_top5=0.9335 val_loss=1.0135  [543.2s train, 12.2s val]
[Epoch 98] lr=9e-06 loss(train_avg)=0.003 val_top1=38320/49664 (0.7716) val_top5=0.9332 val_loss=1.0104  [541.7s train, 12.3s val]
[Epoch 99] lr=2e-06 loss(train_avg)=0.003 val_top1=38347/49664 (0.7721) val_top5=0.9333 val_loss=1.0133  [541.4s train, 12.2s val]
[Epoch 100] lr=0.0 loss(train_avg)=0.0031 val_top1=38352/49664 (0.7722) val_top5=0.9334 val_loss=1.009  [541.3s train, 12.2s val]
