sigma,img_idx,label,pred,abstain,radius,count,n
0.500000,0,3,3,0,0.295904,7450,10112
0.500000,1,8,8,0,0.479856,8523,10112
0.500000,2,8,8,0,0.287399,7393,10112
0.500000,3,0,0,1,0.000000,5103,10112
0.500000,4,6,6,0,0.493162,8588,10112
0.500000,5,6,6,0,1.277880,10080,10112
0.500000,6,1,1,0,0.534547,8779,10112
0.500000,7,6,6,0,0.631669,9162,10112
0.500000,8,3,3,0,0.458883,8417,10112
0.500000,9,1,1,0,0.111068,6098,10112
0.500000,10,0,0,1,0.000000,5122,10112
0.500000,11,9,9,0,0.414421,8178,10112
0.500000,12,5,5,1,0.000000,4458,10112
0.500000,13,7,7,0,0.691662,9355,10112
0.500000,14,9,9,0,1.237693,10069,10112
0.500000,15,8,8,0,0.440589,8321,10112
0.500000,16,5,7,0,0.057878,5677,10112
0.500000,17,7,3,1,0.000000,4871,10112
0.500000,18,8,8,0,0.697464,9372,10112
0.500000,19,6,6,0,0.443218,8335,10112
0.500000,20,7,9,1,0.000000,5029,10112
0.500000,21,0,2,0,1.273815,10079,10112
0.500000,22,4,2,0,0.103034,6035,10112
0.500000,23,9,9,0,1.558623,10111,10112
0.500000,24,5,2,0,0.109280,6084,10112
0.500000,25,2,2,1,0.000000,4857,10112
0.500000,26,4,2,0,0.575627,8952,10112
0.500000,27,0,7,0,0.661204,9261,10112
0.500000,28,9,9,0,1.038162,9962,10112
0.500000,29,6,6,0,1.325142,10090,10112
0.500000,30,6,3,0,0.031802,5468,10112
0.500000,31,5,7,0,0.072806,5796,10112
0.500000,32,4,4,0,0.369468,7917,10112
0.500000,33,5,5,0,0.758470,9534,10112
0.500000,34,9,9,0,1.017523,9944,10112
0.500000,35,2,1,0,0.120418,6171,10112
0.500000,36,4,7,1,0.000000,5145,10112
0.500000,37,1,9,0,1.304580,10086,10112
0.500000,38,9,9,0,0.680668,9322,10112
0.500000,39,5,5,0,0.149678,6397,10112
0.500000,40,4,7,1,0.000000,4635,10112
0.500000,41,6,6,0,0.871915,9762,10112
0.500000,42,5,5,0,0.905722,9814,10112
0.500000,43,6,6,1,0.000000,5043,10112
0.500000,44,0,0,1,0.000000,3959,10112
0.500000,45,9,9,0,1.600893,10112,10112
0.500000,46,3,3,0,0.270789,7280,10112
0.500000,47,9,3,0,0.662448,9265,10112
0.500000,48,7,7,0,0.184854,6663,10112
0.500000,49,6,6,0,0.623439,9133,10112
0.500000,50,9,9,0,1.558623,10111,10112
0.500000,51,8,8,0,0.539562,8801,10112
0.500000,52,0,6,0,0.196972,6753,10112
0.500000,53,3,3,0,0.190898,6708,10112
0.500000,54,8,8,0,1.240988,10070,10112
0.500000,55,8,8,0,0.681653,9325,10112
0.500000,56,7,3,1,0.000000,3608,10112
0.500000,57,7,6,0,0.279127,7337,10112
0.500000,58,4,3,1,0.000000,4614,10112
0.500000,59,6,4,1,0.000000,2575,10112
0.500000,60,7,7,0,0.735303,9476,10112
0.500000,61,3,3,0,0.783927,9593,10112
0.500000,62,6,6,0,0.281040,7350,10112
0.500000,63,3,9,0,0.170066,6552,10112
0.500000,64,6,5,0,0.089582,5929,10112
0.500000,65,2,2,0,0.081749,5867,10112
0.500000,66,1,1,1,0.000000,5029,10112
0.500000,67,2,2,0,0.303743,7502,10112
0.500000,68,3,3,0,1.138830,10029,10112
0.500000,69,7,9,0,0.964762,9890,10112
0.500000,70,2,0,1,0.000000,3840,10112
0.500000,71,6,6,0,0.538189,8795,10112
0.500000,72,8,8,0,0.843501,9713,10112
0.500000,73,8,8,0,1.186769,10051,10112
0.500000,74,0,0,1,0.000000,4913,10112
0.500000,75,2,2,0,0.182980,6649,10112
0.500000,76,9,9,0,0.217038,6900,10112
0.500000,77,3,3,0,0.754354,9524,10112
0.500000,78,3,3,1,0.000000,4730,10112
0.500000,79,8,8,0,0.468472,8466,10112
0.500000,80,8,8,0,0.481474,8531,10112
0.500000,81,1,1,0,0.372299,7934,10112
0.500000,82,1,1,0,1.277880,10080,10112
0.500000,83,7,7,0,0.469658,8472,10112
0.500000,84,2,2,0,0.123502,6195,10112
0.500000,85,5,7,0,1.600893,10112,10112
0.500000,86,2,2,0,0.125561,6211,10112
0.500000,87,7,8,0,0.008201,5278,10112
0.500000,88,8,8,0,0.283991,7370,10112
0.500000,89,9,9,0,0.968294,9894,10112
0.500000,90,0,0,0,0.353057,7817,10112
0.500000,91,3,6,1,0.000000,3872,10112
0.500000,92,8,8,0,1.186769,10051,10112
0.500000,93,6,5,0,0.167287,6531,10112
0.500000,94,4,6,1,0.000000,3321,10112
0.500000,95,6,3,0,0.134079,6277,10112
0.500000,96,6,6,0,0.349984,7798,10112
0.500000,97,0,2,1,0.000000,5148,10112
0.500000,98,0,0,0,1.097043,10005,10112
0.500000,99,7,7,0,0.295155,7445,10112
