sigma,img_idx,label,pred,abstain,radius,count,n
0.500000,0,7,7,0,1.600893,10112,10112
0.500000,1,2,2,0,1.506768,10109,10112
0.500000,2,1,1,0,1.471397,10107,10112
0.500000,3,0,0,0,1.600893,10112,10112
0.500000,4,4,4,0,1.144716,10032,10112
0.500000,5,1,1,0,1.529560,10110,10112
0.500000,6,4,4,0,1.295196,10084,10112
0.500000,7,9,9,0,0.777253,9578,10112
0.500000,8,5,5,0,1.179488,10048,10112
0.500000,9,9,9,0,1.120370,10019,10112
0.500000,10,0,0,0,1.558623,10111,10112
0.500000,11,6,6,0,1.471397,10107,10112
0.500000,12,9,9,0,1.244346,10071,10112
0.500000,13,0,0,0,1.600893,10112,10112
0.500000,14,1,1,0,1.600893,10112,10112
0.500000,15,5,5,0,1.049238,9971,10112
0.500000,16,9,9,0,1.258456,10075,10112
0.500000,17,7,7,0,1.600893,10112,10112
0.500000,18,3,3,0,0.081875,5868,10112
0.500000,19,4,4,0,1.506768,10109,10112
0.500000,20,9,9,0,0.399413,8093,10112
0.500000,21,6,6,0,1.064929,9983,10112
0.500000,22,6,6,0,1.600893,10112,10112
0.500000,23,5,5,0,1.600893,10112,10112
0.500000,24,4,4,0,0.700228,9380,10112
0.500000,25,0,0,0,1.600893,10112,10112
0.500000,26,7,7,0,1.456917,10106,10112
0.500000,27,4,4,0,1.384527,10099,10112
0.500000,28,0,0,0,1.600893,10112,10112
0.500000,29,1,1,0,1.600893,10112,10112
0.500000,30,3,3,0,1.600893,10112,10112
0.500000,31,1,1,0,1.432062,10104,10112
0.500000,32,3,3,0,1.558623,10111,10112
0.500000,33,4,4,0,0.137576,6304,10112
0.500000,34,7,7,0,1.600893,10112,10112
0.500000,35,2,2,0,1.392846,10100,10112
0.500000,36,7,7,0,1.295196,10084,10112
0.500000,37,1,1,0,1.558623,10111,10112
0.500000,38,2,2,0,0.459659,8421,10112
0.500000,39,1,1,0,1.558623,10111,10112
0.500000,40,1,1,0,1.348756,10094,10112
0.500000,41,7,7,0,0.980142,9907,10112
0.500000,42,4,4,0,1.471397,10107,10112
0.500000,43,2,2,0,1.254820,10074,10112
0.500000,44,3,3,0,1.146717,10033,10112
0.500000,45,5,5,0,1.202232,10057,10112
0.500000,46,1,1,0,1.529560,10110,10112
0.500000,47,2,2,0,1.529560,10110,10112
0.500000,48,4,4,0,1.038162,9962,10112
0.500000,49,4,4,0,1.558623,10111,10112
0.500000,50,6,6,0,1.273815,10079,10112
0.500000,51,3,3,0,1.411085,10102,10112
0.500000,52,5,5,0,1.600893,10112,10112
0.500000,53,5,5,0,1.282044,10081,10112
0.500000,54,6,6,0,1.600893,10112,10112
0.500000,55,0,0,0,1.471397,10107,10112
0.500000,56,4,4,0,1.600893,10112,10112
0.500000,57,1,1,0,1.529560,10110,10112
0.500000,58,9,9,0,1.384527,10099,10112
0.500000,59,5,5,0,1.432062,10104,10112
0.500000,60,7,7,0,1.600893,10112,10112
0.500000,61,8,8,0,0.407134,8137,10112
0.500000,62,9,9,0,0.149678,6397,10112
0.500000,63,3,3,0,0.560211,8889,10112
0.500000,64,7,7,0,1.269844,10078,10112
0.500000,65,4,4,0,0.587765,9000,10112
0.500000,66,6,6,0,1.273815,10079,10112
0.500000,67,4,4,0,1.506768,10109,10112
0.500000,68,3,3,0,1.600893,10112,10112
0.500000,69,0,0,0,1.600893,10112,10112
0.500000,70,7,7,0,1.600893,10112,10112
0.500000,71,0,0,0,1.600893,10112,10112
0.500000,72,2,2,0,1.600893,10112,10112
0.500000,73,9,9,0,0.388528,8030,10112
0.500000,74,1,1,0,1.600893,10112,10112
0.500000,75,7,7,0,1.600893,10112,10112
0.500000,76,3,3,0,1.369183,10097,10112
0.500000,77,2,2,0,1.506768,10109,10112
0.500000,78,9,9,0,1.165709,10042,10112
0.500000,79,7,7,0,1.600893,10112,10112
0.500000,80,7,7,0,1.179488,10048,10112
0.500000,81,6,6,0,1.487782,10108,10112
0.500000,82,2,2,0,1.600893,10112,10112
0.500000,83,7,7,0,1.432062,10104,10112
0.500000,84,8,8,0,1.392846,10100,10112
0.500000,85,4,4,0,1.600893,10112,10112
0.500000,86,7,7,0,1.600893,10112,10112
0.500000,87,3,3,0,1.600893,10112,10112
0.500000,88,6,6,0,1.600893,10112,10112
0.500000,89,1,1,0,1.392846,10100,10112
0.500000,90,3,3,0,1.384527,10099,10112
0.500000,91,6,6,0,1.600893,10112,10112
0.500000,92,9,9,0,0.316266,7584,10112
0.500000,93,3,3,0,1.471397,10107,10112
0.500000,94,1,1,0,1.529560,10110,10112
0.500000,95,4,4,0,1.026465,9952,10112
0.500000,96,1,1,0,1.362064,10096,10112
0.500000,97,7,7,0,1.600893,10112,10112
0.500000,98,6,6,0,1.135000,10027,10112
0.500000,99,9,9,0,1.600893,10112,10112
