epoch	loss	lr	val_correct	val_total	val_top1_pct	val_top5_pct
1	0.152044	0.001600	1197	49920	2.397837	7.646234
2	0.007118	0.003200	3330	49920	6.670673	19.649439
3	0.006610	0.004800	7028	49920	14.078526	33.986378
4	0.006211	0.006400	7064	49920	14.150641	33.615785
5	0.005976	0.008000	10848	49920	21.730769	45.436699
6	0.005788	0.007998	9810	49920	19.651442	41.927083
7	0.005609	0.007991	13532	49920	27.107372	52.271635
8	0.005455	0.007980	15363	49920	30.775240	56.572516
9	0.005326	0.007965	17813	49920	35.683093	62.938702
10	0.005253	0.007945	16557	49920	33.167067	59.140625
11	0.005185	0.007922	18121	49920	36.300080	62.049279
12	0.005087	0.007893	19772	49920	39.607372	66.278045
13	0.005050	0.007861	21284	49920	42.636218	69.172676
14	0.004988	0.007824	20090	49920	40.244391	66.268029
15	0.004933	0.007783	22643	49920	45.358574	71.524439
16	0.004904	0.007738	22482	49920	45.036058	71.185897
17	0.004859	0.007689	22538	49920	45.148237	71.211939
18	0.004829	0.007636	21334	49920	42.736378	68.876202
19	0.004817	0.007579	22682	49920	45.436699	71.388221
20	0.004765	0.007518	23954	49920	47.984776	73.179087
21	0.004747	0.007453	22304	49920	44.679487	70.254407
22	0.004708	0.007384	23992	49920	48.060897	73.489583
23	0.004684	0.007312	24290	49920	48.657853	73.964343
24	0.004668	0.007236	24278	49920	48.633814	74.391026
25	0.004641	0.007157	25204	49920	50.488782	75.396635
26	0.004604	0.007074	23701	49920	47.477965	72.966747
27	0.004602	0.006987	23953	49920	47.982772	73.367388
28	0.004565	0.006898	24819	49920	49.717548	75.104167
29	0.004548	0.006805	24971	49920	50.022035	74.791667
30	0.004505	0.006709	25295	49920	50.671074	76.340144
31	0.004525	0.006610	26504	49920	53.092949	78.060897
32	0.004485	0.006509	24344	49920	48.766026	73.848157
33	0.004473	0.006404	26582	49920	53.249199	77.526042
34	0.004417	0.006297	25490	49920	51.061699	75.667067
35	0.004407	0.006188	28208	49920	56.506410	80.222356
36	0.004384	0.006076	25714	49920	51.510417	76.171875
37	0.004363	0.005962	26794	49920	53.673878	78.621795
38	0.004341	0.005845	27764	49920	55.616987	79.184696
39	0.004303	0.005727	28240	49920	56.570513	80.550881
40	0.004303	0.005607	27734	49920	55.556891	79.615385
41	0.004293	0.005485	28033	49920	56.155849	80.086138
42	0.004235	0.005361	27891	49920	55.871394	79.501202
43	0.004229	0.005236	28328	49920	56.746795	80.851362
44	0.004205	0.005110	28462	49920	57.015224	80.905449
45	0.004162	0.004982	29782	49920	59.659455	83.084936
46	0.004153	0.004853	29993	49920	60.082131	82.968750
47	0.004117	0.004724	29755	49920	59.605369	82.652244
48	0.004101	0.004593	30849	49920	61.796875	84.621394
49	0.004091	0.004462	30920	49920	61.939103	84.463141
50	0.004044	0.004330	31001	49920	62.101362	84.326923
51	0.004035	0.004198	31131	49920	62.361779	84.791667
52	0.003992	0.004066	31587	49920	63.275240	85.190304
53	0.003966	0.003934	31968	49920	64.038462	85.635016
54	0.003951	0.003802	31589	49920	63.279247	85.318510
55	0.003918	0.003670	31869	49920	63.840144	85.494792
56	0.003875	0.003538	32513	49920	65.130208	86.604567
57	0.003864	0.003407	32113	49920	64.328926	85.933494
58	0.003827	0.003276	33155	49920	66.416266	87.329728
59	0.003810	0.003147	33398	49920	66.903045	87.794471
60	0.003759	0.003018	33430	49920	66.967147	87.586138
61	0.003741	0.002890	33352	49920	66.810897	87.594151
62	0.003737	0.002764	33962	49920	68.032853	88.054888
63	0.003703	0.002639	34504	49920	69.118590	89.056490
64	0.003656	0.002515	34333	49920	68.776042	88.643830
65	0.003637	0.002393	34619	49920	69.348958	89.310897
66	0.003622	0.002273	34533	49920	69.176683	88.972356
67	0.003580	0.002155	35178	49920	70.468750	89.867788
68	0.003576	0.002038	35437	49920	70.987580	90.100160
69	0.003550	0.001924	35624	49920	71.362179	90.348558
70	0.003508	0.001812	35869	49920	71.852965	90.610978
71	0.003467	0.001703	35987	49920	72.089343	90.973558
72	0.003463	0.001596	36078	49920	72.271635	90.753205
73	0.003432	0.001491	36273	49920	72.662260	91.045673
74	0.003394	0.001390	36378	49920	72.872596	91.346154
75	0.003359	0.001291	36579	49920	73.275240	91.648638
76	0.003367	0.001195	36883	49920	73.884215	91.800881
77	0.003343	0.001102	36955	49920	74.028446	91.858974
78	0.003309	0.001013	37139	49920	74.397035	92.173478
79	0.003271	0.000926	37223	49920	74.565304	92.227564
80	0.003247	0.000843	37437	49920	74.993990	92.351763
81	0.003243	0.000764	37557	49920	75.234375	92.419872
82	0.003216	0.000688	37633	49920	75.386619	92.548077
83	0.003193	0.000616	37837	49920	75.795272	92.752404
84	0.003176	0.000547	37946	49920	76.013622	93.020833
85	0.003144	0.000482	38010	49920	76.141827	93.028846
86	0.003137	0.000421	38043	49920	76.207933	92.984776
87	0.003131	0.000364	38218	49920	76.558494	93.149038
88	0.003115	0.000311	38178	49920	76.478365	93.245192
89	0.003094	0.000262	38293	49920	76.708734	93.233173
90	0.003080	0.000217	38424	49920	76.971154	93.451522
91	0.003059	0.000176	38456	49920	77.035256	93.413462
92	0.003068	0.000139	38539	49920	77.201522	93.407452
93	0.003043	0.000107	38577	49920	77.277644	93.449519
94	0.003067	0.000078	38588	49920	77.299679	93.511619
95	0.003028	0.000055	38643	49920	77.409856	93.503606
96	0.003042	0.000035	38634	49920	77.391827	93.583734
97	0.003039	0.000020	38652	49920	77.427885	93.617788
98	0.003061	0.000009	38645	49920	77.413862	93.571715
99	0.003021	0.000002	38682	49920	77.487981	93.605769
100	0.003034	0.000000	38651	49920	77.425881	93.603766
