sampler     NFE    cover      conf     energy   pxmean     pxsd
-----------------------------------------------------------------
ddim         10     9/10    89.21%    0.08742   0.1730   0.3485
ddim         10     DDPM   samples          :      0.9      9.1
ddim         20    10/10    89.83%    0.04374   0.1543   0.3318
ddim         20     DDPM   samples          :      2.6     11.0
ddim         50    10/10    90.94%    0.02365   0.1381   0.3142
ddim         50     DDPM   samples          :      5.3     12.1
ddim        200    10/10    91.06%    0.01880   0.1323   0.3082
ddim        200     DDPM   samples          :      6.0     13.3
sde          10     2/10    99.08%    1.18368   2.8998   3.4807
sde          10     DDPM   samples          :      0.0      0.0
sde          20     2/10    93.99%    0.98696   1.1318   1.0638
sde          20     DDPM   samples          :      0.0      0.0
sde          50     6/10    73.39%    0.33818   0.6479   0.4521
sde          50     DDPM   samples          :      0.0      0.0
sde         200    10/10    92.84%    0.02109   0.1437   0.3221
sde         200     DDPM   samples          :      3.5     15.7
euler        10     6/10    88.12%    0.35419   0.4323   0.5901
euler        10     DDPM   samples          :      0.1      3.5
euler        20     8/10    86.90%    0.20533   0.2611   0.4452
euler        20     DDPM   samples          :      0.5      5.9
euler        50    10/10    87.93%    0.09098   0.1695   0.3636
euler        50     DDPM   samples          :      1.4      7.8
euler       200    10/10    90.22%    0.02882   0.1420   0.3247
euler       200     DDPM   samples          :      5.8      9.0
./scripts/mnist_ddpm_sampler_sweep.sh: line 27: ne: command not found

[exited with code 0]
