sampler         NFE   recall     energy  off-supp
----------------------------------------------------------
ddim(e0)         10      8/8    0.05596    38.48%
ddim(e0)         20      8/8    0.02784    14.26%
ddim(e0)         50      8/8    0.01164    10.94%
ddim(e0)        100      8/8    0.00868     9.38%
ddim(e0)        200      8/8    0.00808     7.03%
ddim(e25)        10      8/8    0.04790    32.42%
ddim(e25)        20      8/8    0.02623    17.19%
ddim(e25)        50      8/8    0.00927    10.94%
ddim(e25)       100      8/8    0.00758     8.01%
ddim(e25)       200      8/8    0.00693     8.98%
euler(e0)        10      8/8    1.25037    99.41%
euler(e0)        20      8/8    0.40450    95.12%
euler(e0)        50      8/8    0.11252    68.95%
euler(e0)       100      8/8    0.05598    36.91%
euler(e0)       200      8/8    0.03232    18.55%
heun(e0)         10      8/8    0.81202    98.05%
heun(e0)         20      8/8    0.29306    94.14%
heun(e0)         50      8/8    0.10486    64.65%
heun(e0)        100      8/8    0.05151    28.91%
heun(e0)        200      8/8    0.02873    14.26%
sde(e0)          10      8/8    0.02944    76.17%
sde(e0)          20      8/8    0.01116    37.11%
sde(e0)          50      8/8    0.00311     5.86%
sde(e0)         100      8/8    0.00335     5.86%
sde(e0)         200      8/8    0.00350     4.49%

[exited with code 0]
