epoch,train_loss,lr,top1,top5
1,6.435546,0.009000,3.158000,10.552000
2,5.277439,0.018000,17.890000,38.918000
3,4.587251,0.027000,26.750000,51.412000
4,4.200435,0.036000,30.276000,56.092000
5,3.938993,0.045000,35.214000,60.782000
6,3.737943,0.044100,40.234000,66.344000
7,3.581159,0.043218,43.454000,69.522000
8,3.469762,0.042354,48.824000,74.066000
9,3.395125,0.041507,49.168000,74.664000
10,3.326309,0.040677,51.360000,76.458000
11,3.275121,0.039863,52.768000,77.338000
12,3.227503,0.039066,51.934000,77.208000
13,3.183225,0.038284,53.036000,77.980000
14,3.143395,0.037519,54.416000,78.834000
15,3.125196,0.036768,52.974000,77.922000
16,3.092714,0.036033,55.374000,79.598000
17,3.068750,0.035312,55.852000,79.744000
18,3.051739,0.034606,55.036000,79.140000
19,3.020277,0.033914,54.648000,78.898000
20,3.009347,0.033236,56.472000,80.400000
21,2.991991,0.032571,57.244000,80.806000
22,2.972699,0.031920,56.350000,80.360000
23,2.958562,0.031281,57.862000,81.412000
24,2.940950,0.030656,57.682000,81.478000
25,2.926492,0.030042,59.080000,82.180000
26,2.911374,0.029442,58.804000,82.370000
27,2.896845,0.028853,59.134000,82.486000
28,2.890129,0.028276,58.908000,82.222000
29,2.873897,0.027710,59.984000,82.976000
30,2.864424,0.027156,60.300000,83.080000
31,2.857878,0.026613,60.320000,83.126000
32,2.845404,0.026081,59.796000,82.772000
33,2.831069,0.025559,60.440000,83.228000
34,2.822669,0.025048,60.378000,83.470000
35,2.811572,0.024547,59.864000,82.830000
36,2.803814,0.024056,61.228000,83.924000
37,2.799941,0.023575,60.892000,83.752000
38,2.793180,0.023103,61.506000,84.028000
39,2.781799,0.022641,62.022000,84.644000
40,2.769252,0.022188,61.432000,83.782000
41,2.762101,0.021745,62.328000,84.286000
42,2.752234,0.021310,61.628000,84.164000
43,2.743920,0.020884,62.206000,84.584000
44,2.741379,0.020466,62.524000,84.758000
45,2.737071,0.020057,62.500000,84.584000
46,2.727089,0.019655,61.632000,84.168000
47,2.715977,0.019262,62.004000,84.630000
48,2.712452,0.018877,63.394000,85.316000
49,2.711544,0.018500,63.132000,85.130000
50,2.706051,0.018130,63.818000,85.378000
51,2.690659,0.017767,62.992000,85.018000
52,2.688010,0.017412,63.790000,85.708000
53,2.685281,0.017063,64.064000,85.726000
54,2.673583,0.016722,63.472000,85.358000
55,2.671129,0.016388,63.360000,85.384000
56,2.664826,0.016060,63.494000,85.422000
57,2.663667,0.015739,63.990000,85.778000
58,2.651764,0.015424,64.568000,86.038000
59,2.650600,0.015115,64.376000,85.786000
60,2.643487,0.014813,64.510000,85.976000
61,2.637466,0.014517,64.662000,85.940000
62,2.635224,0.014227,64.628000,86.078000
63,2.631150,0.013942,65.336000,86.524000
64,2.618964,0.013663,64.230000,85.880000
65,2.618021,0.013390,64.666000,86.184000
66,2.612663,0.013122,65.192000,86.498000
67,2.607094,0.012860,64.816000,86.176000
68,2.607958,0.012603,64.382000,86.062000
69,2.601313,0.012350,65.260000,86.288000
70,2.597127,0.012103,65.178000,86.658000
71,2.590325,0.011861,64.442000,85.928000
72,2.587766,0.011624,63.784000,85.454000
73,2.580603,0.011392,65.696000,86.724000
74,2.578977,0.011164,65.738000,86.910000
75,2.570324,0.010941,65.596000,86.862000
76,2.572187,0.010722,65.490000,86.716000
77,2.572557,0.010507,66.306000,87.162000
78,2.562908,0.010297,65.726000,86.808000
79,2.555185,0.010091,66.474000,87.246000
80,2.549453,0.009889,66.370000,87.070000
81,2.550740,0.009692,66.640000,87.434000
82,2.550175,0.009498,66.090000,86.922000
83,2.546708,0.009308,66.288000,87.296000
84,2.536223,0.009122,66.756000,87.448000
85,2.539570,0.008939,66.042000,87.070000
86,2.525959,0.008760,66.748000,87.380000
87,2.529698,0.008585,67.162000,87.628000
88,2.522519,0.008414,66.620000,87.366000
89,2.519062,0.008245,66.782000,87.496000
90,2.511528,0.008080,66.850000,87.532000
91,2.504795,0.007919,67.070000,87.680000
92,2.506850,0.007760,66.720000,87.454000
93,2.505023,0.007605,66.958000,87.478000
94,2.502639,0.007453,67.566000,87.954000
95,2.498548,0.007304,67.190000,87.670000
96,2.495763,0.007158,66.156000,87.158000
97,2.489182,0.007015,67.500000,87.974000
98,2.488360,0.006874,67.722000,88.010000
99,2.481358,0.006737,67.750000,88.170000
100,2.479492,0.006602,67.744000,88.088000
101,2.479218,0.006470,67.586000,87.932000
102,2.471071,0.006341,67.946000,88.170000
103,2.466445,0.006214,68.144000,88.326000
104,2.465923,0.006090,68.400000,88.374000
105,2.462934,0.005968,67.450000,87.952000
106,2.458079,0.005849,67.842000,88.090000
107,2.455882,0.005732,67.512000,87.826000
108,2.456654,0.005617,68.196000,88.370000
