blackjack dqn: 6210 params, 200000 steps, batch 128, double DQN, seed 1
[pjrt_ffi] allocator: 1 create option(s), memory_fraction=0.100
I0911 16:45:55.849046 1907452 service.cc:154] XLA service 0x78e570028880 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
I0911 16:45:55.849076 1907452 service.cc:170]   StreamExecutor [0]: NVIDIA GeForce RTX 4060 Ti, Compute Capability 8.9 (Driver: 12.9.0[575.57.8]; Runtime: 12.9.0; Toolkit: 12.9.0; DNN: 9.23.2)
I0911 16:45:55.850576 1907452 se_gpu_pjrt_client.cc:1342] Using BFC allocator.
I0911 16:45:55.850618 1907452 gpu_helpers.cc:162] XLA backend allocating 1.56GiB (1673527296 bytes) on device 0 for BFCAllocator.
I0911 16:45:55.859511 1907452 cuda_dnn.cc:440] Loaded cuDNN version 92302
[pjrt_ffi] XLA backend: PJRT 0.114, 1 device(s)
[pjrt_ffi] command buffers: enabled (CUDA default)
I0911 16:45:56.789247 1907594 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'gemm_fusion_dot_10', 4 bytes spill stores, 4 bytes spill loads

[pjrt_ffi] compiled .lake/build/blackjack_dqn_double_train_step.mlir (@main, 19 outputs, 1 replica) in 2594 ms
[pjrt_ffi] compiled .lake/build/blackjack_dqn_double_fwd_eval.mlir (@forward_eval, 1 outputs, 1 replica) in 758 ms
I0911 16:45:59.522839 1907583 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'gemm_fusion_dot_3', 24 bytes spill stores, 24 bytes spill loads

[pjrt_ffi] compiled .lake/build/blackjack_dqn_double_fwd_eval_all.mlir (@forward_eval, 1 outputs, 1 replica) in 722 ms
  sessions loaded
  update 1000  hands 1459  loss 0.1840  exact -0.0902  agree 156/200  (3004 ms)
  update 2000  hands 2191  loss 0.2132  exact -0.0856  agree 157/200  (6091 ms)
  update 3000  hands 2907  loss 0.2171  exact -0.0727  agree 163/200  (9047 ms)
  update 4000  hands 3637  loss 0.2324  exact -0.0727  agree 171/200  (12074 ms)
  update 5000  hands 4379  loss 0.2365  exact -0.0734  agree 169/200  (15100 ms)
  update 6000  hands 5100  loss 0.2379  exact -0.0767  agree 164/200  (18140 ms)
  update 7000  hands 5810  loss 0.2413  exact -0.0640  agree 170/200  (21176 ms)
  update 8000  hands 6507  loss 0.2360  exact -0.0726  agree 165/200  (24256 ms)
  update 9000  hands 7213  loss 0.2407  exact -0.0667  agree 166/200  (27304 ms)
  update 10000  hands 7907  loss 0.2363  exact -0.0680  agree 165/200  (30430 ms)
  update 11000  hands 8605  loss 0.2369  exact -0.0644  agree 170/200  (33537 ms)
  update 12000  hands 9306  loss 0.2375  exact -0.0690  agree 166/200  (36667 ms)
  update 13000  hands 10000  loss 0.2416  exact -0.0639  agree 168/200  (39726 ms)
  update 14000  hands 10680  loss 0.2368  exact -0.0657  agree 170/200  (42767 ms)
  update 15000  hands 11360  loss 0.2461  exact -0.0600  agree 175/200  (45889 ms)
  update 16000  hands 12046  loss 0.2427  exact -0.0651  agree 168/200  (48997 ms)
  update 17000  hands 12749  loss 0.2416  exact -0.0675  agree 162/200  (52068 ms)
  update 18000  hands 13432  loss 0.2424  exact -0.0640  agree 171/200  (55167 ms)
  update 19000  hands 14131  loss 0.2412  exact -0.0598  agree 176/200  (58266 ms)
  update 20000  hands 14800  loss 0.2405  exact -0.0649  agree 165/200  (61370 ms)
  update 21000  hands 15473  loss 0.2395  exact -0.0644  agree 171/200  (64577 ms)
  update 22000  hands 16151  loss 0.2411  exact -0.0580  agree 173/200  (67632 ms)
  update 23000  hands 16819  loss 0.2458  exact -0.0616  agree 173/200  (70739 ms)
  update 24000  hands 17482  loss 0.2450  exact -0.0644  agree 170/200  (73836 ms)
  update 25000  hands 18144  loss 0.2376  exact -0.0634  agree 173/200  (76910 ms)
  update 26000  hands 18788  loss 0.2432  exact -0.0616  agree 174/200  (80012 ms)
  update 27000  hands 19465  loss 0.2398  exact -0.0613  agree 174/200  (83168 ms)
  update 28000  hands 20110  loss 0.2407  exact -0.0665  agree 169/200  (86256 ms)
  update 29000  hands 20788  loss 0.2408  exact -0.0670  agree 163/200  (89397 ms)
  update 30000  hands 21452  loss 0.2416  exact -0.0649  agree 164/200  (92536 ms)
  update 31000  hands 22095  loss 0.2412  exact -0.0623  agree 169/200  (95552 ms)
  update 32000  hands 22769  loss 0.2406  exact -0.0633  agree 168/200  (98675 ms)
  update 33000  hands 23446  loss 0.2388  exact -0.0602  agree 172/200  (101684 ms)
  update 34000  hands 24098  loss 0.2399  exact -0.0610  agree 176/200  (104828 ms)
  update 35000  hands 24762  loss 0.2412  exact -0.0646  agree 177/200  (107974 ms)
  update 36000  hands 25427  loss 0.2413  exact -0.0596  agree 179/200  (110999 ms)
  update 37000  hands 26100  loss 0.2418  exact -0.0618  agree 171/200  (114170 ms)
  update 38000  hands 26761  loss 0.2425  exact -0.0571  agree 179/200  (117280 ms)
