updates,hands,exact,agreement
1000,1459,-0.0902,156
2000,2191,-0.0856,157
3000,2907,-0.0727,163
4000,3637,-0.0727,171
5000,4379,-0.0734,169
6000,5100,-0.0767,164
7000,5810,-0.0640,170
8000,6507,-0.0726,165
9000,7213,-0.0667,166
10000,7907,-0.0680,165
11000,8605,-0.0644,170
12000,9306,-0.0690,166
13000,10000,-0.0639,168
14000,10680,-0.0657,170
15000,11360,-0.0600,175
16000,12046,-0.0651,168
17000,12749,-0.0675,162
18000,13432,-0.0640,171
19000,14131,-0.0598,176
20000,14800,-0.0649,165
21000,15473,-0.0644,171
22000,16151,-0.0580,173
23000,16819,-0.0616,173
24000,17482,-0.0644,170
25000,18144,-0.0634,173
26000,18788,-0.0616,174
27000,19465,-0.0613,174
28000,20110,-0.0665,169
29000,20788,-0.0670,163
30000,21452,-0.0649,164
31000,22095,-0.0623,169
32000,22769,-0.0633,168
33000,23446,-0.0602,172
34000,24098,-0.0610,176
35000,24762,-0.0646,177
36000,25427,-0.0596,179
37000,26100,-0.0618,171
38000,26761,-0.0571,179
39000,27418,-0.0614,178
40000,28044,-0.0571,183
41000,28709,-0.0564,180
42000,29362,-0.0599,179
43000,30009,-0.0545,182
44000,30647,-0.0554,181
45000,31305,-0.0564,180
46000,31937,-0.0549,183
47000,32598,-0.0523,183
48000,33257,-0.0526,185
49000,33914,-0.0531,185
50000,34588,-0.0608,180
51000,35240,-0.0526,186
52000,35894,-0.0525,188
53000,36541,-0.0508,186
54000,37228,-0.0628,176
55000,37886,-0.0594,183
56000,38532,-0.0527,183
57000,39178,-0.0560,185
58000,39854,-0.0576,180
59000,40519,-0.0540,185
60000,41193,-0.0567,180
61000,41838,-0.0513,184
62000,42483,-0.0563,181
63000,43141,-0.0610,179
64000,43789,-0.0563,183
65000,44437,-0.0537,181
66000,45096,-0.0526,177
67000,45775,-0.0578,177
68000,46430,-0.0596,176
69000,47084,-0.0549,174
70000,47736,-0.0580,180
71000,48384,-0.0600,178
72000,49034,-0.0577,174
73000,49685,-0.0578,172
74000,50342,-0.0666,165
75000,50979,-0.0614,169
76000,51608,-0.0587,170
77000,52266,-0.0612,173
78000,52916,-0.0567,177
79000,53578,-0.0545,178
80000,54231,-0.0565,179
81000,54876,-0.0590,176
82000,55530,-0.0567,180
83000,56197,-0.0592,179
84000,56861,-0.0595,182
85000,57545,-0.0619,180
86000,58195,-0.0593,183
87000,58855,-0.0605,181
88000,59545,-0.0547,185
89000,60228,-0.0587,184
90000,60876,-0.0561,182
91000,61533,-0.0582,183
92000,62193,-0.0562,187
93000,62849,-0.0664,180
94000,63504,-0.0615,182
95000,64154,-0.0573,181
96000,64793,-0.0601,181
97000,65433,-0.0535,183
98000,66080,-0.0607,180
99000,66724,-0.0538,183
100000,67380,-0.0629,183
101000,68041,-0.0598,176
102000,68676,-0.0557,181
103000,69308,-0.0531,182
104000,69931,-0.0557,178
105000,70576,-0.0545,179
106000,71231,-0.0498,186
107000,71886,-0.0523,184
108000,72527,-0.0530,183
109000,73186,-0.0525,184
110000,73811,-0.0556,178
111000,74456,-0.0559,182
112000,75090,-0.0553,183
113000,75725,-0.0514,185
114000,76373,-0.0552,182
115000,77007,-0.0517,184
116000,77643,-0.0566,180
117000,78291,-0.0579,180
118000,78918,-0.0564,180
119000,79556,-0.0576,178
120000,80214,-0.0615,173
121000,80858,-0.0594,176
122000,81503,-0.0605,179
123000,82156,-0.0544,179
124000,82785,-0.0533,179
125000,83413,-0.0530,179
126000,84062,-0.0568,177
127000,84699,-0.0677,181
128000,85370,-0.0705,178
129000,86021,-0.0613,179
130000,86664,-0.0587,180
131000,87324,-0.0659,182
132000,87968,-0.0613,180
133000,88610,-0.0582,176
134000,89261,-0.0578,179
135000,89901,-0.0535,182
136000,90541,-0.0578,176
137000,91183,-0.0540,181
138000,91836,-0.0548,182
139000,92472,-0.0542,183
140000,93113,-0.0525,184
141000,93760,-0.0537,181
