updates,hands,exact,agreement
1000,1459,-0.0855,157
2000,2191,-0.0801,159
3000,2879,-0.0764,157
4000,3601,-0.0712,166
5000,4344,-0.0738,164
6000,5060,-0.0737,164
7000,5769,-0.0733,166
8000,6470,-0.0693,165
9000,7185,-0.0735,167
10000,7895,-0.0660,167
11000,8595,-0.0631,172
12000,9286,-0.0703,167
13000,9980,-0.0601,169
14000,10667,-0.0682,169
15000,11361,-0.0632,172
16000,12017,-0.0581,175
17000,12686,-0.0636,169
18000,13362,-0.0556,177
19000,14047,-0.0627,169
20000,14730,-0.0571,175
21000,15384,-0.0596,178
22000,16042,-0.0608,173
23000,16711,-0.0596,176
24000,17389,-0.0625,173
25000,18067,-0.0630,178
26000,18719,-0.0606,175
27000,19393,-0.0619,175
28000,20049,-0.0582,178
29000,20719,-0.0677,171
30000,21427,-0.0651,175
31000,22083,-0.0656,174
32000,22754,-0.0644,178
33000,23433,-0.0640,175
34000,24065,-0.0543,177
35000,24733,-0.0578,182
36000,25407,-0.0574,180
37000,26083,-0.0618,176
38000,26773,-0.0579,178
39000,27453,-0.0550,177
40000,28103,-0.0532,177
41000,28783,-0.0651,175
42000,29454,-0.0617,177
43000,30094,-0.0602,182
44000,30753,-0.0532,175
45000,31405,-0.0534,180
46000,32052,-0.0567,176
47000,32699,-0.0543,179
48000,33364,-0.0566,176
49000,34011,-0.0572,176
50000,34669,-0.0554,179
51000,35319,-0.0543,178
52000,35962,-0.0562,173
53000,36618,-0.0543,174
54000,37260,-0.0539,177
55000,37939,-0.0537,177
56000,38602,-0.0542,174
57000,39276,-0.0547,173
58000,39937,-0.0544,176
59000,40604,-0.0552,176
60000,41247,-0.0570,181
61000,41901,-0.0547,176
62000,42556,-0.0519,177
63000,43191,-0.0570,177
64000,43833,-0.0553,177
65000,44471,-0.0545,176
66000,45122,-0.0554,179
67000,45800,-0.0535,177
68000,46451,-0.0524,180
69000,47106,-0.0542,179
70000,47747,-0.0527,179
71000,48395,-0.0508,183
72000,49046,-0.0511,182
73000,49721,-0.0562,181
74000,50369,-0.0532,181
