usable,sum,dealer,dqn
0,4,1,H
0,4,2,H
0,4,3,H
0,4,4,H
0,4,5,H
0,4,6,H
0,4,7,H
0,4,8,H
0,4,9,H
0,4,10,S
0,5,1,H
0,5,2,H
0,5,3,H
0,5,4,H
0,5,5,H
0,5,6,H
0,5,7,H
0,5,8,H
0,5,9,H
0,5,10,H
0,6,1,H
0,6,2,H
0,6,3,H
0,6,4,H
0,6,5,H
0,6,6,H
0,6,7,H
0,6,8,H
0,6,9,H
0,6,10,H
0,7,1,H
0,7,2,H
0,7,3,H
0,7,4,H
0,7,5,H
0,7,6,H
0,7,7,H
0,7,8,H
0,7,9,H
0,7,10,H
0,8,1,H
0,8,2,H
0,8,3,H
0,8,4,H
0,8,5,H
0,8,6,H
0,8,7,H
0,8,8,H
0,8,9,H
0,8,10,H
0,9,1,H
0,9,2,H
0,9,3,H
0,9,4,H
0,9,5,H
0,9,6,H
0,9,7,H
0,9,8,H
0,9,9,H
0,9,10,H
0,10,1,H
0,10,2,H
0,10,3,H
0,10,4,H
0,10,5,H
0,10,6,H
0,10,7,H
0,10,8,H
0,10,9,H
0,10,10,H
0,11,1,H
0,11,2,H
0,11,3,H
0,11,4,H
0,11,5,H
0,11,6,H
0,11,7,H
0,11,8,H
0,11,9,H
0,11,10,H
0,12,1,H
0,12,2,H
0,12,3,H
0,12,4,S
0,12,5,H
0,12,6,S
0,12,7,H
0,12,8,H
0,12,9,H
0,12,10,H
0,13,1,H
0,13,2,H
0,13,3,S
0,13,4,H
0,13,5,S
0,13,6,S
0,13,7,H
0,13,8,H
0,13,9,H
0,13,10,H
0,14,1,H
0,14,2,S
0,14,3,S
0,14,4,S
0,14,5,S
0,14,6,H
0,14,7,H
0,14,8,H
0,14,9,H
0,14,10,H
0,15,1,H
0,15,2,S
0,15,3,S
0,15,4,S
0,15,5,S
0,15,6,S
0,15,7,H
0,15,8,H
0,15,9,H
0,15,10,H
0,16,1,H
0,16,2,H
0,16,3,S
0,16,4,S
0,16,5,S
0,16,6,S
0,16,7,H
0,16,8,H
0,16,9,H
0,16,10,H
0,17,1,S
0,17,2,S
0,17,3,S
0,17,4,S
0,17,5,S
0,17,6,S
0,17,7,S
0,17,8,S
0,17,9,H
0,17,10,S
0,18,1,S
0,18,2,S
0,18,3,S
0,18,4,S
0,18,5,S
0,18,6,S
0,18,7,S
0,18,8,S
0,18,9,S
0,18,10,S
0,19,1,S
0,19,2,S
0,19,3,S
0,19,4,S
0,19,5,S
0,19,6,S
0,19,7,S
0,19,8,S
0,19,9,S
0,19,10,S
0,20,1,S
0,20,2,S
0,20,3,S
0,20,4,S
0,20,5,S
0,20,6,S
0,20,7,S
0,20,8,S
0,20,9,S
0,20,10,S
0,21,1,S
0,21,2,S
0,21,3,S
0,21,4,S
0,21,5,S
0,21,6,S
0,21,7,S
0,21,8,S
0,21,9,S
0,21,10,S
1,12,1,H
1,12,2,H
1,12,3,H
1,12,4,H
1,12,5,H
1,12,6,H
1,12,7,H
1,12,8,H
1,12,9,H
1,12,10,H
1,13,1,H
1,13,2,H
1,13,3,H
1,13,4,H
1,13,5,H
1,13,6,H
1,13,7,H
1,13,8,H
1,13,9,H
1,13,10,H
1,14,1,H
1,14,2,H
1,14,3,H
1,14,4,H
1,14,5,H
1,14,6,H
1,14,7,H
1,14,8,H
1,14,9,H
1,14,10,H
1,15,1,H
1,15,2,H
1,15,3,H
1,15,4,H
1,15,5,H
1,15,6,H
1,15,7,H
1,15,8,H
1,15,9,H
1,15,10,H
1,16,1,H
1,16,2,H
1,16,3,H
1,16,4,H
1,16,5,H
1,16,6,H
1,16,7,H
1,16,8,H
1,16,9,H
1,16,10,H
1,17,1,H
1,17,2,H
1,17,3,H
1,17,4,H
1,17,5,H
1,17,6,S
1,17,7,H
1,17,8,H
1,17,9,H
1,17,10,H
1,18,1,H
1,18,2,H
1,18,3,S
1,18,4,H
1,18,5,H
1,18,6,H
1,18,7,S
1,18,8,S
1,18,9,H
1,18,10,H
1,19,1,H
1,19,2,S
1,19,3,S
1,19,4,S
1,19,5,S
1,19,6,S
1,19,7,S
1,19,8,S
1,19,9,S
1,19,10,H
1,20,1,S
1,20,2,S
1,20,3,S
1,20,4,S
1,20,5,S
1,20,6,S
1,20,7,S
1,20,8,S
1,20,9,S
1,20,10,S
1,21,1,S
1,21,2,S
1,21,3,S
1,21,4,S
1,21,5,S
1,21,6,S
1,21,7,S
1,21,8,S
1,21,9,S
1,21,10,S
