updates,hands,exact,agreement
1000,1455,-0.0779,164
2000,2186,-0.0808,156
3000,2898,-0.0777,157
4000,3634,-0.0884,154
5000,4350,-0.0797,154
6000,5067,-0.0821,156
7000,5774,-0.0775,162
8000,6492,-0.0659,164
9000,7179,-0.0704,158
10000,7889,-0.0646,169
11000,8600,-0.0747,165
12000,9299,-0.0661,169
13000,10006,-0.0661,166
14000,10704,-0.0627,171
15000,11404,-0.0588,171
16000,12094,-0.0553,176
17000,12790,-0.0575,176
18000,13484,-0.0533,177
19000,14171,-0.0557,176
20000,14856,-0.0581,180
21000,15526,-0.0514,182
22000,16200,-0.0516,184
23000,16878,-0.0540,181
24000,17543,-0.0585,178
25000,18220,-0.0544,183
26000,18872,-0.0580,178
27000,19527,-0.0535,182
28000,20180,-0.0503,183
29000,20841,-0.0523,186
30000,21502,-0.0553,186
31000,22181,-0.0556,184
32000,22859,-0.0601,180
33000,23536,-0.0559,182
34000,24197,-0.0551,184
35000,24839,-0.0542,183
36000,25510,-0.0582,181
37000,26177,-0.0566,180
38000,26834,-0.0533,184
39000,27484,-0.0554,185
40000,28139,-0.0589,185
41000,28776,-0.0570,182
42000,29426,-0.0564,186
43000,30079,-0.0554,182
44000,30718,-0.0579,183
45000,31346,-0.0614,179
46000,31992,-0.0572,183
47000,32638,-0.0536,183
48000,33300,-0.0579,185
49000,33965,-0.0701,177
50000,34649,-0.0520,184
51000,35294,-0.0540,180
52000,35922,-0.0524,182
53000,36560,-0.0529,182
54000,37204,-0.0545,181
55000,37860,-0.0527,181
56000,38510,-0.0632,176
57000,39163,-0.0515,181
58000,39802,-0.0546,177
59000,40451,-0.0531,181
60000,41076,-0.0577,176
61000,41750,-0.0595,169
62000,42387,-0.0583,173
63000,43030,-0.0548,178
64000,43666,-0.0588,175
65000,44309,-0.0629,173
66000,44955,-0.0659,174
67000,45613,-0.0610,174
68000,46262,-0.0580,177
69000,46917,-0.0588,175
70000,47584,-0.0577,175
71000,48236,-0.0567,178
72000,48895,-0.0600,176
73000,49547,-0.0568,179
74000,50189,-0.0586,173
75000,50836,-0.0586,179
76000,51484,-0.0562,184
77000,52151,-0.0609,177
78000,52807,-0.0563,181
79000,53484,-0.0619,177
80000,54157,-0.0621,175
81000,54829,-0.0546,178
82000,55496,-0.0592,175
83000,56161,-0.0559,173
84000,56837,-0.0596,177
85000,57522,-0.0592,176
86000,58176,-0.0570,174
87000,58826,-0.0551,175
88000,59472,-0.0575,170
89000,60130,-0.0557,172
90000,60772,-0.0589,172
91000,61405,-0.0536,175
92000,62070,-0.0622,172
93000,62722,-0.0522,178
94000,63380,-0.0601,176
95000,64027,-0.0578,176
96000,64674,-0.0584,177
97000,65354,-0.0554,177
98000,66012,-0.0559,179
99000,66665,-0.0548,183
100000,67326,-0.0553,179
101000,67988,-0.0617,178
102000,68635,-0.0596,177
103000,69307,-0.0586,177
104000,69977,-0.0549,180
105000,70657,-0.0579,180
106000,71327,-0.0611,179
107000,71982,-0.0590,179
108000,72666,-0.0616,177
109000,73340,-0.0549,182
110000,73984,-0.0586,179
111000,74657,-0.0642,175
112000,75334,-0.0651,177
113000,76007,-0.0591,175
114000,76666,-0.0587,179
115000,77338,-0.0556,177
116000,78016,-0.0648,177
117000,78672,-0.0594,178
118000,79342,-0.0577,180
119000,79998,-0.0575,182
120000,80677,-0.0610,176
121000,81338,-0.0650,176
122000,82000,-0.0619,178
123000,82680,-0.0580,181
124000,83320,-0.0563,181
125000,83989,-0.0603,181
126000,84653,-0.0529,183
127000,85318,-0.0572,179
128000,85959,-0.0538,184
129000,86599,-0.0664,174
130000,87248,-0.0687,171
131000,87911,-0.0543,182
132000,88589,-0.0534,182
133000,89252,-0.0583,181
134000,89914,-0.0598,179
135000,90578,-0.0571,179
136000,91222,-0.0519,181
137000,91891,-0.0556,180
138000,92534,-0.0566,183
139000,93198,-0.0529,183
140000,93862,-0.0517,186
141000,94536,-0.0550,183
142000,95187,-0.0539,184
143000,95841,-0.0508,184
144000,96499,-0.0521,182
145000,97133,-0.0512,183
146000,97794,-0.0537,182
147000,98425,-0.0504,183
148000,99057,-0.0510,181
149000,99721,-0.0542,182
150000,100364,-0.0488,183
151000,101006,-0.0520,182
152000,101630,-0.0516,180
153000,102290,-0.0586,173
154000,102954,-0.0563,172
155000,103599,-0.0558,178
156000,104267,-0.0569,178
157000,104948,-0.0556,177
158000,105612,-0.0535,177
159000,106255,-0.0533,180
160000,106924,-0.0545,182
161000,107590,-0.0526,182
162000,108250,-0.0568,176
163000,108910,-0.0551,179
164000,109568,-0.0535,178
165000,110247,-0.0615,173
166000,110918,-0.0565,174
167000,111585,-0.0579,178
168000,112245,-0.0523,179
169000,112902,-0.0524,179
170000,113540,-0.0562,184
171000,114176,-0.0512,182
172000,114839,-0.0549,182
173000,115494,-0.0528,186
174000,116136,-0.0498,183
175000,116801,-0.0510,182
176000,117461,-0.0555,180
177000,118121,-0.0534,181
178000,118773,-0.0527,179
179000,119424,-0.0529,181
180000,120061,-0.0526,182
181000,120706,-0.0531,179
182000,121363,-0.0488,183
183000,122016,-0.0486,184
184000,122671,-0.0491,183
185000,123317,-0.0490,185
186000,124002,-0.0518,184
187000,124656,-0.0510,185
188000,125297,-0.0572,182
189000,125950,-0.0538,187
190000,126621,-0.0628,184
191000,127258,-0.0643,180
192000,127957,-0.0619,184
193000,128620,-0.0508,187
194000,129295,-0.0621,186
195000,129970,-0.0581,183
196000,130644,-0.0508,187
197000,131305,-0.0506,186
198000,131957,-0.0516,183
199000,132624,-0.0497,184
200000,133273,-0.0503,185
