updates,hands,exact,agreement
1000,1455,-0.0817,161
2000,2186,-0.0777,152
3000,2898,-0.0871,152
4000,3633,-0.0774,156
5000,4359,-0.0762,161
6000,5065,-0.0702,160
7000,5766,-0.0715,162
8000,6483,-0.0745,157
9000,7182,-0.0759,164
10000,7898,-0.0713,163
11000,8591,-0.0759,160
12000,9302,-0.0641,168
13000,9994,-0.0616,171
14000,10707,-0.0662,165
15000,11384,-0.0622,167
16000,12072,-0.0645,171
17000,12758,-0.0595,170
18000,13447,-0.0603,173
19000,14117,-0.0628,168
20000,14804,-0.0609,174
21000,15485,-0.0649,169
22000,16203,-0.0667,172
23000,16902,-0.0616,179
24000,17599,-0.0593,178
25000,18269,-0.0609,173
26000,18947,-0.0600,176
27000,19588,-0.0542,180
28000,20243,-0.0618,173
29000,20919,-0.0590,172
30000,21567,-0.0604,182
31000,22232,-0.0593,176
32000,22886,-0.0618,173
33000,23548,-0.0712,171
34000,24218,-0.0682,163
35000,24867,-0.0640,168
36000,25556,-0.0637,174
37000,26242,-0.0721,171
38000,26888,-0.0687,169
39000,27554,-0.0731,171
40000,28204,-0.0653,170
41000,28876,-0.0601,175
42000,29542,-0.0656,168
43000,30193,-0.0617,172
44000,30848,-0.0651,172
45000,31502,-0.0634,174
46000,32166,-0.0558,176
47000,32826,-0.0571,176
48000,33469,-0.0578,177
49000,34096,-0.0579,178
50000,34772,-0.0625,176
51000,35431,-0.0570,182
52000,36081,-0.0587,177
53000,36735,-0.0559,182
54000,37383,-0.0540,184
55000,38041,-0.0525,186
56000,38680,-0.0552,184
57000,39310,-0.0535,182
58000,39946,-0.0504,186
59000,40581,-0.0562,178
60000,41240,-0.0543,184
61000,41876,-0.0543,182
62000,42504,-0.0529,181
63000,43145,-0.0517,186
64000,43800,-0.0533,184
65000,44426,-0.0514,188
66000,45084,-0.0530,187
67000,45725,-0.0523,185
68000,46365,-0.0501,184
69000,47024,-0.0502,185
70000,47673,-0.0511,185
71000,48327,-0.0509,185
72000,48985,-0.0506,184
73000,49610,-0.0581,182
74000,50266,-0.0527,182
75000,50938,-0.0576,183
76000,51587,-0.0546,180
77000,52224,-0.0548,176
78000,52884,-0.0517,180
79000,53547,-0.0493,183
80000,54204,-0.0500,184
81000,54850,-0.0495,185
82000,55479,-0.0552,184
83000,56118,-0.0519,181
84000,56786,-0.0503,180
85000,57452,-0.0573,175
86000,58101,-0.0540,178
87000,58774,-0.0560,176
88000,59464,-0.0545,180
89000,60133,-0.0506,183
90000,60777,-0.0531,183
91000,61420,-0.0542,181
92000,62104,-0.0512,185
93000,62756,-0.0538,180
94000,63415,-0.0541,179
95000,64069,-0.0567,183
96000,64727,-0.0563,182
97000,65403,-0.0630,179
98000,66035,-0.0645,177
99000,66680,-0.0575,181
100000,67355,-0.0672,180
101000,68031,-0.0520,183
102000,68695,-0.0580,181
103000,69384,-0.0563,180
104000,70071,-0.0549,182
105000,70716,-0.0582,177
106000,71379,-0.0493,189
107000,72040,-0.0505,186
108000,72681,-0.0531,184
109000,73333,-0.0514,185
110000,73988,-0.0514,186
111000,74659,-0.0485,188
112000,75314,-0.0516,185
