usable,sum,dealer,qhit,qstick,opt,tabq,published
0,4,1,-0.4478,-0.7694,H,H,H
0,4,2,-0.1149,-0.2928,H,H,H
0,4,3,-0.0826,-0.2523,H,H,H
0,4,4,-0.0494,-0.2111,H,H,H
0,4,5,-0.0124,-0.1672,H,H,H
0,4,6,0.0111,-0.1537,H,H,H
0,4,7,-0.0883,-0.4754,H,H,H
0,4,8,-0.1593,-0.5105,H,H,H
0,4,9,-0.2407,-0.5431,H,H,H
0,4,10,-0.3351,-0.5758,H,H,H
0,5,1,-0.4666,-0.7694,H,H,H
0,5,2,-0.1282,-0.2928,H,H,H
0,5,3,-0.0953,-0.2523,H,H,H
0,5,4,-0.0615,-0.2111,H,H,H
0,5,5,-0.0240,-0.1672,H,H,H
0,5,6,-0.0012,-0.1537,H,H,H
0,5,7,-0.1194,-0.4754,H,H,H
0,5,8,-0.1881,-0.5105,H,H,H
0,5,9,-0.2666,-0.5431,H,H,H
0,5,10,-0.3577,-0.5758,H,H,H
0,6,1,-0.4855,-0.7694,H,H,H
0,6,2,-0.1408,-0.2928,H,H,H
0,6,3,-0.1073,-0.2523,H,H,H
0,6,4,-0.0729,-0.2111,H,H,H
0,6,5,-0.0349,-0.1672,H,H,H
0,6,6,-0.0130,-0.1537,H,H,H
0,6,7,-0.1519,-0.4754,H,H,H
0,6,8,-0.2172,-0.5105,H,H,H
0,6,9,-0.2926,-0.5431,H,H,H
0,6,10,-0.3805,-0.5758,H,H,H
0,7,1,-0.4969,-0.7694,H,H,H
0,7,2,-0.1092,-0.2928,H,H,H
0,7,3,-0.0766,-0.2523,H,H,H
0,7,4,-0.0430,-0.2111,H,H,H
0,7,5,-0.0073,-0.1672,H,H,H
0,7,6,0.0292,-0.1537,H,H,H
0,7,7,-0.0688,-0.4754,H,H,H
0,7,8,-0.2106,-0.5105,H,H,H
0,7,9,-0.2854,-0.5431,H,H,H
0,7,10,-0.3651,-0.5758,H,H,H
0,8,1,-0.4227,-0.7694,H,H,H
0,8,2,-0.0218,-0.2928,H,H,H
0,8,3,0.0080,-0.2523,H,H,H
0,8,4,0.0388,-0.2111,H,H,H
0,8,5,0.0708,-0.1672,H,H,H
0,8,6,0.1150,-0.1537,H,H,H
0,8,7,0.0822,-0.4754,H,H,H
0,8,8,-0.0599,-0.5105,H,H,H
0,8,9,-0.2102,-0.5431,H,H,H
0,8,10,-0.3018,-0.5758,H,H,H
0,9,1,-0.3344,-0.7694,H,H,H
0,9,2,0.0744,-0.2928,H,H,H
0,9,3,0.1013,-0.2523,H,H,H
0,9,4,0.1290,-0.2111,H,H,H
0,9,5,0.1580,-0.1672,H,H,H
0,9,6,0.1960,-0.1537,H,H,H
0,9,7,0.1719,-0.4754,H,H,H
0,9,8,0.0984,-0.5105,H,H,H
0,9,9,-0.0522,-0.5431,H,H,H
0,9,10,-0.2134,-0.5758,H,H,H
0,10,1,-0.2170,-0.7694,H,H,H
0,10,2,0.1825,-0.2928,H,H,H
0,10,3,0.2061,-0.2523,H,H,H
0,10,4,0.2305,-0.2111,H,H,H
0,10,5,0.2563,-0.1672,H,H,H
0,10,6,0.2878,-0.1537,H,H,S
0,10,7,0.2569,-0.4754,H,H,S
0,10,8,0.1980,-0.5105,H,H,H
0,10,9,0.1165,-0.5431,H,H,H
0,10,10,-0.0450,-0.5758,H,H,H
0,11,1,-0.1034,-0.7694,H,H,H
0,11,2,0.2384,-0.2928,H,H,H
0,11,3,0.2603,-0.2523,H,H,S
0,11,4,0.2830,-0.2111,H,H,S
0,11,5,0.3073,-0.1672,H,H,S
0,11,6,0.3337,-0.1537,H,H,S
0,11,7,0.2921,-0.4754,H,H,S
0,11,8,0.2300,-0.5105,H,H,S
0,11,9,0.1583,-0.5431,H,H,H
0,11,10,0.0597,-0.5758,H,H,H
0,12,1,-0.5185,-0.7694,H,H,H
0,12,2,-0.2534,-0.2928,H,H,S
0,12,3,-0.2337,-0.2523,H,H,H
0,12,4,-0.2135,-0.2111,S,H,H
0,12,5,-0.1933,-0.1672,S,H,H
0,12,6,-0.1705,-0.1537,S,H,H
0,12,7,-0.2128,-0.4754,H,H,H
0,12,8,-0.2716,-0.5105,H,H,H
0,12,9,-0.3400,-0.5431,H,H,H
0,12,10,-0.4207,-0.5758,H,H,H
0,13,1,-0.5529,-0.7694,H,H,H
0,13,2,-0.3078,-0.2928,S,H,S
0,13,3,-0.2912,-0.2523,S,S,S
0,13,4,-0.2742,-0.2111,S,S,H
0,13,5,-0.2573,-0.1672,S,S,H
0,13,6,-0.2356,-0.1537,S,S,H
0,13,7,-0.2691,-0.4754,H,H,H
0,13,8,-0.3236,-0.5105,H,H,H
0,13,9,-0.3872,-0.5431,H,H,H
0,13,10,-0.4621,-0.5758,H,H,H
0,14,1,-0.5849,-0.7694,H,H,H
0,14,2,-0.3622,-0.2928,S,S,S
0,14,3,-0.3487,-0.2523,S,S,H
0,14,4,-0.3349,-0.2111,S,S,H
0,14,5,-0.3214,-0.1672,S,S,H
0,14,6,-0.3007,-0.1537,S,S,H
0,14,7,-0.3213,-0.4754,H,H,H
0,14,8,-0.3719,-0.5105,H,H,H
0,14,9,-0.4309,-0.5431,H,H,H
0,14,10,-0.5005,-0.5758,H,H,H
0,15,1,-0.6145,-0.7694,H,H,H
0,15,2,-0.4166,-0.2928,S,S,S
0,15,3,-0.4062,-0.2523,S,S,S
0,15,4,-0.3956,-0.2111,S,S,H
0,15,5,-0.3855,-0.1672,S,S,H
0,15,6,-0.3658,-0.1537,S,S,H
0,15,7,-0.3698,-0.4754,H,H,H
0,15,8,-0.4168,-0.5105,H,H,H
0,15,9,-0.4716,-0.5431,H,H,H
0,15,10,-0.5362,-0.5758,H,H,H
0,16,1,-0.6420,-0.7694,H,H,H
0,16,2,-0.4710,-0.2928,S,S,S
0,16,3,-0.4638,-0.2523,S,S,S
0,16,4,-0.4563,-0.2111,S,S,S
0,16,5,-0.4495,-0.1672,S,S,S
0,16,6,-0.4309,-0.1537,S,S,S
0,16,7,-0.4148,-0.4754,H,H,H
0,16,8,-0.4584,-0.5105,H,H,H
0,16,9,-0.5093,-0.5431,H,H,H
0,16,10,-0.5693,-0.5758,H,H,H
0,17,1,-0.6698,-0.6386,S,S,H
0,17,2,-0.5362,-0.1530,S,S,S
0,17,3,-0.5317,-0.1172,S,S,S
0,17,4,-0.5270,-0.0806,S,S,S
0,17,5,-0.5230,-0.0449,S,S,S
0,17,6,-0.5088,0.0117,S,S,H
