hands,exact,agreement
1000,-0.1167,133
2000,-0.0810,153
3000,-0.0699,165
4000,-0.0744,164
5000,-0.0643,169
6000,-0.0581,172
7000,-0.0561,174
8000,-0.0566,175
9000,-0.0546,178
10000,-0.0585,176
11000,-0.0552,179
12000,-0.0551,180
13000,-0.0554,179
14000,-0.0532,181
15000,-0.0534,180
16000,-0.0545,179
17000,-0.0551,177
18000,-0.0581,175
19000,-0.0561,178
20000,-0.0556,180
21000,-0.0555,179
22000,-0.0546,177
23000,-0.0543,179
24000,-0.0541,179
25000,-0.0543,179
26000,-0.0533,183
27000,-0.0525,183
28000,-0.0537,181
29000,-0.0537,182
30000,-0.0519,183
31000,-0.0540,182
32000,-0.0545,182
33000,-0.0545,182
34000,-0.0537,182
35000,-0.0550,180
36000,-0.0540,181
37000,-0.0537,181
38000,-0.0537,181
39000,-0.0540,180
40000,-0.0528,182
41000,-0.0538,180
42000,-0.0527,183
43000,-0.0536,182
44000,-0.0536,182
45000,-0.0536,183
46000,-0.0537,182
47000,-0.0537,182
48000,-0.0540,181
49000,-0.0542,182
50000,-0.0553,181
51000,-0.0528,183
52000,-0.0527,184
53000,-0.0529,183
54000,-0.0529,183
55000,-0.0529,182
56000,-0.0527,183
57000,-0.0531,182
58000,-0.0527,183
59000,-0.0527,183
60000,-0.0532,181
61000,-0.0532,181
62000,-0.0529,182
63000,-0.0529,182
64000,-0.0529,182
65000,-0.0529,182
66000,-0.0529,182
67000,-0.0533,182
68000,-0.0515,183
69000,-0.0516,182
70000,-0.0520,181
71000,-0.0516,182
72000,-0.0516,182
73000,-0.0511,183
74000,-0.0511,183
75000,-0.0511,183
76000,-0.0511,183
77000,-0.0511,183
78000,-0.0511,183
79000,-0.0511,183
80000,-0.0551,183
81000,-0.0509,184
82000,-0.0509,184
83000,-0.0509,184
84000,-0.0509,184
85000,-0.0496,185
86000,-0.0509,184
87000,-0.0509,184
88000,-0.0509,184
89000,-0.0507,185
90000,-0.0509,184
91000,-0.0510,184
92000,-0.0510,184
93000,-0.0510,184
94000,-0.0503,185
95000,-0.0502,186
96000,-0.0546,184
97000,-0.0503,185
98000,-0.0503,185
99000,-0.0503,185
100000,-0.0494,185
101000,-0.0506,184
102000,-0.0506,184
103000,-0.0506,184
104000,-0.0506,184
105000,-0.0503,185
106000,-0.0503,185
107000,-0.0503,185
108000,-0.0507,184
109000,-0.0507,184
110000,-0.0507,184
111000,-0.0491,185
112000,-0.0487,186
113000,-0.0487,186
114000,-0.0506,185
115000,-0.0502,186
116000,-0.0502,186
117000,-0.0499,187
118000,-0.0485,188
119000,-0.0501,187
120000,-0.0484,188
121000,-0.0499,187
122000,-0.0484,188
123000,-0.0484,188
124000,-0.0465,189
125000,-0.0461,189
