field on a 64x64 lattice over [-2.2, 2.2]^2, 11 times, 14400 particles

      t    E_pt |v_theta - v*|^2    E_pt |v*|^2   rel
   0.02                   0.0310         1.0279   0.030
   0.10                   0.0337         1.3271   0.025
   0.20                   0.0278         1.6595   0.017
   0.30                   0.0230         1.7126   0.013
   0.40                   0.0137         1.5365   0.009
   0.50                   0.0157         1.4151   0.011
   0.60                   0.0116         1.5089   0.008
   0.70                   0.0106         1.7125   0.006
   0.80                   0.0139         1.9035   0.007
   0.90                   0.0156         2.0180   0.008
   1.00                   0.0235         2.0450   0.011

  mean over t: field error 0.0200, exact kinetic energy 1.6242
