epoch,loss,val_acc_gauss,val_acc_real
1,0.422980,90.816000,89.630000
2,0.278500,92.623000,91.928000
3,0.242240,92.427000,91.176000
4,0.217500,92.035000,91.053000
5,0.181790,90.743000,89.475000
6,0.140170,89.647000,88.077000
7,0.097540,88.117000,86.580000
8,0.058150,89.221000,88.346000
9,0.039120,89.679000,88.624000
10,0.025580,88.739000,87.504000
11,0.017370,88.845000,88.126000
12,0.010690,89.990000,88.821000
13,0.006080,89.320000,88.265000
14,0.003710,90.121000,89.254000
15,0.000970,89.753000,88.436000
16,0.000480,89.377000,87.823000
17,0.000680,89.622000,88.101000
18,0.000240,89.524000,88.019000
19,0.000080,90.047000,88.567000
20,0.000140,89.557000,88.158000
