epoch,loss,val_acc_gauss,val_acc_real
1,0.479710,90.751000,89.778000
2,0.297890,92.174000,91.650000
3,0.256430,92.370000,91.937000
4,0.228590,91.487000,90.988000
5,0.188510,90.554000,89.933000
6,0.143660,88.306000,88.044000
7,0.105950,85.844000,84.993000
8,0.069300,88.927000,88.036000
9,0.043550,86.163000,85.386000
10,0.033850,88.518000,88.027000
11,0.019640,90.170000,89.393000
12,0.013510,89.753000,89.303000
13,0.009570,88.821000,88.698000
14,0.005190,87.987000,86.956000
15,0.002680,88.755000,87.921000
16,0.000830,89.181000,88.191000
17,0.000270,89.197000,88.297000
18,0.000090,88.968000,88.019000
19,0.000070,89.017000,88.036000
20,0.000030,88.796000,87.872000
