t_s	step	cached_gb	avail_gb	prod_cpu_s_total	disk_rd_sectors
0	0	97	243	0	
5	0	97	243	0	
10	0	97	241	0	
15	0	97	240	0	
20	0	97	240	0	
25	0	97	235	34	
30	0	97	228	86	
35	0	97	224	137	
40	0	97	220	188	
45	0	97	215	241	
50	0	97	212	292	
55	0	97	208	345	
60	0	97	203	398	
65	0	97	200	451	
70	0	97	202	4	
75	0	97	200	48	
81	0	97	198	74	
86	0	97	195	108	
92	0	97	192	150	
98	0	97	188	196	
104	0	97	184	240	
110	0	97	180	286	
115	0	97	175	333	
120	2	98	165	446	
125	2	98	160	561	
130	2	98	158	673	
135	2	98	157	791	
140	2	98	156	906	
145	100	98	158	1020	
150	100	98	156	1132	
155	100	98	154	1246	
160	100	98	154	1358	
166	100	98	154	1470	
171	200	98	154	1582	
176	200	98	155	1697	
181	200	98	154	1811	
186	200	98	154	1925	
191	200	98	153	2037	
196	300	98	153	2153	
201	300	98	154	2263	
206	300	98	153	2376	
211	300	98	153	2490	
219	300	98	154	2628	
225	300	98	157	2740	
233	300	98	158	2893	
239	300	98	159	2992	
247	300	98	161	3149	
256	300	98	161	3354	
263	300	98	162	3514	
271	300	98	162	3700	
277	300	98	159	3866	
282	400	98	155	3980	
287	400	98	154	4091	
292	400	98	152	4201	
297	400	98	152	4313	
302	400	98	153	4420	
307	500	98	152	4533	
312	500	98	152	4640	
317	500	98	151	4750	
323	500	98	151	4858	
329	500	98	152	4900	
336	500	98	155	5032	
346	500	98	158	5188	
356	500	98	160	5464	
370	500	98	160	5795	
378	500	98	159	6002	
383	500	98	157	6135	
388	500	98	154	6246	
393	600	97	210	0	
