procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 2  0    768 151197620 1910968 104296412    0    0   208   260 10810    5  7  1 92  0  0  0 2026-09-11 05:36:33
 2  0    768 150543444 1910976 104331300    0    0     0    51 13803 23268  4  1 95  0  0  0 2026-09-11 05:36:38
11  0    768 148354980 1910976 104332488    0    0     0   151 35612 16063 68  5 27  0  0  0 2026-09-11 05:36:43
 1  0    768 148080160 1910984 104331976    0    0     0   157 14635 11811 16  1 83  0  0  0 2026-09-11 05:36:48
 9  0    768 148214408 1910992 104331740    0    0     0   290 17102 12000 27  2 71  0  0  0 2026-09-11 05:36:53
67  0    768 142617244 1910996 104331756    0    0     0   175 23631 52048 19  5 77  0  0  0 2026-09-11 05:36:58
 1  0    768 135679996 1911008 104331780    0    0     0   261 27407 72749 29  7 65  0  0  0 2026-09-11 05:37:03
60  0    768 130918420 1911016 104331788    0    0     0    34 25978 72219 28  7 65  0  0  0 2026-09-11 05:37:08
 1  0    768 126873360 1911016 104332136    0    0     0    92 27774 74402 29  7 64  0  0  0 2026-09-11 05:37:13
 1  0    768 122082356 1911020 104332148    0    0     0   145 26697 72421 29  7 64  0  0  0 2026-09-11 05:37:18
 1  0    768 118544084 1911020 104332144    0    0     0   117 26258 70943 28  7 65  0  0  0 2026-09-11 05:37:23
 2  0    768 114450284 1911024 104332144    0    0     0    90 26920 72724 29  7 64  0  0  0 2026-09-11 05:37:28
 2  0    768 109599696 1911028 104332148    0    0     0    32 27127 73393 29  7 64  0  0  0 2026-09-11 05:37:33
 3  0    768 106230868 1911036 104332168    0    0     0    67 26961 73159 30  7 64  0  0  0 2026-09-11 05:37:38
 1  0    768 108402764 1911040 104332172    0    0     0   101 19200 47164 15  5 81  0  0  0 2026-09-11 05:37:43
22  0    768 106416416 1911048 104332496    0    0     0   106 45450 132269 14  7 79  0  0  0 2026-09-11 05:37:48
12  0    768 103575744 1911060 104332848    0    0     0   348 39662 109372 15  6 80  0  0  0 2026-09-11 05:37:53
 2  0    768 101583052 1911068 104333176    0    0     0   362 42701 108383 18  5 77  0  0  0 2026-09-11 05:37:58
 1  0    768 98066028 1911072 104333472    0    0    10   325 59053 168677 22  8 70  0  0  0 2026-09-11 05:38:03
 1  0    768 93951776 1911092 104333628    0    0     0   385 58572 168319 21  8 71  0  0  0 2026-09-11 05:38:08
 1  0    768 90054472 1911120 104334340    0    0     0   254 59276 170147 22  8 71  0  0  0 2026-09-11 05:38:13
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
42  1    768 86813368 1911136 104334712    0    0     0   210 50702 147611 17  7 76  0  0  0 2026-09-11 05:38:18
15  0    768 83868744 1911156 104335108    0    0     0   227 41505 115264 14  6 80  0  0  0 2026-09-11 05:38:23
