2026/09/11 06:16:57.117, 0, 35, 210 MHz, 6.88 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:16:57.121, 1, 36, 210 MHz, 10.88 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:16:57.125, 2, 35, 210 MHz, 9.94 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:16:57.130, 3, 36, 210 MHz, 8.14 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:16:59.133, 0, 37, 2595 MHz, 27.24 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:16:59.133, 1, 37, 2595 MHz, 29.97 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:16:59.133, 2, 36, 2595 MHz, 29.36 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:16:59.133, 3, 38, 2595 MHz, 27.58 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:01.133, 0, 37, 2595 MHz, 26.99 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:01.133, 1, 37, 2595 MHz, 29.81 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:01.133, 2, 36, 2595 MHz, 29.40 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:01.133, 3, 38, 2595 MHz, 27.35 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:03.135, 0, 37, 2595 MHz, 27.21 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:03.135, 1, 37, 2595 MHz, 29.83 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:03.135, 2, 36, 2595 MHz, 29.11 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:03.135, 3, 38, 2595 MHz, 27.23 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:05.136, 0, 37, 2595 MHz, 33.82 W, 12 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:05.136, 1, 37, 2595 MHz, 29.85 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:05.136, 2, 36, 2595 MHz, 29.31 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:05.136, 3, 38, 2595 MHz, 27.62 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:07.136, 0, 46, 2745 MHz, 56.92 W, 18 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:07.136, 1, 37, 2595 MHz, 29.84 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:07.136, 2, 36, 2595 MHz, 29.24 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:07.136, 3, 38, 2595 MHz, 27.63 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:09.137, 0, 38, 2745 MHz, 39.76 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:09.137, 1, 37, 2595 MHz, 29.70 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:09.137, 2, 36, 2595 MHz, 29.13 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:09.137, 3, 38, 2595 MHz, 27.46 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:11.137, 0, 37, 2595 MHz, 28.69 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:11.137, 1, 37, 2595 MHz, 29.88 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:11.137, 2, 36, 2595 MHz, 29.32 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:11.137, 3, 38, 2595 MHz, 27.25 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:13.137, 0, 37, 2595 MHz, 26.85 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:13.137, 1, 37, 2595 MHz, 29.82 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:13.137, 2, 36, 2595 MHz, 29.41 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:13.137, 3, 38, 2595 MHz, 27.30 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:15.140, 0, 42, 2595 MHz, 27.28 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:15.140, 1, 37, 2595 MHz, 29.80 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:15.140, 2, 35, 495 MHz, 28.15 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:15.140, 3, 37, 480 MHz, 25.21 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:17.140, 0, 38, 2745 MHz, 54.54 W, 71 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:17.141, 1, 36, 330 MHz, 19.90 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:17.141, 2, 35, 210 MHz, 11.06 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:17.141, 3, 36, 210 MHz, 9.76 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:19.141, 0, 37, 2595 MHz, 30.41 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:19.141, 1, 36, 210 MHz, 10.72 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:19.141, 2, 35, 210 MHz, 10.22 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:19.141, 3, 36, 210 MHz, 8.15 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:21.141, 0, 37, 2595 MHz, 27.31 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:21.141, 1, 35, 210 MHz, 10.82 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:21.142, 2, 35, 210 MHz, 10.16 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:21.142, 3, 36, 210 MHz, 8.15 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:23.142, 0, 37, 2595 MHz, 27.03 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:23.142, 1, 35, 210 MHz, 10.90 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
