t_s	step	cached_gb	avail_gb	prod_cpu_s_total	disk_rd_sectors	trainer_cpu_ticks	main_state	main_wchan	trainer_threads_R
0	0	98	243	0	277248051	5	S	futex_wait_queue	1
5	0	98	243	0	277248291	738	S	futex_wait_queue	1
10	0	98	241	0	277248291	7260	S	futex_wait_queue	1
15	0	98	240	0	277248291	8165	S	futex_wait_queue	0
20	0	98	240	2	277248291	10598	S	futex_wait_queue	0
25	0	98	233	46	277248291	10856	S	futex_wait_queue	0
31	0	98	227	98	277248291	11248	S	futex_wait_queue	1
36	0	98	220	152	277248291	11649	S	futex_wait_queue	1
41	0	98	216	206	277248291	12049	S	futex_wait_queue	1
46	0	98	211	261	277248291	12453	S	futex_wait_queue	1
52	0	98	208	315	277248291	12855	S	futex_wait_queue	1
57	0	98	203	369	277248291	13256	S	futex_wait_queue	0
62	0	98	200	422	277248291	13657	S	futex_wait_queue	1
67	0	98	198	0	277248291	14076	S	futex_wait_queue	0
73	0	98	200	13	277248291	14121	S	futex_wait_queue	0
79	0	98	198	56	277248291	14165	S	futex_wait_queue	0
85	0	98	194	103	277248291	14209	S	futex_wait_queue	0
91	0	98	192	150	277248291	14252	S	futex_wait_queue	0
97	0	98	188	197	277248291	14296	S	futex_wait_queue	0
103	0	98	184	243	277248291	14340	S	futex_wait_queue	0
108	0	98	180	287	277248291	14383	S	futex_wait_queue	0
116	0	98	175	336	277248291	14468	S	futex_wait_queue	6
123	2	99	163	496	277248291	15833	S	futex_wait_queue	1
129	2	99	159	647	277248291	16840	S	futex_wait_queue	1
136	2	99	157	790	277248291	17790	S	futex_wait_queue	1
143	2	99	157	938	277248291	18745	S	futex_wait_queue	3
149	100	99	157	1087	277248291	19677	S	futex_wait_queue	2
156	100	99	155	1229	277248291	20626	S	futex_wait_queue	2
163	100	99	154	1378	277248411	21606	S	futex_wait_queue	0
169	100	99	154	1528	277248523	22544	S	futex_wait_queue	2
176	200	99	153	1669	277248523	23483	S	futex_wait_queue	5
182	200	99	152	1819	277248523	24455	S	futex_wait_queue	3
189	200	99	154	1966	277248523	25412	S	futex_wait_queue	2
199	200	99	154	2108	277248523	26357	S	futex_wait_queue	3
214	300	99	156	2299	277248523	29289	S	futex_wait_queue	4
258	300	99	160	2593	277248523	33315	S	futex_wait_queue	3
265	300	99	158	3546	277249003	38011	S	futex_wait_queue	2
271	300	99	155	3692	277249003	38951	S	futex_wait_queue	1
278	300	99	154	3831	277249003	39879	S	futex_wait_queue	1
284	400	99	153	3977	277249003	40808	S	futex_wait_queue	2
291	400	99	152	4110	277249003	41698	S	futex_wait_queue	1
298	400	99	152	4261	277249131	42647	S	futex_wait_queue	4
304	400	99	152	4395	277249131	43555	S	futex_wait_queue	3
339	500	99	151	4556	277249131	45099	S	futex_wait_queue	4
374	500	99	160	5250	277249275	53156	S	futex_wait_queue	2
380	500	99	156	6007	277249275	56929	S	futex_wait_queue	3
387	500	99	154	6152	277249275	57872	S	futex_wait_queue	1
394	500	99	152	6293	277249483	58798	S	futex_wait_queue	2
399	600	98	230	0	277249483	59613	Z	0	1
