procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 5  0    768 150358924 1945424 105253324    0    0   208   261 10915    5  7  1 92  0  0  0 2026-09-11 06:16:57
 1  0    768 149814980 1945500 105132780    0    0    24   755 35299 47624  8  2 90  0  0  0 2026-09-11 06:17:02
 2  0    768 147839084 1945508 105132856    0    0     0   170 38674 19811 70  7 24  0  0  0 2026-09-11 06:17:07
 1  0    768 147225900 1945512 105133716    0    0     0  1189 21271 19362 16  3 81  0  0  0 2026-09-11 06:17:12
 1  0    768 147357260 1945552 105133784    0    0     0   492 23209 23242 29  2 69  0  0  0 2026-09-11 06:17:17
65  0    768 140671216 1945552 105133820    0    0     0     5 23548 57004 19  5 76  0  0  0 2026-09-11 06:17:22
 2  0    768 134549380 1945556 105133824    0    0     0  1088 26934 72665 28  7 65  0  0  0 2026-09-11 06:17:27
 1  0    768 128282712 1945560 105133844    0    0     0   198 28424 74563 29  7 64  0  0  0 2026-09-11 06:17:32
 1  0    768 122906560 1945568 105133848    0    0     0   108 25980 71340 29  7 65  0  0  0 2026-09-11 06:17:37
 2  0    768 117585204 1945576 105133892    0    0     0    10 27676 75508 29  7 64  0  0  0 2026-09-11 06:17:42
 2  0    768 114499336 1945584 105134040    0    0     0   114 30331 74468 30  8 62  0  0  0 2026-09-11 06:17:47
 2  0    768 110097704 1945592 105134080    0    0     0   131 29453 74530 29  8 62  0  0  0 2026-09-11 06:17:52
 1  0    768 105959148 1945596 105134160    0    0     0   105 27466 73496 29  7 64  0  0  0 2026-09-11 06:17:57
 0  0    768 104214136 1945600 105134184    0    0     0   156 27561 74327 29  7 64  0  0  0 2026-09-11 06:18:02
 1  0    768 106084320 1945608 105134164    0    0     0    82 15111 33799 10  3 86  0  0  0 2026-09-11 06:18:07
 1  0    768 103354032 1945616 105134736    0    0     0   373 60107 169720 22  8 70  0  0  0 2026-09-11 06:18:12
66  0    768 100845216 1945636 105135204    0    0     0   537 49153 140852 16  7 77  0  0  0 2026-09-11 06:18:17
14  0    768 98333692 1945644 105135492    0    0     0   138 39864 112143 14  6 80  0  0  0 2026-09-11 06:18:22
13  0    768 96882264 1945644 105136044    0    0     0   195 44151 110763 18  7 75  0  0  0 2026-09-11 06:18:27
 2  0    768 93715216 1945664 105136356    0    0     0   296 61182 161251 22  9 69  0  0  0 2026-09-11 06:18:32
 1  0    768 89810292 1945676 105136508    0    0     0   242 60026 166616 21  8 71  0  0  0 2026-09-11 06:18:37
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0    768 85726196 1945692 105136820    0    0     0   170 57051 164479 21  8 72  0  0  0 2026-09-11 06:18:42
 1  0    768 81493196 1945716 105137208    0    0     0   136 59084 167686 21  8 70  0  0  0 2026-09-11 06:18:47
188  0    768 73134132 1945740 105421372    0    0     0    90 38829 119395 18 11 71  0  0  0 2026-09-11 06:18:52
75  0    768 66112884 1945748 105750824    0    0     0   167 81979 215975 60 16 24  0  0  0 2026-09-11 06:18:57
69  0    768 62595152 1945760 105750960    0    0     0    76 71237 174568 59 17 24  0  0  0 2026-09-11 06:19:02
73  0    768 61654396 1945768 105751116    0    0     0   152 73559 179122 61 18 21  0  0  0 2026-09-11 06:19:07
43  0    768 60818740 1945776 105751524    0    0     0   445 72238 181212 60 17 23  0  0  0 2026-09-11 06:19:12
77  0    768 59176400 1945784 105751476    0    0     0   175 70675 177190 61 17 22  0  0  0 2026-09-11 06:19:17
66  0    768 59213468 1945792 105751600    0    0     0    31 70981 178266 62 17 21  0  0  0 2026-09-11 06:19:22
 5  0    768 58911672 1945808 105751848    0    0     0   214 71179 177597 60 17 23  0  0  0 2026-09-11 06:19:27
69  0    768 57338688 1945816 105751936    0    0     0    86 68378 175607 62 16 22  0  0  0 2026-09-11 06:19:32
68  0    768 56872352 1945820 105752000    0    0    12   126 68139 179294 60 15 25  0  0  0 2026-09-11 06:19:37
31  0    768 58109948 1945864 105752032    0    0     0   242 67614 178811 61 16 24  0  0  0 2026-09-11 06:19:42
48  0    768 56920804 1945872 105752296    0    0    11    90 69358 180428 62 15 23  0  0  0 2026-09-11 06:19:47
 5  0    768 56973456 1945876 105752336    0    0     0    26 66418 176953 60 15 25  0  0  0 2026-09-11 06:19:52
71  0    768 55438880 1945876 105752316    0    0     0   110 68608 178032 61 15 24  0  0  0 2026-09-11 06:19:57
 4  0    768 56545268 1945880 105752296    0    0     0    99 68744 181000 61 16 24  0  0  0 2026-09-11 06:20:02
 4  0    768 56554100 1945888 105752356    0    0     0    95 67593 176324 59 15 25  0  0  0 2026-09-11 06:20:07
60  0    768 56357840 1945896 105752604    0    0     0    98 69369 177258 61 15 23  0  0  0 2026-09-11 06:20:12
59  0    768 57631976 1945904 105752620    0    0     0   154 37770 33937 65 24 10  0  0  0 2026-09-11 06:20:17
95  0    768 59188028 1945908 105752616    0    0     0    14 34262 21880 62 26 12  0  0  0 2026-09-11 06:20:22
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
88  0    768 60497292 1945912 105752636    0    0     0    93 35851 20196 72 27  1  0  0  0 2026-09-11 06:20:27
14  0    768 61798960 1945940 105752816    0    0     0   202 35672 26596 39 27 34  0  0  0 2026-09-11 06:20:32
66  0    768 62703544 1945948 105752808    0    0     0    59 36354 22240 69 25  6  0  0  0 2026-09-11 06:20:37
106  0    768 64976352 1945948 105752824    0    0     0     2 38220 26526 59 26 14  0  0  0 2026-09-11 06:20:42
175  0    768 65797920 1945956 105752840    0    0     0   113 40472 24371 80 20  0  0  0  0 2026-09-11 06:20:47
289  0    768 66135048 1945972 105753096    0    0    46    74 38611 24382 81 19  0  0  0  0 2026-09-11 06:20:52
226  0    768 66295088 1945972 105753104    0    0     2    95 37896 23900 79 21  0  0  0  0 2026-09-11 06:20:57
237  0    768 65948456 1945976 105753108    0    0     0    86 39220 24755 80 20  0  0  0  0 2026-09-11 06:21:02
169  0    768 65629632 1945980 105753116    0    0     0    86 38036 24066 81 19  0  0  0  0 2026-09-11 06:21:07
95  0    768 65130728 1945988 105753124    0    0     0    86 40128 27192 77 22  0  0  0  0 2026-09-11 06:21:12
194  0    768 63394812 1945996 105753412    0    0     0    75 54518 120887 61 19 19  0  0  0 2026-09-11 06:21:17
70  0    768 60370348 1946000 105753404    0    0     0    93 70409 187593 62 15 22  0  0  0 2026-09-11 06:21:22
72  0    768 57429724 1946004 105753408    0    0     0    94 70431 187465 60 15 25  0  0  0 2026-09-11 06:21:27
57  0    768 56666240 1946008 105753408    0    0     0    83 69944 188263 58 15 27  0  0  0 2026-09-11 06:21:32
71  0    768 56352440 1946016 105753396    0    0     0    82 70433 187352 60 15 25  0  0  0 2026-09-11 06:21:37
20  0    768 54974108 1946028 105753416    0    0     0    23 70757 187413 60 15 25  0  0  0 2026-09-11 06:21:42
69  0    768 54958536 1946044 105753552    0    0     0   218 67268 185202 56 14 29  0  0  0 2026-09-11 06:21:47
 6  0    768 53873284 1946048 105753616    0    0    13    66 69755 190155 60 15 25  0  0  0 2026-09-11 06:21:52
66  0    768 55616496 1946048 105753628    0    0     0    77 67738 188550 57 15 28  0  0  0 2026-09-11 06:21:57
 8  0    768 53315216 1946056 105753604    0    0     0   124 70947 187265 61 15 24  0  0  0 2026-09-11 06:22:02
78  0    768 53661180 1946064 105753592    0    0     0   130 57003 129182 64 17 19  0  0  0 2026-09-11 06:22:07
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
59  0    768 54651620 1946068 105753740    0    0     0    21 37170 26473 59 27 13  0  0  0 2026-09-11 06:22:12
83  0    768 57114152 1946076 105753884    0    0     0   147 35352 22258 65 27  8  0  0  0 2026-09-11 06:22:17
85  0    768 58971332 1946084 105753884    0    0     0    99 35450 22603 62 29  9  0  0  0 2026-09-11 06:22:22
87  0    768 60752016 1946088 105753888    0    0     0    64 36665 21068 72 26  1  0  0  0 2026-09-11 06:22:28
56  0    768 62159424 1946096 105753708    0    0    13    84 38552 24817 76 24  1  0  0  0 2026-09-11 06:22:33
67  0    768 62709436 1946104 105753716    0    0     2    66 37895 23803 66 28  6  0  0  0 2026-09-11 06:22:38
84  0    768 63329272 1946112 105753720    0    0     0    86 39592 24429 74 25  1  0  0  0 2026-09-11 06:22:43
115  0    768 63669268 1946116 105753732    0    0     0    62 38684 23085 74 26  1  0  0  0 2026-09-11 06:22:48
134  0    768 63402604 1946120 105753764    0    0     0    94 38461 23534 78 22  1  0  0  0 2026-09-11 06:22:53
77  0    768 62807312 1946148 105753900    0    0     0   167 38958 24421 80 20  0  0  0  0 2026-09-11 06:22:58
51  0    768 63427848 1946152 105753900    0    0     0    71 38435 22174 71 27  2  0  0  0 2026-09-11 06:23:03
71  0    768 63223708 1946156 105753904    0    0     0     6 39426 24367 73 25  1  0  0  0 2026-09-11 06:23:08
110  0    768 60529536 1946160 105754212    0    0     0   102 62188 153059 68 22 10  0  0  0 2026-09-11 06:23:13
60  0    768 59205348 1946160 105754216    0    0     0   125 68906 188915 59 15 26  0  0  0 2026-09-11 06:23:18
51  0    768 55725268 1946164 105754216    0    0     0   100 70039 192441 61 15 25  0  0  0 2026-09-11 06:23:23
 4  0    768 55285308 1946168 105754324    0    0    21    71 68433 187794 59 15 26  0  0  0 2026-09-11 06:23:28
51  0    768 62761456 1946172 105260456    0    0     0    90 70045 186609 59 16 26  0  0  0 2026-09-11 06:23:33
 1  0    768 141578756 1946180 105105460    0    0     0    72 15054 16534  6  6 88  0  0  0 2026-09-11 06:23:38
