t_s	step	cached_gb	avail_gb	prod_cpu_s_total	disk_rd_sectors
0	0	97	243	0	
5	0	97	243	0	
10	0	97	241	0	
15	0	97	240	0	
20	0	97	240	0	
25	0	97	235	35	
30	0	97	228	87	
35	0	97	224	138	
40	0	97	219	190	
45	0	97	216	242	
50	0	97	212	295	
55	0	97	208	348	
60	0	97	204	397	
65	0	97	202	448	
70	0	97	203	3	
75	0	97	200	42	
80	0	97	198	70	
86	0	97	195	103	
92	0	97	192	147	
98	0	97	188	193	
104	0	97	184	239	
110	0	97	180	284	
115	0	97	175	331	
120	2	98	163	446	
125	2	98	160	573	
130	2	98	158	704	
135	2	98	157	828	
140	2	98	156	944	
145	100	98	157	1061	
150	100	98	157	1182	
155	100	98	153	1303	
160	100	98	155	1430	
165	100	98	154	1549	
170	200	98	153	1667	
176	200	98	153	1789	
181	200	98	153	1909	
186	200	98	153	2028	
191	200	98	153	2145	
196	300	98	155	2262	
201	300	98	153	2388	
206	300	98	155	2464	
212	300	98	157	2555	
218	300	98	159	2680	
225	300	98	161	2816	
232	300	98	163	2970	
239	300	98	163	3133	
246	300	98	162	3290	
252	300	98	162	3446	
259	300	98	162	3591	
265	300	98	161	3741	
270	300	98	158	3858	
275	300	98	156	3989	
280	300	98	155	4117	
285	400	98	154	4241	
290	400	98	153	4366	
295	400	98	153	4485	
300	400	98	153	4608	
305	500	98	152	4731	
311	500	98	154	4847	
318	500	98	156	4945	
324	500	98	158	5077	
331	500	98	159	5209	
337	500	98	159	5325	
343	500	98	159	5473	
352	500	98	160	5617	
358	500	98	160	5780	
363	500	98	160	5896	
368	500	98	158	6034	
373	500	98	154	6168	
378	500	98	153	6296	
383	500	98	152	6418	
388	600	97	234	0	
