procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 5  0    768 151137772 1911756 104302216    0    0   208   260 10832    5  7  1 92  0  0  0 2026-09-11 05:44:45
 2  0    768 150487928 1911868 104337124    0    0    30    63 14288 23826  4  1 95  0  0  0 2026-09-11 05:44:50
14  0    768 148419488 1911872 104338064    0    0     0   179 34268 13833 67  5 29  0  0  0 2026-09-11 05:44:55
 9  0    768 147757708 1911872 104337596    0    0     0   142 15060 12432 16  1 82  0  0  0 2026-09-11 05:45:00
14  0    768 148004076 1911880 104337344    0    0     0   183 16911 11602 26  2 72  0  0  0 2026-09-11 05:45:05
62  0    768 142284056 1911884 104337564    0    0     0   175 24882 54698 20  5 76  0  0  0 2026-09-11 05:45:10
 1  0    768 135465436 1911888 104337740    0    0     0   153 27305 74335 28  7 65  0  0  0 2026-09-11 05:45:15
58  0    768 131517800 1911896 104337748    0    0     0   138 26095 73709 28  7 65  0  0  0 2026-09-11 05:45:20
 1  0    768 126241104 1911904 104337752    0    0     0   104 25828 72435 28  7 65  0  0  0 2026-09-11 05:45:25
 4  0    768 122759444 1911924 104337752    0    0     0   158 26767 73736 29  7 64  0  0  0 2026-09-11 05:45:30
 1  0    768 118794844 1911928 104337748    0    0     0    90 26516 73138 30  7 64  0  0  0 2026-09-11 05:45:35
 1  0    768 114341252 1911936 104337748    0    0     0    92 26713 73979 30  7 64  0  0  0 2026-09-11 05:45:40
 1  0    768 110534656 1911944 104337764    0    0     0    11 26245 72947 28  7 66  0  0  0 2026-09-11 05:45:45
 1  0    768 108088824 1911984 104337800    0    0     0   547 25525 70233 28  6 65  0  0  0 2026-09-11 05:45:50
 1  0    768 109476400 1911984 104337768    0    0     0    28 18617 46354 16  5 79  0  0  0 2026-09-11 05:45:55
10  0    768 107369136 1911992 104338076    0    0     0    98 40464 115395 11  6 83  0  0  0 2026-09-11 05:46:00
15  0    768 104151024 1912000 104338372    0    0     0   219 41965 114658 17  6 78  0  0  0 2026-09-11 05:46:05
 2  0    768 102066336 1912008 104338828    0    0     0   234 45428 121226 19  5 76  0  0  0 2026-09-11 05:46:10
 1  0    768 98057784 1912020 104339212    0    0     0   222 58751 170379 22  8 70  0  0  0 2026-09-11 05:46:15
 1  0    768 94114024 1912028 104339412    0    0     0   302 55712 168203 21  8 71  0  0  0 2026-09-11 05:46:20
 1  0    768 90049284 1912048 104339788    0    0     0    53 57411 168070 21  8 71  0  0  0 2026-09-11 05:46:25
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
42  0    768 86493292 1912072 104340192    0    0     0   426 49831 146533 16  7 76  0  0  0 2026-09-11 05:46:30
14  0    768 83652180 1912092 104340220    0    0     0   214 42370 122664 14  6 79  0  0  0 2026-09-11 05:46:35
79  0    768 78001804 1912116 104371276    0    0     0   209 39420 110025 19  6 75  0  0  0 2026-09-11 05:46:40
108  0    768 66896032 1912128 105018436    0    0     0   222 81956 255809 60 20 19  0  0  0 2026-09-11 05:46:45
66  0    768 63356108 1912136 105018468    0    0     0    91 60726 168817 68 18 14  0  0  0 2026-09-11 05:46:50
94  0    768 61802268 1912136 105018480    0    0     0    18 67684 182843 69 18 13  0  0  0 2026-09-11 05:46:55
57  0    768 61310696 1912136 105018480    0    0     0    66 66243 173961 67 17 17  0  0  0 2026-09-11 05:47:00
56  0    768 60108216 1912152 105018488    0    0     0   342 66749 179672 64 16 20  0  0  0 2026-09-11 05:47:05
69  0    768 60891264 1912156 105018676    0    0     0    76 67749 180709 64 16 20  0  0  0 2026-09-11 05:47:10
 5  0    768 60199468 1912160 105018860    0    0     0   169 65520 175075 65 16 19  0  0  0 2026-09-11 05:47:15
 9  0    768 57358704 1912164 105018860    0    0     0    98 68150 182518 66 17 17  0  0  0 2026-09-11 05:47:20
66  0    768 58550508 1912168 105018864    0    0     0    87 67560 181421 67 17 16  0  0  0 2026-09-11 05:47:25
63  0    768 58024620 1912168 105018876    0    0     0    13 68702 179556 65 16 19  0  0  0 2026-09-11 05:47:30
 7  0    768 56543120 1912172 105018884    0    0     0    82 68408 179397 64 16 20  0  0  0 2026-09-11 05:47:35
64  0    768 57003332 1912176 105018948    0    0    12    78 69425 179893 66 16 18  0  0  0 2026-09-11 05:47:40
69  0    768 57217048 1912184 105018972    0    0     0    79 69607 181238 64 16 20  0  0  0 2026-09-11 05:47:45
15  0    768 56226120 1912184 105019000    0    0     0    95 69659 177643 66 16 18  0  0  0 2026-09-11 05:47:50
34  0    768 56579560 1912188 105019012    0    0     0    18 68305 176863 64 16 20  0  0  0 2026-09-11 05:47:55
64  0    768 58216132 1912188 105019012    0    0     0    98 68666 178513 64 16 20  0  0  0 2026-09-11 05:48:00
69  0    768 58150800 1912196 105019032    0    0     0   112 68536 178687 67 17 16  0  0  0 2026-09-11 05:48:05
12  0    768 58348340 1912212 105019032    0    0     0   125 44415 57539 69 21 10  0  0  0 2026-09-11 05:48:10
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
80  0    768 59772764 1912236 105019448    0    0    13   165 34505 24343 47 24 29  0  0  0 2026-09-11 05:48:15
80  0    768 61601904 1912240 105019456    0    0     0   163 35925 21686 71 28  1  0  0  0 2026-09-11 05:48:20
83  0    768 63756628 1912248 105019456    0    0     0    31 34918 22583 70 28  1  0  0  0 2026-09-11 05:48:25
151  0    768 65053276 1912248 105019460    0    0     0   117 37701 24462 71 28  1  0  0  0 2026-09-11 05:48:30
159  0    768 66355328 1912252 105019460    0    0     0    74 36231 20678 76 23  1  0  0  0 2026-09-11 05:48:35
266  0    768 66741196 1912256 105019460    0    0     0     9 37684 23140 80 20  0  0  0  0 2026-09-11 05:48:40
231  0    768 66644804 1912260 105019484    0    0     0    87 38815 25536 80 20  0  0  0  0 2026-09-11 05:48:45
241  0    768 66271168 1912264 105019516    0    0     0    98 37697 22832 81 19  0  0  0  0 2026-09-11 05:48:50
175  0    768 65920308 1912264 105019524    0    0     0    72 38278 24660 78 21  0  0  0  0 2026-09-11 05:48:55
120  0    768 65798620 1912268 105019524    0    0     0    83 38846 22365 79 20  0  0  0  0 2026-09-11 05:49:00
91  0    768 65446508 1912272 105019540    0    0     0     6 38073 22397 77 23  0  0  0  0 2026-09-11 05:49:05
 8  0    768 65945968 1912276 105019716    0    0     0    97 41257 34540 71 24  6  0  0  0 2026-09-11 05:49:10
201  0    768 62713104 1912280 105019944    0    0    11   162 49357 180247 66 17 17  0  0  0 2026-09-11 05:49:15
 6  0    768 59269908 1912284 105019944    0    0     0    97 57192 173333 69 17 14  0  0  0 2026-09-11 05:49:20
102  0    768 58817776 1912300 105019944    0    0     0   135 64749 186611 69 18 13  0  0  0 2026-09-11 05:49:25
62  0    768 57096372 1912308 105019948    0    0     0    41 66214 188418 66 17 17  0  0  0 2026-09-11 05:49:30
 6  0    768 56391936 1912316 105019948    0    0     0    84 65801 186836 65 17 18  0  0  0 2026-09-11 05:49:35
64  0    768 55762580 1912320 105019948    0    0     0    91 67788 193509 66 17 17  0  0  0 2026-09-11 05:49:40
74  0    768 57233224 1912324 105019972    0    0     0    65 68459 192441 66 17 17  0  0  0 2026-09-11 05:49:45
67  0    768 55758228 1912324 105020000    0    0     0   106 68491 191919 67 17 17  0  0  0 2026-09-11 05:49:50
99  0    768 56957016 1912324 105020008    0    0     0    17 36796 22491 71 27  3  0  0  0 2026-09-11 05:49:55
