t_s	step	cached_gb	avail_gb	prod_cpu_s_total	disk_rd_sectors	trainer_cpu_ticks	main_state	main_wchan	trainer_threads_R
0	0	98	243	0	277552267	5	S	futex_wait_queue	1
6	0	98	243	0	277552267	773	S	futex_wait_queue	1
11	0	98	241	0	277552267	7243	S	futex_wait_queue	1
16	0	98	240	0	277552267	8161	S	futex_wait_queue	0
21	0	98	240	2	277552267	10606	S	futex_wait_queue	0
26	0	98	234	44	277552267	10857	S	futex_wait_queue	1
31	0	98	227	98	277552267	11255	S	futex_wait_queue	0
37	0	98	222	152	277552267	11653	S	futex_wait_queue	0
42	0	98	218	204	277552267	12050	S	futex_wait_queue	1
47	0	98	215	258	277552267	12446	S	futex_wait_queue	1
52	0	98	210	312	277552267	12849	S	futex_wait_queue	1
57	0	98	204	367	277552267	13257	S	futex_wait_queue	1
63	0	98	200	424	277552267	13656	S	futex_wait_queue	1
68	0	98	201	0	277552267	14062	S	futex_wait_queue	0
73	0	98	200	20	277552267	14106	S	futex_wait_queue	0
79	0	98	197	58	277552267	14149	S	futex_wait_queue	0
85	0	98	194	103	277552267	14190	S	futex_wait_queue	0
91	0	98	190	150	277552267	14234	S	futex_wait_queue	0
97	0	98	187	195	277552267	14276	S	futex_wait_queue	0
103	0	98	183	239	277552267	14318	S	futex_wait_queue	0
108	0	98	179	287	277552267	14364	S	futex_wait_queue	0
114	0	98	174	336	277552267	14434	S	futex_wait_queue	5
121	2	99	163	459	277552267	15484	S	futex_wait_queue	1
128	2	99	159	603	277552267	16516	S	futex_wait_queue	5
135	2	99	158	766	277552267	17524	S	futex_wait_queue	0
142	2	99	156	922	277552267	18505	S	futex_wait_queue	1
149	100	99	157	1071	277552267	19472	S	futex_wait_queue	3
156	100	99	157	1225	277552267	20472	S	futex_wait_queue	3
162	100	99	156	1382	277552267	21475	S	futex_wait_queue	3
169	100	99	155	1534	277552267	22445	S	futex_wait_queue	6
176	200	99	156	1687	277552267	23443	S	futex_wait_queue	1
183	200	99	155	1837	277552379	24425	S	futex_wait_queue	1
190	200	99	154	1990	277552379	25402	S	futex_wait_queue	2
197	300	99	153	2147	277552379	26418	S	futex_wait_queue	1
224	300	99	154	2336	277552379	28097	S	futex_wait_queue	1
263	300	99	160	2800	277552547	34216	S	futex_wait_queue	4
269	300	99	157	3655	277552563	38518	S	futex_wait_queue	1
276	300	99	155	3803	277552563	39458	S	futex_wait_queue	2
283	400	99	154	3957	277552563	40447	S	futex_wait_queue	4
290	400	99	153	4105	277552563	41419	S	futex_wait_queue	1
297	400	99	152	4250	277552563	42383	S	futex_wait_queue	1
304	400	99	153	4401	277552651	43364	S	futex_wait_queue	1
325	500	99	152	4550	277552651	44327	S	futex_wait_queue	3
335	500	99	157	4977	277552651	49855	S	futex_wait_queue	3
378	500	99	159	5148	277552835	53506	S	futex_wait_queue	3
384	500	99	157	6082	277553747	57895	S	futex_wait_queue	1
391	500	99	154	6228	277553747	58823	S	futex_wait_queue	1
397	600	99	153	6373	277553747	59782	S	futex_wait_queue	2
