procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 4  0    768 150229824 1948356 105274880    0    0   208   264 10986    5  7  1 92  0  0  0 2026-09-11 06:43:50
 1  0    768 149543564 1948364 105309732    0    0     0   108 14160 23567  5  1 94  0  0  0 2026-09-11 06:43:55
 1  0    768 147429824 1948372 105310072    0    0     0   158 35720 14948 68  5 27  0  0  0 2026-09-11 06:44:00
 1  0    768 146933612 1948376 105310484    0    0     0   119 14231 11822 15  1 83  0  0  0 2026-09-11 06:44:05
32  0    768 147142636 1948384 105310364    0    0     0   354 19056 13117 29  2 70  0  0  0 2026-09-11 06:44:10
 2  0    768 141077668 1948392 105310664    0    0     0   142 24672 58395 19  5 76  0  0  0 2026-09-11 06:44:15
 1  0    768 133927988 1948416 105310680    0    0     0   163 27081 72490 29  7 64  0  0  0 2026-09-11 06:44:20
 2  0    768 129455672 1948420 105310744    0    0     0    80 27102 74003 29  7 64  0  0  0 2026-09-11 06:44:25
66  0    768 124650344 1948424 105310800    0    0     0    69 26679 72834 28  7 65  0  0  0 2026-09-11 06:44:30
60  0    768 121517700 1948432 105310824    0    0     0    88 26646 72818 29  7 65  0  0  0 2026-09-11 06:44:35
 8  0    768 117079204 1948440 105310856    0    0     0   179 26666 72480 29  7 64  0  0  0 2026-09-11 06:44:40
 2  0    768 111015852 1948440 105310888    0    0     0     2 28006 74699 31  7 63  0  0  0 2026-09-11 06:44:45
62  0    768 106441280 1948448 105310916    0    0     0    72 26659 74101 29  7 64  0  0  0 2026-09-11 06:44:50
 1  0    768 103030600 1948456 105310960    0    0     0   100 28092 75272 31  7 63  0  0  0 2026-09-11 06:44:55
 1  0    768 105427380 1948464 105310944    0    0     0    94 13942 31190  9  3 88  0  0  0 2026-09-11 06:45:00
 2  0    768 102638756 1948472 105311260    0    0     0   238 58895 168428 21  8 71  0  0  0 2026-09-11 06:45:05
27  0    768 99674316 1948480 105311744    0    0     0   280 57172 161076 20  8 72  0  0  0 2026-09-11 06:45:10
13  0    768 97468456 1948488 105312180    0    0     0   390 40760 113874 13  6 81  0  0  0 2026-09-11 06:45:15
18  0    768 94516700 1948496 105312464    0    0     0   248 41821 116779 16  6 78  0  0  0 2026-09-11 06:45:20
 2  0    768 91965012 1948524 105312828    0    0     0   232 46680 127154 19  6 75  0  0  0 2026-09-11 06:45:25
 1  0    768 87960144 1948568 105313036    0    0     0   231 57642 166062 21  8 71  0  0  0 2026-09-11 06:45:30
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0    768 83806008 1948584 105313152    0    0     0   169 58985 168017 22  8 70  0  0  0 2026-09-11 06:45:35
 1  0    768 79723472 1948608 105313540    0    0     0   135 56190 166020 21  8 71  0  0  0 2026-09-11 06:45:40
64  0    768 72040244 1948628 105646392    0    0     0   497 46058 143443 30 13 57  0  0  0 2026-09-11 06:45:45
34  0    768 65310668 1948636 105926380    0    0     0   204 83112 237120 55 16 29  0  0  0 2026-09-11 06:45:50
60  0    768 61800620 1948648 105926420    0    0     0    22 71061 178867 59 15 26  0  0  0 2026-09-11 06:45:55
70  0    768 60637336 1948648 105926540    0    0     0    64 72341 178338 62 16 22  0  0  0 2026-09-11 06:46:00
 6  0    768 60293308 1948656 105926568    0    0     0   111 73924 179557 61 16 23  0  0  0 2026-09-11 06:46:05
73  0    768 59311520 1948660 105926796    0    0     0    88 73030 182011 61 15 23  0  0  0 2026-09-11 06:46:10
