t_s	step	cached_gb	avail_gb	prod_cpu_s_total	disk_rd_sectors	trainer_cpu_ticks	main_state	main_wchan	trainer_threads_R
0	0	97	243	0	276202155	4	S	futex_wait_queue	1
5	0	97	243	0	276202155	781	S	futex_wait_queue	4
10	0	97	241	0	276202155	7259	S	futex_wait_queue	1
15	0	97	240	0	276202155	8191	S	futex_wait_queue	0
21	0	97	241	2	276202155	10654	S	futex_wait_queue	0
26	0	97	234	42	276202155	10880	S	futex_wait_queue	1
31	0	97	227	94	276202155	11271	S	futex_wait_queue	1
36	0	97	222	149	276202155	11671	S	futex_wait_queue	0
41	0	97	218	201	276202155	12063	S	futex_wait_queue	1
47	0	97	213	255	276202155	12462	S	futex_wait_queue	1
52	0	97	209	310	276202155	12868	S	futex_wait_queue	1
57	0	97	204	368	276202155	13269	S	futex_wait_queue	1
62	0	97	200	423	276202155	13669	S	futex_wait_queue	0
68	0	97	196	0	276202155	14112	S	futex_wait_queue	0
73	0	97	198	13	276202155	14153	S	futex_wait_queue	0
79	0	97	196	56	276202155	14200	S	futex_wait_queue	0
85	0	97	193	101	276202155	14243	S	futex_wait_queue	1
91	0	97	190	149	276202155	14289	S	futex_wait_queue	0
97	0	97	186	194	276202155	14331	S	futex_wait_queue	0
103	0	97	182	239	276202155	14373	S	futex_wait_queue	0
109	0	97	178	284	276202155	14418	S	futex_wait_queue	0
115	0	97	174	330	276202155	14484	S	futex_wait_queue	2
121	2	98	162	461	276202155	15599	S	futex_wait_queue	4
128	2	98	160	600	276202155	16587	S	futex_wait_queue	1
134	2	98	157	743	276202155	17501	S	futex_wait_queue	3
141	2	98	157	892	276202155	18451	S	futex_wait_queue	3
148	100	98	156	1037	276202171	19379	S	futex_wait_queue	1
154	100	98	155	1187	276202171	20318	S	futex_wait_queue	1
161	100	98	154	1330	276202403	21267	S	futex_wait_queue	1
167	100	98	155	1474	276202403	22201	S	futex_wait_queue	1
174	200	98	154	1623	276202531	23173	S	futex_wait_queue	1
180	200	98	153	1769	276202531	24085	S	futex_wait_queue	1
187	200	98	154	1917	276202635	25053	S	futex_wait_queue	2
193	200	98	153	2063	276202851	25994	S	futex_wait_queue	1
200	300	98	152	2207	276202931	26913	S	futex_wait_queue	2
206	300	98	153	2350	276203203	27855	S	futex_wait_queue	2
213	300	98	152	2491	276203203	28774	S	futex_wait_queue	4
258	300	98	152	2623	276203203	30202	S	futex_wait_queue	1
281	300	98	162	3609	276203299	39676	S	futex_wait_queue	2
288	400	98	157	4074	276203315	41701	S	futex_wait_queue	2
294	400	98	155	4215	276203315	42613	S	futex_wait_queue	4
301	400	98	154	4358	276203315	43552	S	futex_wait_queue	2
307	400	98	153	4499	276203315	44465	S	futex_wait_queue	0
314	500	98	151	4642	276203315	45411	S	futex_wait_queue	1
320	500	98	151	4779	276203315	46326	S	futex_wait_queue	2
346	500	98	151	4948	276203315	47828	S	futex_wait_queue	2
389	500	98	157	5402	276203315	54249	S	futex_wait_queue	4
395	600	98	158	6380	276203315	58949	S	futex_wait_queue	1
