procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 5  0    768 151202172 1912820 104311784    0    0   208   260 10853    5  7  1 92  0  0  0 2026-09-11 05:53:32
 1  0    768 150521372 1912820 104347052    0    0     0    74 14065 23422  4  1 94  0  0  0 2026-09-11 05:53:37
 3  0    768 148376524 1912824 104347324    0    0     0   105 36017 15553 69  5 27  0  0  0 2026-09-11 05:53:42
 1  0    768 147971948 1912828 104347644    0    0     0  1566 14658 12344 16  1 83  0  0  0 2026-09-11 05:53:47
 3  0    768 148284612 1912836 104347736    0    0     0   348 17529 11986 28  2 71  0  0  0 2026-09-11 05:53:52
44  0    768 142287060 1912844 104347516    0    0     0   125 23146 53162 19  5 76  0  0  0 2026-09-11 05:53:57
 1  0    768 135139560 1912848 104347532    0    0     0   186 26831 72872 28  7 65  0  0  0 2026-09-11 05:54:02
 2  0    768 130177308 1912856 104347604    0    0     0    15 27439 73606 29  7 64  0  0  0 2026-09-11 05:54:07
63  0    768 125904856 1912868 104347932    0    0     0   209 27908 75670 28  7 65  0  0  0 2026-09-11 05:54:12
64  0    768 120596328 1912872 104347972    0    0     0   102 27591 73329 30  7 64  0  0  0 2026-09-11 05:54:17
58  0    768 116878032 1912880 104348000    0    0     0   104 30507 73606 33  7 61  0  0  0 2026-09-11 05:54:22
 1  0    768 111919412 1912880 104348000    0    0     0    65 27270 73823 30  7 63  0  0  0 2026-09-11 05:54:27
56  0    768 107938236 1912884 104348040    0    0     0   118 27413 75181 30  7 64  0  0  0 2026-09-11 05:54:32
 1  0    768 102954368 1912888 104348088    0    0     0    94 27650 73790 31  7 63  0  0  0 2026-09-11 05:54:37
 1  0    768 104772536 1912892 104348088    0    0     0    85 16641 37635 12  4 85  0  0  0 2026-09-11 05:54:42
 1  0    768 102348172 1912896 104348436    0    0     0   162 58580 168143 21  8 71  0  0  0 2026-09-11 05:54:47
29  0    768 100649984 1912896 104348692    0    0     0   245 43951 127360 12  7 81  0  0  0 2026-09-11 05:54:52
19  0    768 98151452 1912900 104348992    0    0     0   225 41802 115127 16  6 78  0  0  0 2026-09-11 05:54:57
 2  0    768 96493124 1912912 104349332    0    0     0   134 41272 105395 17  5 78  0  0  0 2026-09-11 05:55:02
 2  0    768 92586096 1912940 104349596    0    0     0   367 58236 168194 22  8 70  0  0  0 2026-09-11 05:55:07
 1  0    768 88541404 1912952 104350116    0    0     0   235 59012 169043 21  8 71  0  0  0 2026-09-11 05:55:12
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0    768 84633340 1912988 104350528    0    0     0   371 57266 166775 21  8 71  0  0  0 2026-09-11 05:55:17
47  0    768 80368092 1913012 104350908    0    0     0   139 57748 165496 21  8 71  0  0  0 2026-09-11 05:55:22
168  0    768 73604776 1913036 104545332    0    0     0    74 36715 116885 16 10 74  0  0  0 2026-09-11 05:55:27
66  0    768 65479868 1913036 105029144    0    0     0   108 82317 217316 60 16 25  0  0  0 2026-09-11 05:55:32
 8  0    768 62212972 1913040 105029180    0    0     0   304 66711 171607 58 15 27  0  0  0 2026-09-11 05:55:37
114  0    768 61652040 1913040 105029232    0    0     0    84 69082 182208 61 16 23  0  0  0 2026-09-11 05:55:42
69  0    768 61859936 1913048 105029332    0    0     0    70 70120 177997 61 16 23  0  0  0 2026-09-11 05:55:47
 6  0    768 59614656 1913068 105029348    0    0     0   462 69707 182863 61 15 24  0  0  0 2026-09-11 05:55:52
39  0    768 60359136 1913072 105029376    0    0     2    69 70669 183496 61 15 24  0  0  0 2026-09-11 05:55:57
 6  0    768 60200048 1913076 105029388    0    0     0   198 69551 183457 61 16 24  0  0  0 2026-09-11 05:56:02
66  0    768 58257064 1913084 105029404    0    0     0    85 69346 180282 60 15 24  0  0  0 2026-09-11 05:56:07
63  0    768 58356736 1913092 105029864    0    0    23    38 71811 184330 60 15 25  0  0  0 2026-09-11 05:56:12
