t_s	step	cached_gb	avail_gb	prod_cpu_s_total	disk_rd_sectors	trainer_cpu_ticks	main_state	main_wchan	trainer_threads_R
0	0	97	243	0	276204659	5	S	futex_wait_queue	1
5	0	97	242	0	276204659	764	S	futex_wait_queue	4
10	0	97	241	0	276204659	7292	S	futex_wait_queue	1
15	0	97	240	0	276204659	8226	S	futex_wait_queue	0
20	0	97	240	2	276204795	10639	S	futex_wait_queue	0
25	0	97	234	36	276204795	10877	S	futex_wait_queue	1
31	0	97	228	79	276204795	11279	S	futex_wait_queue	1
36	0	97	223	124	276204795	11677	S	futex_wait_queue	1
41	0	97	219	170	276204795	12076	S	futex_wait_queue	1
46	0	97	212	216	276204795	12471	S	futex_wait_queue	1
51	0	97	209	263	276204795	12870	S	futex_wait_queue	0
57	0	97	204	310	276204795	13252	S	futex_wait_queue	1
62	0	97	201	356	276204795	13638	S	futex_wait_queue	0
67	0	97	202	2	276204795	13930	S	futex_wait_queue	0
72	0	97	201	31	276204795	13974	S	futex_wait_queue	0
77	0	97	198	64	276204795	14016	S	futex_wait_queue	0
83	0	97	195	94	276204915	14059	S	futex_wait_queue	0
88	0	97	192	134	276204915	14102	S	futex_wait_queue	0
94	0	97	188	173	276204915	14147	S	futex_wait_queue	0
100	0	97	183	216	276204979	14188	S	futex_wait_queue	0
106	0	97	181	256	276204979	14232	S	futex_wait_queue	0
112	0	97	176	299	276204979	14294	S	futex_wait_queue	2
118	2	98	163	408	276204979	15479	S	futex_wait_queue	0
125	2	98	159	533	276204979	16664	S	futex_wait_queue	1
131	2	98	157	674	276204979	17894	S	futex_wait_queue	2
138	2	98	158	807	276204979	19035	S	futex_wait_queue	1
144	100	98	158	950	276204979	20282	S	futex_wait_queue	0
151	100	98	158	1089	276204979	21472	S	futex_wait_queue	3
157	100	98	156	1227	276204979	22653	S	futex_wait_queue	1
164	100	98	157	1363	276204979	23840	S	futex_wait_queue	1
170	200	98	155	1510	276204979	25031	S	futex_wait_queue	3
177	200	98	155	1650	276204979	26297	S	futex_wait_queue	1
231	200	98	156	1840	276204979	28854	S	futex_wait_queue	4
243	200	98	162	2845	276204995	36338	S	futex_wait_queue	1
249	200	98	159	3017	276204995	37443	S	futex_wait_queue	1
255	300	98	156	3156	276204995	38580	S	futex_wait_queue	1
261	300	98	154	3285	276204995	39661	S	futex_wait_queue	1
268	300	98	152	3414	276204995	40824	S	futex_wait_queue	4
275	300	98	153	3553	276204995	42064	S	futex_wait_queue	1
281	400	98	152	3697	276204995	43303	S	futex_wait_queue	1
317	400	98	154	3859	276204995	44979	S	futex_wait_queue	2
341	400	98	161	4484	276205163	50408	S	futex_wait_queue	2
348	400	98	159	4927	276205163	52549	S	futex_wait_queue	1
355	400	98	154	5069	276205163	53792	S	futex_wait_queue	2
362	500	98	153	5210	276446979	55058	S	futex_wait_queue	1
368	500	98	153	5356	276454115	56333	S	futex_wait_queue	2
375	500	98	151	5497	276454115	57555	S	futex_wait_queue	0
381	500	98	152	5633	276454115	58746	S	futex_wait_queue	5
387	600	98	177	5763	276454235	59840	Z	0	1
