procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 2  0    768 150878280 1914128 104336112    0    0   207   260 10892    5  7  1 92  0  0  0 2026-09-11 06:08:45
 1  0    768 150286668 1914132 104370968    0    0     0   116 13833 23136  4  1 95  0  0  0 2026-09-11 06:08:50
 9  0    768 148406092 1914136 104371304    0    0     0    88 37002 16657 69  6 25  0  0  0 2026-09-11 06:08:55
 2  0    768 147916332 1914144 104371560    0    0     0   154 18522 14359 16  3 81  0  0  0 2026-09-11 06:09:00
 2  0    768 148221748 1914152 104371308    0    0    14    82 17938 12425 27  2 71  0  0  0 2026-09-11 06:09:05
 3  0    768 141974928 1914160 104371552    0    0     0   128 23297 55839 16  4 79  0  0  0 2026-09-11 06:09:10
 2  0    768 136050716 1914164 104371760    0    0     0   178 27347 78840 23  6 71  0  0  0 2026-09-11 06:09:15
 2  0    768 130994404 1914172 104371808    0    0     0    87 27363 78760 24  6 70  0  0  0 2026-09-11 06:09:20
49  0    768 127373448 1914196 104371784    0    0     0   171 29434 79876 24  7 69  0  0  0 2026-09-11 06:09:25
45  0    768 120920048 1914216 104371824    0    0     0   130 30626 81202 26  8 67  0  0  0 2026-09-11 06:09:30
45  0    768 116477716 1914216 104371880    0    0     0   106 29337 79762 26  7 68  0  0  0 2026-09-11 06:09:35
45  0    768 112239048 1914220 104371920    0    0     0    61 26485 76850 25  6 69  0  0  0 2026-09-11 06:09:40
 2  0    768 108851596 1914228 104371928    0    0     0    93 27639 78887 25  6 69  0  0  0 2026-09-11 06:09:45
 2  0    768 105429036 1914236 104371972    0    0     0    89 24861 75631 23  6 71  0  0  0 2026-09-11 06:09:50
 3  0    768 108146616 1914248 104372216    0    0     0    90 10482 15512  3  2 95  0  0  0 2026-09-11 06:09:55
 3  0    768 105403144 1914260 104371792    0    0     0   202 54841 153551 20  9 72  0  0  0 2026-09-11 06:10:00
 4  0    768 102079600 1914264 104372052    0    0     0   110 55698 154044 20  9 71  0  0  0 2026-09-11 06:10:05
 2  0    768 98465444 1914280 104372672    0    0    12   306 51079 149697 19  7 73  0  0  0 2026-09-11 06:10:10
33  0    768 95049896 1914288 104373268    0    0     0   242 46087 135477 14  7 79  0  0  0 2026-09-11 06:10:15
16  0    768 91995664 1914312 104373652    0    0     0   150 40326 109541 14  6 81  0  0  0 2026-09-11 06:10:20
22  0    768 88217616 1914336 104374052    0    0     6    93 37706 101932 15  5 80  0  0  0 2026-09-11 06:10:25
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 2  0    768 86079724 1914356 104374624    0    0     0   286 49040 120772 18  7 75  0  0  0 2026-09-11 06:10:30
 2  0    768 82676660 1914384 104374864    0    0     0   248 55113 151690 19  9 72  0  0  0 2026-09-11 06:10:35
58  0    768 72294612 1914408 105052520    0    0     0   306 72063 211239 37 17 46  0  0  0 2026-09-11 06:10:40
122  0    768 64278944 1914412 105052664    0    0     0   449 75060 183353 51 15 34  0  0  0 2026-09-11 06:10:45
96  0    768 61469952 1914444 105052780    0    0     0   526 72480 182872 59 16 25  0  0  0 2026-09-11 06:10:50
145  0    768 60404676 1914452 105052792    0    0     0   241 64168 180573 57 16 27  0  0  0 2026-09-11 06:10:55
 8  0    768 62681972 1914460 105052720    0    0     0   153 68533 169802 60 17 23  0  0  0 2026-09-11 06:11:00
81  0    768 61637160 1914468 105052776    0    0     0    25 70748 186536 58 19 23  0  0  0 2026-09-11 06:11:05
158  0    768 62509588 1914476 105053012    0    0     0    87 71668 175841 61 19 20  0  0  0 2026-09-11 06:11:10
57  0    768 62432952 1914476 105053176    0    0     0   170 62768 174020 57 17 26  0  0  0 2026-09-11 06:11:15
109  0    768 60789476 1914484 105053232    0    0     0   137 63927 167424 59 18 23  0  0  0 2026-09-11 06:11:20
83  0    768 62101104 1914492 105053356    0    0     0    95 72437 178211 59 19 22  0  0  0 2026-09-11 06:11:25
172  0    768 59148668 1914500 105053464    0    0     0    92 68396 172977 59 17 24  0  0  0 2026-09-11 06:11:30
152  0    768 58492944 1914508 105053484    0    0     0    10 68349 178868 58 17 25  0  0  0 2026-09-11 06:11:35
21  0    768 59108036 1914512 105053484    0    0     0    74 67502 173374 60 16 24  0  0  0 2026-09-11 06:11:40
57  0    768 59862252 1914516 105053496    0    0     0    92 73409 182654 59 18 23  0  0  0 2026-09-11 06:11:45
129  0    768 60177832 1914520 105053500    0    0     0    78 47009 79421 67 20 13  0  0  0 2026-09-11 06:11:50
93  0    768 61149368 1914528 105053296    0    0     0   105 37064 23818 71 23  6  0  0  0 2026-09-11 06:11:55
104  0    768 62202008 1914536 105053296    0    0     0    15 36595 23179 73 23  5  0  0  0 2026-09-11 06:12:00
53  0    768 63499244 1914560 105053324    0    0     2   222 38027 26006 53 25 22  0  0  0 2026-09-11 06:12:05
107  0    768 64811000 1914568 105053324    0    0     0    58 37401 23225 67 26  7  0  0  0 2026-09-11 06:12:10
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
96  0    768 65320872 1914576 105053496    0    0     0    74 38735 25713 70 24  6  0  0  0 2026-09-11 06:12:15
110  0    768 66337736 1914580 105053668    0    0     0   125 38143 23326 71 23  7  0  0  0 2026-09-11 06:12:20
76  0    768 66639612 1914588 105053676    0    0     0   121 36962 20844 71 22  7  0  0  0 2026-09-11 06:12:25
109  0    768 66492296 1914596 105053676    0    0     0   100 38587 24649 73 21  6  0  0  0 2026-09-11 06:12:30
67  0    768 66665872 1914604 105053676    0    0     0    70 38531 21426 70 25  5  0  0  0 2026-09-11 06:12:35
62  0    768 66351184 1914608 105053684    0    0     0     6 36793 20209 60 25 15  0  0  0 2026-09-11 06:12:40
63  0    768 66247564 1914616 105053696    0    0     0    85 38797 24305 67 27  7  0  0  0 2026-09-11 06:12:45
94  0    768 64696492 1914624 105053772    0    0     0    98 52919 116412 43 19 38  0  0  0 2026-09-11 06:12:50
57  0    768 61122236 1914632 105053812    0    0     0   147 77805 189312 60 19 21  0  0  0 2026-09-11 06:12:55
143  0    768 59625376 1914636 105053724    0    0     0   122 66711 183543 57 18 25  0  0  0 2026-09-11 06:13:00
45  0    768 58434272 1914644 105053788    0    0     0    97 63230 171330 59 17 24  0  0  0 2026-09-11 06:13:05
22  0    768 56970996 1914652 105053996    0    0     0    41 73864 196293 57 19 24  0  0  0 2026-09-11 06:13:10
57  0    768 57525000 1914672 105054188    0    0     0   282 70347 187767 59 16 25  0  0  0 2026-09-11 06:13:15
134  0    768 56766368 1914676 105054200    0    0     0   101 72487 190484 57 17 26  0  0  0 2026-09-11 06:13:20
75  0    768 55274224 1914684 105054200    0    0     0    69 73999 186173 58 16 26  0  0  0 2026-09-11 06:13:25
101  0    768 57253680 1914688 105054200    0    0     0   104 44219 56245 72 20  8  0  0  0 2026-09-11 06:13:30
172  0    768 59195896 1914692 105054200    0    0     0     5 35545 20759 77 19  4  0  0  0 2026-09-11 06:13:35
137  0    768 60633448 1914700 105054196    0    0     0    72 36077 21794 75 20  5  0  0  0 2026-09-11 06:13:41
155  0    768 61931076 1914700 105054208    0    0     0    55 36583 23554 75 19  6  0  0  0 2026-09-11 06:13:46
77  0    768 62418132 1914708 105054240    0    0     0   102 37306 22795 68 23  8  0  0  0 2026-09-11 06:13:51
51  0    768 62581080 1914712 105054248    0    0     0    94 35513 22825 46 24 30  0  0  0 2026-09-11 06:13:56
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
