t_s	step	cached_gb	avail_gb	prod_cpu_s_total	disk_rd_sectors	trainer_cpu_ticks	main_state	main_wchan	trainer_threads_R
0	0	98	243	0	277550291	5	S	futex_wait_queue	1
5	0	98	243	0	277550291	742	S	futex_wait_queue	3
10	0	98	242	0	277550291	3202	S	futex_wait_queue	9
16	0	98	241	0	277550291	5534	S	futex_wait_queue	0
21	0	98	241	0	277550291	5568	S	futex_wait_queue	1
26	0	98	241	2	277550291	7130	S	futex_wait_queue	0
31	0	98	233	37	277550291	7421	S	futex_wait_queue	0
36	0	98	229	76	277550291	7813	S	futex_wait_queue	1
41	0	98	223	115	277550291	8211	S	futex_wait_queue	1
46	0	98	220	155	277550291	8606	S	futex_wait_queue	1
52	0	98	216	194	277550291	9005	S	futex_wait_queue	1
57	0	98	212	236	277550291	9412	S	futex_wait_queue	1
62	0	98	209	277	277550291	9810	S	futex_wait_queue	1
67	0	98	206	317	277550291	10209	S	futex_wait_queue	1
72	0	98	206	2	277550291	10510	S	futex_wait_queue	0
77	0	98	204	30	277550291	10554	S	futex_wait_queue	0
83	0	98	201	60	277550291	10597	S	futex_wait_queue	0
88	0	98	198	91	277550291	10640	S	futex_wait_queue	0
94	0	98	195	122	277550291	10684	S	futex_wait_queue	0
100	0	98	191	162	277550291	10728	S	futex_wait_queue	0
105	0	98	186	200	277550291	10771	S	futex_wait_queue	0
111	0	98	182	237	277550291	10817	S	futex_wait_queue	0
117	0	98	177	273	277550291	10868	S	futex_wait_queue	2
123	2	99	162	368	277550291	12045	S	futex_wait_queue	4
130	2	99	156	481	277550291	13331	S	futex_wait_queue	1
136	2	99	156	602	277550291	14607	S	futex_wait_queue	1
143	2	99	156	724	277550291	15923	S	futex_wait_queue	4
149	100	99	156	845	277550291	17166	S	futex_wait_queue	3
156	100	99	156	962	277550291	18416	S	futex_wait_queue	0
162	100	99	156	1072	277550291	19557	S	futex_wait_queue	0
168	100	99	154	1188	277550291	20800	S	futex_wait_queue	3
175	200	99	155	1304	277550531	22156	S	futex_wait_queue	3
181	200	99	154	1420	277550531	23453	S	futex_wait_queue	1
188	200	99	155	1535	277550531	24698	S	futex_wait_queue	1
194	200	99	154	1653	277550531	25998	S	futex_wait_queue	2
201	300	99	155	1772	277550531	27275	S	futex_wait_queue	3
207	300	99	152	1894	277550531	28553	S	futex_wait_queue	0
251	300	99	153	2063	277550531	31345	S	futex_wait_queue	6
268	300	99	162	2776	277550627	37452	S	futex_wait_queue	2
279	300	99	163	2989	277550747	40695	S	futex_wait_queue	3
285	300	99	158	3172	277550747	42105	S	futex_wait_queue	2
292	400	99	154	3293	277550747	43327	S	futex_wait_queue	2
298	400	99	154	3405	277550747	44518	S	futex_wait_queue	3
305	400	99	153	3526	277550747	45846	S	futex_wait_queue	3
311	400	99	153	3643	277550987	47023	S	futex_wait_queue	5
318	500	99	154	3752	277550987	48128	S	futex_wait_queue	6
324	500	99	153	3873	277551339	49364	S	futex_wait_queue	1
340	500	99	153	3999	277551339	50981	S	futex_wait_queue	3
378	500	99	156	4219	277551627	54189	S	futex_wait_queue	6
391	500	99	160	4905	277551763	61741	S	futex_wait_queue	2
397	500	99	158	5065	277551899	63755	S	futex_wait_queue	2
402	600	98	157	5180	277551899	64900	R	0	1
