procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 3  0    768 150200724 1947344 105265020    0    0   208   261 10961    5  7  1 92  0  0  0 2026-09-11 06:34:35
 1  0    768 149565380 1947344 105299856    0    0     0    83 12871 21386  4  1 95  0  0  0 2026-09-11 06:34:40
12  0    768 148376684 1947348 105300084    0    0     0    86 19232 15015 25  2 73  0  0  0 2026-09-11 06:34:45
 7  0    768 147818512 1947356 105300592    0    0     0   157 18312 12551 26  2 72  0  0  0 2026-09-11 06:34:50
 3  0    768 147848512 1947360 105300404    0    0     0   130 9013 11007  6  0 93  0  0  0 2026-09-11 06:34:55
 2  0    768 148070864 1947364 105300116    0    0     0   164 15740 13476 19  2 80  0  0  0 2026-09-11 06:35:00
 2  0    768 140354748 1947372 105300196    0    0     0    61 23234 60062 16  4 79  0  0  0 2026-09-11 06:35:05
 3  0    768 136037384 1947380 105300380    0    0     0   184 24205 72383 21  6 73  0  0  0 2026-09-11 06:35:10
 3  0    768 130079652 1947384 105300540    0    0     0   161 25123 75830 21  6 73  0  0  0 2026-09-11 06:35:15
 3  0    768 126567724 1947392 105300604    0    0     0    95 23242 71394 21  6 73  0  0  0 2026-09-11 06:35:20
 2  0    768 122461612 1947404 105300684    0    0     0   157 24779 73412 22  6 72  0  0  0 2026-09-11 06:35:25
 2  0    768 118438288 1947412 105300668    0    0     0    86 24518 74841 22  6 72  0  0  0 2026-09-11 06:35:30
 2  0    768 114441324 1947416 105300692    0    0     0    39 24860 76140 22  6 72  0  0  0 2026-09-11 06:35:35
23  0    768 112418680 1947424 105300684    0    0     0    94 24396 74376 22  6 73  0  0  0 2026-09-11 06:35:40
 3  0    768 108844524 1947424 105300708    0    0     0    82 25053 77437 21  6 74  0  0  0 2026-09-11 06:35:45
 4  0    768 110792392 1947428 105300984    0    0     0    88 9070 11666  3  2 95  0  0  0 2026-09-11 06:35:50
 2  0    768 107765280 1947432 105301052    0    0     0   320 48323 142906 18  7 75  0  0  0 2026-09-11 06:35:55
 3  0    768 104378236 1947440 105301348    0    0     0   359 47249 143231 18  7 75  0  0  0 2026-09-11 06:36:00
 2  0    768 100517460 1947448 105301688    0    0     0    80 48146 143089 17  7 75  0  0  0 2026-09-11 06:36:05
43  0    768 97029916 1947456 105302152    0    0     0   240 45504 136181 15  7 78  0  0  0 2026-09-11 06:36:10
 4  0    768 93867420 1947476 105302708    0    0     0   376 40250 122033 12  6 82  0  0  0 2026-09-11 06:36:15
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
13  0    768 89847364 1947500 105303124    0    0     0   310 40264 105645 15  6 80  0  0  0 2026-09-11 06:36:20
15  0    768 86474312 1947520 105303540    0    0     0   297 34762 92642 14  5 81  0  0  0 2026-09-11 06:36:25
 2  0    768 82751344 1947560 105303728    0    0     0   394 42806 125111 17  6 77  0  0  0 2026-09-11 06:36:30
51  0    768 70043956 1947564 105916856    0    0     0   209 74174 215245 37 16 47  0  0  0 2026-09-11 06:36:35
78  0    768 61259608 1947572 105916916    0    0     0    90 69658 170082 46 14 40  0  0  0 2026-09-11 06:36:40
69  0    768 58296012 1947580 105916948    0    0     0   102 74933 182169 51 16 32  0  0  0 2026-09-11 06:36:45
105  0    768 59304156 1947588 105917008    0    0     0   105 70371 177053 50 15 35  0  0  0 2026-09-11 06:36:50
106  0    768 58615516 1947592 105917020    0    0     0    90 68060 169900 51 15 34  0  0  0 2026-09-11 06:36:55
 9  0    768 58354840 1947612 105917160    0    0     0   502 74275 176237 50 16 34  0  0  0 2026-09-11 06:37:00
71  0    768 58382996 1947624 105917164    0    0     0    18 65673 173308 49 15 36  0  0  0 2026-09-11 06:37:05
48  0    768 58230420 1947632 105917316    0    0     0    77 69394 174021 50 15 34  0  0  0 2026-09-11 06:37:10
87  0    768 58470772 1947640 105917476    0    0     0   158 64895 172709 49 15 36  0  0  0 2026-09-11 06:37:15
48  0    768 56867832 1947648 105917472    0    0     0    78 65986 163744 51 15 34  0  0  0 2026-09-11 06:37:20
85  0    768 58377032 1947648 105917464    0    0    24    70 71146 176087 49 16 35  0  0  0 2026-09-11 06:37:25
37  0    768 56541004 1947656 105917588    0    0     0   110 74389 174180 51 16 32  0  0  0 2026-09-11 06:37:30
124  0    768 57491304 1947664 105917612    0    0     0    12 65332 172216 48 15 37  0  0  0 2026-09-11 06:37:35
49  0    768 58974620 1947672 105917612    0    0     0    64 66246 163368 50 15 36  0  0  0 2026-09-11 06:37:40
47  0    768 57345680 1947680 105917656    0    0     0    89 71529 175119 51 16 34  0  0  0 2026-09-11 06:37:45
46  0    768 56432148 1947688 105917712    0    0     0    84 70311 175811 50 16 34  0  0  0 2026-09-11 06:37:50
54  0    768 58165884 1947696 105917724    0    0     0    63 71600 172312 52 15 33  0  0  0 2026-09-11 06:37:55
48  0    768 54409860 1947704 105917676    0    0     0    98 66514 170123 50 15 35  0  0  0 2026-09-11 06:38:00
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
163  0    768 54026620 1947712 105917672    0    0     0    78 58715 167933 48 15 37  0  0  0 2026-09-11 06:38:05
69  0    768 55675428 1947732 105917656    0    0     0   165 43095 71766 60 19 20  0  0  0 2026-09-11 06:38:10
133  0    768 57801288 1947736 105917904    0    0    10    22 37606 23773 74 19  7  0  0  0 2026-09-11 06:38:15
135  0    768 59132616 1947744 105918056    0    0     0   119 34361 21216 69 19 12  0  0  0 2026-09-11 06:38:20
101  0    768 60676076 1947752 105918060    0    0     0    99 34675 21972 66 21 14  0  0  0 2026-09-11 06:38:25
132  1    768 62124332 1947760 105918056    0    0     0    67 35303 22467 65 21 14  0  0  0 2026-09-11 06:38:30
68  0    768 62691208 1947760 105918060    0    0     0    61 35036 21375 62 23 15  0  0  0 2026-09-11 06:38:35
41  0    768 63216984 1947764 105918060    0    0     0    90 36884 21063 59 26 15  0  0  0 2026-09-11 06:38:40
40  0    768 63088268 1947772 105918076    0    0     0    52 38658 23973 64 23 13  0  0  0 2026-09-11 06:38:45
37  0    768 64244052 1947776 105918108    0    0     0    99 35699 20477 61 20 19  0  0  0 2026-09-11 06:38:50
71  0    768 65332784 1947784 105918132    0    0     0    87 33177 18852 51 21 27  0  0  0 2026-09-11 06:38:55
45  0    768 64893736 1947796 105918188    0    0    12    12 38960 23680 64 24 11  0  0  0 2026-09-11 06:39:00
11  0    768 65021556 1947800 105918204    0    0     0   107 32530 28065 21 21 59  0  0  0 2026-09-11 06:39:05
146  0    768 65810292 1947804 105918204    0    0     0    88 37372 25761 61 20 19  0  0  0 2026-09-11 06:39:10
11  0    768 63746256 1947808 105918520    0    0     0    84 57413 113277 59 17 24  0  0  0 2026-09-11 06:39:15
 8  0    768 59244908 1947812 105918528    0    0     0    76 66164 176534 49 15 36  0  0  0 2026-09-11 06:39:20
63  0    768 56222940 1947840 105918532    0    0     0   192 64299 174156 50 14 36  0  0  0 2026-09-11 06:39:25
52  0    768 55872140 1947844 105918532    0    0     0    61 71420 174081 51 15 34  0  0  0 2026-09-11 06:39:30
100  0    768 55275204 1947852 105918508    0    0     0   103 68624 182075 49 16 36  0  0  0 2026-09-11 06:39:35
47  0    768 55893612 1947860 105918584    0    0    24    98 64887 168961 50 15 35  0  0  0 2026-09-11 06:39:40
157  0    768 55852504 1947868 105918668    0    0     0     9 58915 178380 47 14 39  0  0  0 2026-09-11 06:39:45
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
71  0    768 57633792 1947876 105918700    0    0     0    94 55116 155690 49 13 38  0  0  0 2026-09-11 06:39:50
22  0    768 55490608 1947884 105918916    0    0    35   105 60199 170084 48 14 37  0  0  0 2026-09-11 06:39:55
88  0    768 55119184 1947892 105918900    0    0     0    89 68168 180271 49 15 36  0  0  0 2026-09-11 06:40:00
107  0    768 55717660 1947900 105918912    0    0     0    85 38298 29382 71 18 11  0  0  0 2026-09-11 06:40:06
49  0    768 56318508 1947900 105918924    0    0     0   127 37887 23920 68 21 11  0  0  0 2026-09-11 06:40:11
29  0    768 57943856 1947908 105918824    0    0    12    13 35476 26441 40 24 36  0  0  0 2026-09-11 06:40:16
53  0    768 58523272 1947916 105918908    0    0    17   169 37698 23548 57 26 17  0  0  0 2026-09-11 06:40:21
73  0    768 60515228 1947916 105918928    0    0     0    80 36149 22555 57 25 18  0  0  0 2026-09-11 06:40:26
109  0    768 62081340 1947932 105918928    0    0     0   150 36155 22208 69 21 10  0  0  0 2026-09-11 06:40:31
81  0    768 62204220 1947964 105918928    0    0     0    50 35730 21333 65 23 13  0  0  0 2026-09-11 06:40:36
83  0    768 62063168 1947972 105918928    0    0     0    54 36812 22809 65 22 12  0  0  0 2026-09-11 06:40:41
38  0    768 62074176 1947976 105918940    0    0     0    99 37305 23643 56 24 20  0  0  0 2026-09-11 06:40:46
39  0    768 62398688 1947980 105919040    0    0    14    84 36687 21463 64 23 12  0  0  0 2026-09-11 06:40:51
64  0    768 62748756 1947980 105919048    0    0     0    10 37234 21328 67 22 11  0  0  0 2026-09-11 06:40:56
43  0    768 62426040 1947988 105919048    0    0     0    95 38029 21963 71 21  8  0  0  0 2026-09-11 06:41:01
11  0    768 62411928 1947996 105919056    0    0     0    77 31503 20323 37 20 43  0  0  0 2026-09-11 06:41:06
83  0    768 60356940 1948004 105919284    0    0    14    88 55996 132554 42 16 42  0  0  0 2026-09-11 06:41:11
51  0    768 57038716 1948012 105919436    0    0     0   155 65231 171297 50 15 35  0  0  0 2026-09-11 06:41:16
 0  0    768 135788800 1948020 105271032    0    0     0    14 29044 64488 18 10 72  0  0  0 2026-09-11 06:41:21
