t_s	step	cached_gb	avail_gb	prod_cpu_s_total	disk_rd_sectors	trainer_cpu_ticks	main_state	main_wchan	trainer_threads_R
0	0	97	243	0	276203323	5	S	futex_wait_queue	1
5	0	97	242	0	276203323	798	S	futex_wait_queue	2
10	0	97	240	0	276203323	7245	S	futex_wait_queue	0
15	0	97	240	0	276203323	8180	S	futex_wait_queue	0
20	0	97	240	2	276203323	10631	S	futex_wait_queue	0
25	0	97	233	38	276203323	10863	S	futex_wait_queue	1
31	0	97	227	85	276203323	11260	S	futex_wait_queue	0
36	0	97	221	134	276203323	11663	S	futex_wait_queue	1
41	0	97	216	182	276203323	12060	S	futex_wait_queue	1
46	0	97	212	231	276203323	12459	S	futex_wait_queue	1
51	0	97	208	280	276203323	12862	S	futex_wait_queue	0
57	0	97	204	330	276203323	13263	S	futex_wait_queue	0
62	0	97	201	379	276203323	13666	S	futex_wait_queue	1
67	0	97	202	3	276203323	13983	S	futex_wait_queue	0
72	0	97	200	31	276203323	14025	S	futex_wait_queue	0
78	0	97	197	65	276203323	14070	S	futex_wait_queue	0
83	0	97	194	98	276203323	14115	S	futex_wait_queue	0
89	0	97	191	134	276203323	14158	S	futex_wait_queue	0
95	0	97	187	175	276203427	14203	S	futex_wait_queue	0
100	0	97	183	215	276203427	14249	S	futex_wait_queue	0
106	0	97	179	256	276203427	14296	S	futex_wait_queue	0
114	0	97	173	301	276203427	14383	S	futex_wait_queue	5
120	2	98	162	443	276203427	15734	S	futex_wait_queue	3
127	2	98	158	579	276203427	16745	S	futex_wait_queue	1
133	2	98	156	715	276203427	17722	S	futex_wait_queue	3
140	2	98	156	853	276203427	18737	S	futex_wait_queue	1
146	100	98	155	990	276203427	19736	S	futex_wait_queue	1
153	100	98	155	1126	276203427	20728	S	futex_wait_queue	2
159	100	98	154	1261	276203427	21683	S	futex_wait_queue	4
166	200	98	152	1397	276203427	22668	S	futex_wait_queue	2
172	200	98	153	1532	276203427	23650	S	futex_wait_queue	1
179	200	98	153	1669	276203427	24675	S	futex_wait_queue	1
185	200	98	153	1805	276203427	25656	S	futex_wait_queue	1
192	300	98	153	1940	276203427	26623	S	futex_wait_queue	4
198	300	98	152	2076	276203555	27625	S	futex_wait_queue	4
205	300	98	150	2212	276203555	28636	S	futex_wait_queue	2
236	300	98	152	2363	276203555	30487	S	futex_wait_queue	2
268	300	98	162	2944	276203683	38724	S	futex_wait_queue	3
276	300	98	162	3536	276203699	43401	S	futex_wait_queue	4
282	400	98	158	3705	276203939	44503	S	futex_wait_queue	2
289	400	98	154	3837	276203939	45478	S	futex_wait_queue	2
295	400	98	153	3973	276203939	46437	S	futex_wait_queue	3
302	400	98	153	4108	276203939	47441	S	futex_wait_queue	2
309	500	98	152	4238	276203939	48437	S	futex_wait_queue	1
315	500	98	151	4372	276204067	49436	S	futex_wait_queue	2
322	500	98	151	4509	276204227	50415	S	futex_wait_queue	2
338	500	98	152	4654	276204227	51770	S	futex_wait_queue	2
384	500	98	156	4919	276204443	57172	S	futex_wait_queue	5
394	500	98	160	5854	276204563	63867	S	futex_wait_queue	2
