procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 4  0    768 150890140 1913472 104327140    0    0   208   260 10875    5  7  1 92  0  0  0 2026-09-11 06:01:17
 2  0    768 150306116 1913472 104366064    0    0     0    26 15191 24317  4  1 94  0  0  0 2026-09-11 06:01:22
10  0    768 148250180 1913472 104366608    0    0     0   891 35573 15127 68  5 28  0  0  0 2026-09-11 06:01:27
 2  0    768 147991752 1913480 104366524    0    0     0   192 14907 12807 16  1 83  0  0  0 2026-09-11 06:01:32
 3  0    768 148188952 1913484 104366304    0    0     0   120 17375 11704 28  2 71  0  0  0 2026-09-11 06:01:37
41  0    768 141824512 1913492 104366240    0    0     0   186 19852 45160 17  4 79  0  0  0 2026-09-11 06:01:42
 2  0    768 135242596 1913496 104366272    0    0     0   102 22047 61317 27  6 67  0  0  0 2026-09-11 06:01:47
28  0    768 129324040 1913504 104366280    0    0     0   113 21804 62978 26  6 67  0  0  0 2026-09-11 06:01:52
 2  0    768 124167860 1913512 104366324    0    0     0    19 20771 61716 25  6 69  0  0  0 2026-09-11 06:01:57
 5  0    768 119809280 1913528 104366348    0    0     0   198 22000 62996 27  6 67  0  0  0 2026-09-11 06:02:02
 1  0    768 115199748 1913528 104366352    0    0     0    55 21720 62329 27  6 67  0  0  0 2026-09-11 06:02:07
 1  0    768 111053144 1913532 104366724    0    0     0   118 23164 65698 27  6 67  0  0  0 2026-09-11 06:02:12
 1  0    768 107781172 1913540 104366716    0    0     0   146 21689 62170 26  6 67  0  0  0 2026-09-11 06:02:17
 2  0    768 105302360 1913540 104366732    0    0     0    78 21535 63220 26  6 68  0  0  0 2026-09-11 06:02:22
 1  0    768 107862324 1913548 104366952    0    0     0    11 9711 15928  4  2 94  0  0  0 2026-09-11 06:02:27
 4  0    768 104284908 1913556 104366460    0    0     0   199 53669 143187 19  8 73  0  0  0 2026-09-11 06:02:32
 1  0    768 100750660 1913560 104366748    0    0     0   228 53584 141768 19  8 73  0  0  0 2026-09-11 06:02:37
 1  0    768 97189276 1913568 104367036    0    0     0   154 52522 141952 19  7 74  0  0  0 2026-09-11 06:02:42
19  0    768 94663728 1913572 104367392    0    0     0   245 44822 129617 14  7 79  0  0  0 2026-09-11 06:02:47
18  0    768 91406100 1913596 104367824    0    0    10    76 39358 104105 14  6 80  0  0  0 2026-09-11 06:02:52
14  0    768 87871308 1913624 104368184    0    0     0   161 37837 95054 14  5 81  0  0  0 2026-09-11 06:02:57
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 2  0    768 85475580 1913652 104368540    0    0     0   284 43467 106922 17  5 78  0  0  0 2026-09-11 06:03:02
 1  0    768 80984608 1913692 104368728    0    0     0   353 52832 140252 19  7 74  0  0  0 2026-09-11 06:03:07
24  0    768 72707068 1913708 104981356    0    0     0   188 65987 189973 43 17 40  0  0  0 2026-09-11 06:03:12
67  0    768 65409632 1913708 104981372    0    0     0   116 50257 113243 52 14 34  0  0  0 2026-09-11 06:03:17
 9  0    768 63139300 1913716 104981396    0    0     0   324 48522 112529 59 14 27  0  0  0 2026-09-11 06:03:22
41  0    768 61274056 1913724 104981416    0    0     0   157 47605 111615 57 14 29  0  0  0 2026-09-11 06:03:27
31  0    768 60177616 1913732 104981440    0    0     0   175 49194 113007 58 14 28  0  0  0 2026-09-11 06:03:32
 5  0    768 59426544 1913736 104981444    0    0     0   202 50317 113802 58 14 28  0  0  0 2026-09-11 06:03:37
46  0    768 58469140 1913744 104981444    0    0     0   166 50832 113534 58 14 28  0  0  0 2026-09-11 06:03:42
40  0    768 58377404 1913744 104981476    0    0     0    89 54347 114143 58 14 28  0  0  0 2026-09-11 06:03:47
66  0    768 57873112 1913748 104981512    0    0     0     4 52384 113582 58 14 28  0  0  0 2026-09-11 06:03:52
31  0    768 56415400 1913752 104981516    0    0     0   110 51954 110816 58 14 28  0  0  0 2026-09-11 06:03:57
 5  0    768 56124668 1913756 104981544    0    0     0    84 53011 111619 58 14 28  0  0  0 2026-09-11 06:04:02
47  0    768 57684736 1913764 104981560    0    0     0    66 55085 111111 58 14 28  0  0  0 2026-09-11 06:04:07
34  0    768 57277608 1913772 104981896    0    0     0   173 53637 112215 59 14 27  0  0  0 2026-09-11 06:04:12
10  0    768 55920512 1913776 104981904    0    0     0   175 53487 110003 58 14 28  0  0  0 2026-09-11 06:04:17
44  0    768 55233652 1913784 104981848    0    0     0     3 53204 110773 58 14 28  0  0  0 2026-09-11 06:04:22
29  0    768 56033172 1913788 104981840    0    0     0    78 54150 108601 58 14 28  0  0  0 2026-09-11 06:04:27
40  0    768 55418248 1913800 104981912    0    0    13   117 51865 109884 58 14 29  0  0  0 2026-09-11 06:04:32
44  0    768 54935720 1913804 104981916    0    0     0    65 51881 108705 58 14 28  0  0  0 2026-09-11 06:04:37
 5  0    768 54305648 1913804 104981948    0    0     0    97 52722 111781 59 14 27  0  0  0 2026-09-11 06:04:42
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
63  0    768 54989836 1913812 104981964    0    0     0     6 37299 40183 63 22 15  0  0  0 2026-09-11 06:04:47
66  0    768 57028900 1913820 104981992    0    0     0    86 34828 19246 65 26  9  0  0  0 2026-09-11 06:04:52
62  0    768 59463140 1913828 104982000    0    0     0    79 35144 16909 73 27  0  0  0  0 2026-09-11 06:04:57
67  0    768 60867612 1913832 104982068    0    0    13   105 36275 26316 41 28 31  0  0  0 2026-09-11 06:05:02
65  0    768 62707616 1913836 104982080    0    0     0    62 36428 19494 69 30  1  0  0  0 2026-09-11 06:05:07
76  0    768 64278268 1913840 104982088    0    0     0   104 39457 26282 64 28  8  0  0  0 2026-09-11 06:05:12
78  0    768 65530208 1913844 104982256    0    0     0    10 37093 19843 72 28  1  0  0  0 2026-09-11 06:05:17
91  0    768 65794040 1913860 104982428    0    0     0   206 37659 20108 75 24  0  0  0  0 2026-09-11 06:05:22
63  0    768 66030784 1913864 104982424    0    0     0    43 38201 20132 76 24  0  0  0  0 2026-09-11 06:05:27
58  0    768 66654376 1913872 104982436    0    0     2   110 38019 19178 75 25  1  0  0  0 2026-09-11 06:05:32
91  0    768 66188620 1913872 104982436    0    0     0   158 38129 20869 76 24  0  0  0  0 2026-09-11 06:05:37
15  0    768 65535588 1913872 104982436    0    0     0    90 38624 20440 71 26  4  0  0  0 2026-09-11 06:05:42
16  0    768 65337104 1913876 104982424    0    0     0    73 30622 22387 28 17 54  0  0  0 2026-09-11 06:05:47
147  0    768 65236644 1913900 104982440    0    0     0   390 42361 53622 73 21  6  0  0  0 2026-09-11 06:05:52
47  0    768 61435936 1913904 104982572    0    0    24     6 48300 103824 62 15 23  0  0  0 2026-09-11 06:05:57
49  0    768 59457768 1913908 104982592    0    0     0   112 50796 112823 57 14 30  0  0  0 2026-09-11 06:06:02
 4  0    768 59124372 1913908 104982588    0    0     0    76 51137 113078 57 14 29  0  0  0 2026-09-11 06:06:07
 6  0    768 55836740 1913912 104982972    0    0     0   170 50326 115379 57 13 30  0  0  0 2026-09-11 06:06:12
48  0    768 55990476 1913920 104982972    0    0     0    10 48760 112782 57 13 29  0  0  0 2026-09-11 06:06:17
 9  0    768 55496020 1913924 104982948    0    0     0   114 49550 113068 59 14 27  0  0  0 2026-09-11 06:06:22
50  0    768 55653948 1913932 104982956    0    0     0    69 48503 111720 57 14 29  0  0  0 2026-09-11 06:06:27
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
41  0    768 54275660 1913936 104983108    0    0    29    70 47518 109005 57 14 29  0  0  0 2026-09-11 06:06:32
 5  0    768 54852092 1913944 104983108    0    0     0    69 46801 111399 58 13 29  0  0  0 2026-09-11 06:06:37
67  0    768 54787388 1913944 104983116    0    0     0    78 41776 72253 63 18 19  0  0  0 2026-09-11 06:06:42
68  0    768 56797452 1913956 104983116    0    0     0    23 35603 21934 59 25 16  0  0  0 2026-09-11 06:06:47
11  0    768 58146932 1913956 104983260    0    0    22    79 35335 18932 66 29  5  0  0  0 2026-09-11 06:06:52
52  0    768 59391160 1913964 104983268    0    0     0    95 32711 25121 31 25 44  0  0  0 2026-09-11 06:06:57
70  0    768 61006520 1913972 104983268    0    0     0    78 36460 20546 70 30  1  0  0  0 2026-09-11 06:07:02
58  0    768 62445044 1913992 104983324    0    0    12   154 35858 19653 66 28  6  0  0  0 2026-09-11 06:07:07
67  0    768 63090004 1914000 104983324    0    0     0    51 38676 23253 75 24  0  0  0  0 2026-09-11 06:07:13
84  0    768 63996868 1914008 104983492    0    0     0    70 38212 19516 75 24  0  0  0  0 2026-09-11 06:07:18
126  0    768 64747300 1914016 104983648    0    0     0    85 37390 19700 75 24  1  0  0  0 2026-09-11 06:07:23
137  0    768 64600824 1914016 104983656    0    0     0     0 38836 20434 81 18  0  0  0  0 2026-09-11 06:07:28
90  0    768 64259432 1914020 104983656    0    0     0    94 38484 21352 79 20  0  0  0  0 2026-09-11 06:07:33
69  0    768 63782756 1914024 104983656    0    0     0   130 37486 19366 77 22  0  0  0  0 2026-09-11 06:07:38
16  0    768 62551864 1914032 104983680    0    0     0   102 32703 23766 33 17 50  0  0  0 2026-09-11 06:07:43
58  0    768 64455808 1914036 104983684    0    0     0   100 34602 19050 62 22 16  0  0  0 2026-09-11 06:07:48
 2  0    768 136083756 1914040 104460296    0    0    10    80 36951 62213 42 16 42  0  0  0 2026-09-11 06:07:53
