step,E,var
0,-2.40000000,1.20e+1
100,-12.08711197,1.39e-1
200,-12.11037819,4.07e-2
300,-12.11582665,1.82e-2
400,-12.11779368,1.01e-2
500,-12.11873046,6.34e-3
600,-12.11926379,4.15e-3
700,-12.11958134,2.89e-3
800,-12.11977891,2.12e-3
900,-12.11990631,1.62e-3
1000,-12.11999199,1.29e-3
1100,-12.12005263,1.05e-3
1200,-12.12009629,8.79e-4
1300,-12.12012872,7.48e-4
1400,-12.12015371,6.46e-4
1500,-12.12017274,5.68e-4
1600,-12.12018772,5.06e-4
1700,-12.12019968,4.56e-4
1800,-12.12020922,4.16e-4
1900,-12.12021711,3.83e-4
2000,-12.12022366,3.54e-4
2100,-12.12022896,3.31e-4
2200,-12.12023351,3.11e-4
2300,-12.12023727,2.95e-4
2400,-12.12024046,2.80e-4
2500,-12.12024318,2.68e-4
2600,-12.12024557,2.57e-4
2700,-12.12024758,2.48e-4
2800,-12.12024928,2.40e-4
2900,-12.12025076,2.33e-4
3000,-12.12025206,2.26e-4
3100,-12.12025316,2.21e-4
3200,-12.12025404,2.17e-4
3300,-12.12025485,2.13e-4
3400,-12.12025554,2.10e-4
3500,-12.12025613,2.07e-4
3600,-12.12025664,2.05e-4
3700,-12.12025707,2.02e-4
3800,-12.12025747,2.01e-4
3900,-12.12025787,1.99e-4
4000,-12.12025823,1.97e-4
