nqs-ising-mlp-n12-t2m: 5057 params, N = 12, h = 0.200000, J = 1.000000, 4000 steps, enumeration of 4096 configurations, uniform start (noref), seed 1
  mean field: φ = 0.1002, E_MF = -12.120000
[pjrt_ffi] allocator: 1 create option(s), memory_fraction=0.150
I0911 23:22:50.696196 2016692 service.cc:154] XLA service 0x70aa28028880 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
I0911 23:22:50.696227 2016692 service.cc:170]   StreamExecutor [0]: NVIDIA GeForce RTX 4060 Ti, Compute Capability 8.9 (Driver: 12.9.0[575.57.8]; Runtime: 12.9.0; Toolkit: 12.9.0; DNN: 9.23.2)
I0911 23:22:50.698618 2016692 se_gpu_pjrt_client.cc:1342] Using BFC allocator.
I0911 23:22:50.698665 2016692 gpu_helpers.cc:162] XLA backend allocating 2.34GiB (2510290944 bytes) on device 0 for BFCAllocator.
I0911 23:22:50.709052 2016692 cuda_dnn.cc:440] Loaded cuDNN version 92302
[pjrt_ffi] XLA backend: PJRT 0.114, 1 device(s)
[pjrt_ffi] command buffers: enabled (CUDA default)
I0911 23:22:51.176559 2016760 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'gemm_fusion_dot_3', 4 bytes spill stores, 4 bytes spill loads

[pjrt_ffi] compiled .lake/build/nqs_ising_mlp_n12_t2m_train_step.mlir (@main, 19 outputs, 1 replica) in 1036 ms
[pjrt_ffi] compiled .lake/build/nqs_ising_mlp_n12_t2m_fwd_eval.mlir (@forward_eval, 1 outputs, 1 replica) in 1113 ms
  sessions loaded
  step 0  E = -2.400000  E/N = -0.200000  Var(E_loc) = 1.20e+1  (22 ms)
  step 100  E = -8.748216  E/N = -0.729018  Var(E_loc) = 8.10e-2  (2296 ms)
  step 200  E = -12.075868  E/N = -1.006322  Var(E_loc) = 1.80e-1  (3648 ms)
  step 300  E = -12.119105  E/N = -1.009925  Var(E_loc) = 8.21e-3  (4865 ms)
  step 400  E = -12.119301  E/N = -1.009942  Var(E_loc) = 7.06e-3  (6040 ms)
  step 500  E = -12.119436  E/N = -1.009953  Var(E_loc) = 6.22e-3  (7272 ms)
  step 600  E = -12.119547  E/N = -1.009962  Var(E_loc) = 5.48e-3  (8476 ms)
  step 700  E = -12.119643  E/N = -1.009970  Var(E_loc) = 4.86e-3  (9714 ms)
  step 800  E = -12.119729  E/N = -1.009977  Var(E_loc) = 4.29e-3  (10950 ms)
  step 900  E = -12.119803  E/N = -1.009984  Var(E_loc) = 3.73e-3  (12166 ms)
  step 1000  E = -12.119871  E/N = -1.009989  Var(E_loc) = 3.28e-3  (13342 ms)
  step 1100  E = -12.119927  E/N = -1.009994  Var(E_loc) = 2.88e-3  (14568 ms)
  step 1200  E = -12.119974  E/N = -1.009998  Var(E_loc) = 2.53e-3  (15753 ms)
  step 1300  E = -12.120016  E/N = -1.010001  Var(E_loc) = 2.21e-3  (16952 ms)
  step 1400  E = -12.120051  E/N = -1.010004  Var(E_loc) = 1.95e-3  (18146 ms)
  step 1500  E = -12.120079  E/N = -1.010007  Var(E_loc) = 1.74e-3  (19369 ms)
  step 1600  E = -12.120102  E/N = -1.010009  Var(E_loc) = 1.56e-3  (20505 ms)
  step 1700  E = -12.120123  E/N = -1.010010  Var(E_loc) = 1.40e-3  (21659 ms)
  step 1800  E = -12.120140  E/N = -1.010012  Var(E_loc) = 1.27e-3  (22858 ms)
  step 1900  E = -12.120156  E/N = -1.010013  Var(E_loc) = 1.15e-3  (24844 ms)
  step 2000  E = -12.120169  E/N = -1.010014  Var(E_loc) = 1.04e-3  (26069 ms)
  step 2100  E = -12.120182  E/N = -1.010015  Var(E_loc) = 9.51e-4  (27347 ms)
  step 2200  E = -12.120192  E/N = -1.010016  Var(E_loc) = 8.69e-4  (28542 ms)
  step 2300  E = -12.120202  E/N = -1.010017  Var(E_loc) = 7.96e-4  (29696 ms)
  step 2400  E = -12.120210  E/N = -1.010017  Var(E_loc) = 7.34e-4  (30914 ms)
  step 2500  E = -12.120216  E/N = -1.010018  Var(E_loc) = 6.81e-4  (32145 ms)
  step 2600  E = -12.120222  E/N = -1.010019  Var(E_loc) = 6.38e-4  (33315 ms)
  step 2700  E = -12.120227  E/N = -1.010019  Var(E_loc) = 5.98e-4  (34539 ms)
  step 2800  E = -12.120231  E/N = -1.010019  Var(E_loc) = 5.67e-4  (35748 ms)
  step 2900  E = -12.120235  E/N = -1.010020  Var(E_loc) = 5.38e-4  (36935 ms)
  step 3000  E = -12.120238  E/N = -1.010020  Var(E_loc) = 5.16e-4  (38130 ms)
  step 3100  E = -12.120241  E/N = -1.010020  Var(E_loc) = 4.94e-4  (39291 ms)
  step 3200  E = -12.120243  E/N = -1.010020  Var(E_loc) = 4.76e-4  (40506 ms)
  step 3300  E = -12.120245  E/N = -1.010020  Var(E_loc) = 4.61e-4  (42560 ms)
  step 3400  E = -12.120246  E/N = -1.010021  Var(E_loc) = 4.49e-4  (44864 ms)
  step 3500  E = -12.120248  E/N = -1.010021  Var(E_loc) = 4.37e-4  (46722 ms)
  step 3600  E = -12.120249  E/N = -1.010021  Var(E_loc) = 4.28e-4  (49778 ms)
  step 3700  E = -12.120250  E/N = -1.010021  Var(E_loc) = 4.19e-4  (52348 ms)
  step 3800  E = -12.120251  E/N = -1.010021  Var(E_loc) = 4.12e-4  (55278 ms)
  step 3900  E = -12.120252  E/N = -1.010021  Var(E_loc) = 4.05e-4  (57864 ms)
  step 4000  E = -12.120253  E/N = -1.010021  Var(E_loc) = 3.97e-4  (60370 ms)
trained: 4000 steps, 60372 ms
wrote .lake/build/nqs_ising_mlp_n12_t2m_h20_noref_metrics.json, _curve.csv, _samples.bin, _params.bin
mlp N=12 h=0.200000: E = -12.120253  E/N = -1.010021  Var(E_loc) = 3.97e-4  <sx> = 0.10041  C(N/2) = 0.98986  (4096 samples, 5057 params, 61 s)
