nqs-ising-vit-n12-t2v: 25825 params, N = 12, h = 0.400000, J = 1.000000, 4000 steps, enumeration of 4096 configurations, uniform start (noref), seed 1
  mean field: φ = 0.2014, E_MF = -12.480000
[pjrt_ffi] allocator: 1 create option(s), memory_fraction=0.150
I0911 23:25:17.563195 2021174 service.cc:154] XLA service 0x7c8834028880 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
I0911 23:25:17.563235 2021174 service.cc:170]   StreamExecutor [0]: NVIDIA GeForce RTX 4060 Ti, Compute Capability 8.9 (Driver: 12.9.0[575.57.8]; Runtime: 12.9.0; Toolkit: 12.9.0; DNN: 9.23.2)
I0911 23:25:17.565202 2021174 se_gpu_pjrt_client.cc:1342] Using BFC allocator.
I0911 23:25:17.565245 2021174 gpu_helpers.cc:162] XLA backend allocating 2.34GiB (2510290944 bytes) on device 0 for BFCAllocator.
I0911 23:25:17.585998 2021174 cuda_dnn.cc:440] Loaded cuDNN version 92302
[pjrt_ffi] XLA backend: PJRT 0.114, 1 device(s)
[pjrt_ffi] command buffers: enabled (CUDA default)
I0911 23:25:20.538994 2021215 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'gemm_fusion_dot_128', 8 bytes spill stores, 8 bytes spill loads

I0911 23:25:21.660673 2021215 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'gemm_fusion_dot_130', 4 bytes spill stores, 4 bytes spill loads

I0911 23:25:25.347823 2021201 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'fusion_250', 312 bytes spill stores, 324 bytes spill loads

I0911 23:25:25.396163 2021205 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'fusion_249', 356 bytes spill stores, 360 bytes spill loads

I0911 23:25:25.902830 2021212 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'fusion_248', 384 bytes spill stores, 460 bytes spill loads

I0911 23:25:26.191828 2021211 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'fusion_247', 300 bytes spill stores, 384 bytes spill loads

[pjrt_ffi] compiled .lake/build/nqs_ising_vit_n12_t2v_train_step.mlir (@main, 115 outputs, 1 replica) in 8645 ms
[pjrt_ffi] compiled .lake/build/nqs_ising_vit_n12_t2v_fwd_eval.mlir (@forward_eval, 1 outputs, 1 replica) in 874 ms
  sessions loaded
  step 0  E = -4.800000  E/N = -0.400000  Var(E_loc) = 1.20e+1  (32 ms)
  step 100  E = -12.154291  E/N = -1.012858  Var(E_loc) = 1.76e+0  (4762 ms)
  step 200  E = -12.460222  E/N = -1.038352  Var(E_loc) = 2.02e-1  (9836 ms)
  step 300  E = -12.469309  E/N = -1.039109  Var(E_loc) = 1.26e-1  (13481 ms)
  step 400  E = -12.474397  E/N = -1.039533  Var(E_loc) = 8.38e-2  (19100 ms)
  step 500  E = -12.479138  E/N = -1.039928  Var(E_loc) = 5.40e-2  (24066 ms)
  step 600  E = -12.480531  E/N = -1.040044  Var(E_loc) = 4.07e-2  (29268 ms)
  step 700  E = -12.481025  E/N = -1.040085  Var(E_loc) = 3.35e-2  (34510 ms)
  step 800  E = -12.481979  E/N = -1.040165  Var(E_loc) = 2.80e-2  (38774 ms)
  step 900  E = -12.482399  E/N = -1.040200  Var(E_loc) = 2.41e-2  (43803 ms)
  step 1000  E = -12.482590  E/N = -1.040216  Var(E_loc) = 2.20e-2  (48748 ms)
  step 1100  E = -12.482958  E/N = -1.040246  Var(E_loc) = 1.90e-2  (53670 ms)
  step 1200  E = -12.483179  E/N = -1.040265  Var(E_loc) = 1.67e-2  (59171 ms)
  step 1300  E = -12.483353  E/N = -1.040279  Var(E_loc) = 1.53e-2  (63975 ms)
  step 1400  E = -12.483467  E/N = -1.040289  Var(E_loc) = 1.43e-2  (69191 ms)
  step 1500  E = -12.483529  E/N = -1.040294  Var(E_loc) = 1.35e-2  (74187 ms)
  step 1600  E = -12.483690  E/N = -1.040307  Var(E_loc) = 1.23e-2  (79027 ms)
  step 1700  E = -12.483762  E/N = -1.040313  Var(E_loc) = 1.13e-2  (84400 ms)
  step 1800  E = -12.483902  E/N = -1.040325  Var(E_loc) = 1.05e-2  (88326 ms)
  step 1900  E = -12.483976  E/N = -1.040331  Var(E_loc) = 9.82e-3  (93701 ms)
  step 2000  E = -12.484054  E/N = -1.040338  Var(E_loc) = 9.14e-3  (98243 ms)
  step 2100  E = -12.484093  E/N = -1.040341  Var(E_loc) = 8.80e-3  (102790 ms)
  step 2200  E = -12.484132  E/N = -1.040344  Var(E_loc) = 8.17e-3  (107954 ms)
  step 2300  E = -12.484176  E/N = -1.040348  Var(E_loc) = 7.99e-3  (112385 ms)
  step 2400  E = -12.484204  E/N = -1.040350  Var(E_loc) = 7.47e-3  (117375 ms)
  step 2500  E = -12.484273  E/N = -1.040356  Var(E_loc) = 7.08e-3  (122389 ms)
  step 2600  E = -12.484306  E/N = -1.040359  Var(E_loc) = 6.81e-3  (127371 ms)
  step 2700  E = -12.484334  E/N = -1.040361  Var(E_loc) = 6.55e-3  (132733 ms)
  step 2800  E = -12.484356  E/N = -1.040363  Var(E_loc) = 6.37e-3  (136998 ms)
  step 2900  E = -12.484377  E/N = -1.040365  Var(E_loc) = 6.17e-3  (142099 ms)
  step 3000  E = -12.484393  E/N = -1.040366  Var(E_loc) = 6.02e-3  (146464 ms)
  step 3100  E = -12.484408  E/N = -1.040367  Var(E_loc) = 5.86e-3  (151609 ms)
  step 3200  E = -12.484422  E/N = -1.040368  Var(E_loc) = 5.73e-3  (156382 ms)
  step 3300  E = -12.484433  E/N = -1.040369  Var(E_loc) = 5.63e-3  (161156 ms)
  step 3400  E = -12.484436  E/N = -1.040370  Var(E_loc) = 5.52e-3  (166587 ms)
  step 3500  E = -12.484452  E/N = -1.040371  Var(E_loc) = 5.46e-3  (171708 ms)
  step 3600  E = -12.484459  E/N = -1.040372  Var(E_loc) = 5.38e-3  (176882 ms)
  step 3700  E = -12.484467  E/N = -1.040372  Var(E_loc) = 5.31e-3  (179730 ms)
  step 3800  E = -12.484472  E/N = -1.040373  Var(E_loc) = 5.24e-3  (181724 ms)
  step 3900  E = -12.484477  E/N = -1.040373  Var(E_loc) = 5.19e-3  (183648 ms)
  step 4000  E = -12.484482  E/N = -1.040373  Var(E_loc) = 5.15e-3  (185643 ms)
trained: 4000 steps, 185649 ms
wrote .lake/build/nqs_ising_vit_n12_t2v_h40_noref_metrics.json, _curve.csv, _samples.bin, _params.bin
vit N=12 h=0.400000: E = -12.484482  E/N = -1.040373  Var(E_loc) = 5.15e-3  <sx> = 0.20396  C(N/2) = 0.95745  (4096 samples, 25825 params, 185 s)
