step,E,var
0,-4.80000000,1.20e+1
100,-12.36617961,4.93e-1
200,-12.47999502,3.43e-2
300,-12.48213123,1.94e-2
400,-12.48320347,1.23e-2
500,-12.48384370,8.07e-3
600,-12.48421955,5.64e-3
700,-12.48442894,4.27e-3
800,-12.48454317,3.52e-3
900,-12.48461056,3.05e-3
1000,-12.48465484,2.76e-3
1100,-12.48468705,2.52e-3
1200,-12.48471187,2.35e-3
1300,-12.48473272,2.19e-3
1400,-12.48475143,2.06e-3
1500,-12.48476720,1.94e-3
1600,-12.48478062,1.84e-3
1700,-12.48479345,1.74e-3
1800,-12.48480510,1.66e-3
1900,-12.48481454,1.58e-3
2000,-12.48482375,1.51e-3
2100,-12.48483270,1.46e-3
2200,-12.48483952,1.40e-3
2300,-12.48484534,1.35e-3
2400,-12.48485235,1.30e-3
2500,-12.48485792,1.26e-3
2600,-12.48486291,1.22e-3
2700,-12.48486612,1.20e-3
2800,-12.48487037,1.16e-3
2900,-12.48487457,1.13e-3
3000,-12.48487743,1.11e-3
3100,-12.48488013,1.09e-3
3200,-12.48488281,1.07e-3
3300,-12.48488346,1.05e-3
3400,-12.48488656,1.04e-3
3500,-12.48488780,1.02e-3
3600,-12.48488963,1.01e-3
3700,-12.48489082,1.00e-3
3800,-12.48489195,9.94e-4
3900,-12.48489296,9.86e-4
4000,-12.48489400,9.78e-4
