step,E,var
0,-12.00000000,1.20e+1
100,-15.24287889,2.98e-1
200,-15.29488291,2.87e-1
300,-15.31000867,1.52e-1
400,-15.31436331,1.05e-1
500,-15.31658081,7.94e-2
600,-15.31789733,6.36e-2
700,-15.31877138,5.27e-2
800,-15.31939928,4.49e-2
900,-15.31986524,3.90e-2
1000,-15.32021926,3.43e-2
1100,-15.32049073,3.07e-2
1200,-15.32071333,2.78e-2
1300,-15.32089899,2.53e-2
1400,-15.32105026,2.32e-2
1500,-15.32117991,2.14e-2
1600,-15.32128658,1.99e-2
1700,-15.32137656,1.86e-2
1800,-15.32145469,1.75e-2
1900,-15.32152664,1.65e-2
2000,-15.32158923,1.56e-2
2100,-15.32164073,1.49e-2
2200,-15.32168733,1.42e-2
2300,-15.32172829,1.36e-2
2400,-15.32176558,1.31e-2
2500,-15.32179755,1.26e-2
2600,-15.32182581,1.22e-2
2700,-15.32185083,1.18e-2
2800,-15.32187284,1.15e-2
2900,-15.32189285,1.12e-2
3000,-15.32191020,1.09e-2
3100,-15.32192541,1.07e-2
3200,-15.32193810,1.05e-2
3300,-15.32194923,1.04e-2
3400,-15.32195901,1.02e-2
3500,-15.32196747,1.01e-2
3600,-15.32197480,9.98e-3
3700,-15.32198160,9.88e-3
3800,-15.32198750,9.79e-3
3900,-15.32199303,9.71e-3
4000,-15.32199782,9.64e-3
