step,E,var
0,-4.80000000,1.20e+1
100,-12.15429071,1.76e+0
200,-12.46022164,2.02e-1
300,-12.46930942,1.26e-1
400,-12.47439689,8.38e-2
500,-12.47913757,5.40e-2
600,-12.48053095,4.07e-2
700,-12.48102503,3.35e-2
800,-12.48197864,2.80e-2
900,-12.48239855,2.41e-2
1000,-12.48259014,2.20e-2
1100,-12.48295757,1.90e-2
1200,-12.48317851,1.67e-2
1300,-12.48335265,1.53e-2
1400,-12.48346722,1.43e-2
1500,-12.48352856,1.35e-2
1600,-12.48368992,1.23e-2
1700,-12.48376186,1.13e-2
1800,-12.48390246,1.05e-2
1900,-12.48397648,9.82e-3
2000,-12.48405400,9.14e-3
2100,-12.48409325,8.80e-3
2200,-12.48413233,8.17e-3
2300,-12.48417608,7.99e-3
2400,-12.48420421,7.47e-3
2500,-12.48427331,7.08e-3
2600,-12.48430613,6.81e-3
2700,-12.48433428,6.55e-3
2800,-12.48435650,6.37e-3
2900,-12.48437675,6.17e-3
3000,-12.48439291,6.02e-3
3100,-12.48440799,5.86e-3
3200,-12.48442186,5.73e-3
3300,-12.48443314,5.63e-3
3400,-12.48443615,5.52e-3
3500,-12.48445170,5.46e-3
3600,-12.48445917,5.38e-3
3700,-12.48446651,5.31e-3
3800,-12.48447218,5.24e-3
3900,-12.48447714,5.19e-3
4000,-12.48448198,5.15e-3
