step,E,var
0,-12.00000000,1.20e+1
100,-15.24934150,6.95e-1
200,-15.30807085,1.57e-1
300,-15.31419159,8.94e-2
400,-15.31760301,5.58e-2
500,-15.31909700,3.99e-2
600,-15.31989225,3.06e-2
700,-15.31894558,3.16e-2
800,-15.32090058,1.94e-2
900,-15.32085775,1.76e-2
1000,-15.32134656,1.41e-2
1100,-15.32081098,1.53e-2
1200,-15.32168049,1.05e-2
1300,-15.32177051,9.58e-3
1400,-15.32185885,8.49e-3
1500,-15.32193703,7.66e-3
1600,-15.32203406,6.89e-3
1700,-15.32206641,6.41e-3
1800,-15.32208513,6.03e-3
1900,-15.32208795,5.84e-3
2000,-15.32216916,5.22e-3
2100,-15.32215103,5.11e-3
2200,-15.32213467,5.09e-3
2300,-15.32223508,4.44e-3
2400,-15.32222185,4.38e-3
2500,-15.32227500,4.05e-3
2600,-15.32227678,3.96e-3
2700,-15.32229639,3.79e-3
2800,-15.32229734,3.70e-3
2900,-15.32230961,3.60e-3
3000,-15.32232784,3.43e-3
3100,-15.32232029,3.43e-3
3200,-15.32233145,3.33e-3
3300,-15.32233352,3.32e-3
3400,-15.32234582,3.22e-3
3500,-15.32235244,3.14e-3
3600,-15.32235742,3.10e-3
3700,-15.32235863,3.08e-3
3800,-15.32235837,3.06e-3
3900,-15.32236316,3.02e-3
4000,-15.32236557,3.00e-3
