step,E,var
0,-87.16249967,8.81e+0
100,-90.63374303,1.18e+0
200,-90.63547310,1.12e+0
300,-90.81187786,2.14e-1
400,-90.85818806,1.46e-1
500,-90.84699092,1.01e-1
600,-90.84605441,6.32e-2
700,-90.83907637,6.24e-2
800,-90.85376033,6.41e-2
900,-90.85213928,4.31e-2
1000,-90.83799224,8.17e-2
1100,-90.84840653,3.37e-2
1200,-90.84286423,2.96e-2
1300,-90.84925027,2.78e-2
1400,-90.85394561,3.51e-2
1500,-90.84451858,4.74e-2
1600,-90.85257891,8.10e-2
1700,-90.85115419,1.78e-2
1800,-90.84536645,4.25e-2
1900,-90.85950773,1.88e-2
2000,-90.85673550,1.99e-2
