step,E,var
0,-128.14062500,5.93e+1
100,-135.98441044,1.12e+0
200,-136.03919606,1.05e+0
300,-135.99093194,1.04e+0
400,-135.96821554,1.06e+0
500,-136.00721905,1.03e+0
600,-136.00742740,1.02e+0
700,-135.98032188,1.07e+0
800,-135.95453799,1.04e+0
900,-136.06932087,1.04e+0
1000,-136.02610252,1.03e+0
1100,-135.98964109,1.02e+0
1200,-136.01154179,1.02e+0
1300,-136.06153137,1.01e+0
1400,-135.97593681,1.02e+0
1500,-135.98024342,1.03e+0
1600,-136.02888137,1.00e+0
1700,-135.96787553,1.00e+0
1800,-135.98883429,1.01e+0
1900,-135.99167616,9.99e-1
2000,-135.91307989,9.99e-1
