step,E,var
0,-80.00290843,3.63e+0
100,-80.16697721,4.19e+0
200,-80.32382218,5.16e+0
300,-80.65611077,5.35e+0
400,-80.59780931,4.42e+0
500,-80.83751792,4.29e+0
600,-80.83876467,4.79e+0
700,-80.81241504,4.04e+0
800,-80.89334631,4.40e+0
900,-80.86601970,4.25e+0
1000,-80.94812711,3.86e+0
1100,-80.96178895,3.74e+0
1200,-81.09519790,3.56e+0
1300,-80.98716550,3.45e+0
1400,-80.99833674,3.82e+0
1500,-80.98206681,3.50e+0
1600,-81.12173979,3.73e+0
1700,-81.05734939,3.62e+0
1800,-80.96775652,3.66e+0
1900,-81.11887802,4.21e+0
2000,-80.93372411,3.73e+0
