nqs-ising-gpt-n64-r2: 27056 params, N = 64, h = 2.000000, J = 1.000000, 4000 steps, 1024 chains, mean-field reference, seed 1
  mean field: φ = 1.5708, E_MF = -128.000000
[pjrt_ffi] allocator: 1 create option(s), memory_fraction=0.150
I0912 00:36:33.187512 2078796 service.cc:154] XLA service 0x7cc8c8028880 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
I0912 00:36:33.187552 2078796 service.cc:170]   StreamExecutor [0]: NVIDIA GeForce RTX 4060 Ti, Compute Capability 8.9 (Driver: 12.9.0[575.57.8]; Runtime: 12.9.0; Toolkit: 12.9.0; DNN: 9.23.2)
I0912 00:36:33.189357 2078796 se_gpu_pjrt_client.cc:1342] Using BFC allocator.
I0912 00:36:33.189399 2078796 gpu_helpers.cc:162] XLA backend allocating 2.34GiB (2510290944 bytes) on device 0 for BFCAllocator.
I0912 00:36:33.208335 2078796 cuda_dnn.cc:440] Loaded cuDNN version 92302
[pjrt_ffi] XLA backend: PJRT 0.114, 1 device(s)
[pjrt_ffi] command buffers: enabled (CUDA default)
I0912 00:36:34.490862 2078851 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'gemm_fusion_dot_131', 4 bytes spill stores, 4 bytes spill loads

I0912 00:36:35.362938 2078856 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'gemm_fusion_dot_129', 8 bytes spill stores, 8 bytes spill loads

[pjrt_ffi] compiled .lake/build/nqs_ising_gpt_n64_r2_train_step.mlir (@main, 115 outputs, 1 replica) in 4582 ms
[pjrt_ffi] compiled .lake/build/nqs_ising_gpt_n64_r2_fwd_eval.mlir (@forward_eval, 1 outputs, 1 replica) in 545 ms
[pjrt_ffi] compiled .lake/build/nqs_ising_gpt_n64_r2_fwd_flip.mlir (@forward_eval, 1 outputs, 1 replica) in 2514 ms
  sessions loaded
  step 0  E = -127.777344  E/N = -1.996521  Var(E_loc) = 6.87e+1  (383 ms)
  step 100  E = -135.967119  E/N = -2.124486  Var(E_loc) = 1.24e+0  (48782 ms)
  step 200  E = -135.940127  E/N = -2.124064  Var(E_loc) = 1.02e+0  (97077 ms)
  step 300  E = -136.031288  E/N = -2.125489  Var(E_loc) = 1.02e+0  (145438 ms)
  step 400  E = -135.980360  E/N = -2.124693  Var(E_loc) = 1.03e+0  (193799 ms)
  step 500  E = -135.976724  E/N = -2.124636  Var(E_loc) = 1.04e+0  (242058 ms)
  step 600  E = -136.007171  E/N = -2.125112  Var(E_loc) = 1.03e+0  (290277 ms)
  step 700  E = -135.950512  E/N = -2.124227  Var(E_loc) = 1.02e+0  (338463 ms)
  step 800  E = -135.976030  E/N = -2.124625  Var(E_loc) = 1.02e+0  (387137 ms)
  step 900  E = -135.979222  E/N = -2.124675  Var(E_loc) = 1.03e+0  (434992 ms)
  step 1000  E = -135.998218  E/N = -2.124972  Var(E_loc) = 1.01e+0  (482930 ms)
  step 1100  E = -136.002229  E/N = -2.125035  Var(E_loc) = 1.03e+0  (530568 ms)
  step 1200  E = -135.958573  E/N = -2.124353  Var(E_loc) = 1.01e+0  (578200 ms)
  step 1300  E = -135.976356  E/N = -2.124631  Var(E_loc) = 1.02e+0  (625470 ms)
  step 1400  E = -135.968862  E/N = -2.124513  Var(E_loc) = 1.04e+0  (673568 ms)
  step 1500  E = -135.996056  E/N = -2.124938  Var(E_loc) = 1.03e+0  (720609 ms)
  step 1600  E = -135.975679  E/N = -2.124620  Var(E_loc) = 1.02e+0  (768356 ms)
  step 1700  E = -136.033831  E/N = -2.125529  Var(E_loc) = 9.57e-1  (816109 ms)
  step 1800  E = -136.125660  E/N = -2.126963  Var(E_loc) = 1.07e-1  (861948 ms)
  step 1900  E = -136.138401  E/N = -2.127163  Var(E_loc) = 3.18e-2  (909733 ms)
  step 2000  E = -136.137608  E/N = -2.127150  Var(E_loc) = 2.36e-2  (957239 ms)
  step 2100  E = -136.141958  E/N = -2.127218  Var(E_loc) = 1.83e-2  (1004924 ms)
  step 2200  E = -136.131300  E/N = -2.127052  Var(E_loc) = 1.57e-2  (1052123 ms)
  step 2300  E = -136.127517  E/N = -2.126992  Var(E_loc) = 1.22e-2  (1100147 ms)
  step 2400  E = -136.132999  E/N = -2.127078  Var(E_loc) = 9.84e-3  (1147821 ms)
  step 2500  E = -136.135534  E/N = -2.127118  Var(E_loc) = 9.03e-3  (1195928 ms)
  step 2600  E = -136.129372  E/N = -2.127021  Var(E_loc) = 9.10e-3  (1243834 ms)
  step 2700  E = -136.130878  E/N = -2.127045  Var(E_loc) = 6.87e-3  (1291649 ms)
  step 2800  E = -136.131581  E/N = -2.127056  Var(E_loc) = 6.45e-3  (1338831 ms)
  step 2900  E = -136.134420  E/N = -2.127100  Var(E_loc) = 6.58e-3  (1382049 ms)
  step 3000  E = -136.131793  E/N = -2.127059  Var(E_loc) = 6.06e-3  (1425278 ms)
  step 3100  E = -136.134026  E/N = -2.127094  Var(E_loc) = 5.09e-3  (1468316 ms)
  step 3200  E = -136.134810  E/N = -2.127106  Var(E_loc) = 6.17e-3  (1511316 ms)
  step 3300  E = -136.133716  E/N = -2.127089  Var(E_loc) = 4.64e-3  (1554509 ms)
  step 3400  E = -136.130669  E/N = -2.127042  Var(E_loc) = 5.30e-3  (1597531 ms)
  step 3500  E = -136.130189  E/N = -2.127034  Var(E_loc) = 5.41e-3  (1640641 ms)
  step 3600  E = -136.137306  E/N = -2.127145  Var(E_loc) = 5.13e-3  (1683720 ms)
  step 3700  E = -136.132531  E/N = -2.127071  Var(E_loc) = 5.44e-3  (1726200 ms)
  step 3800  E = -136.130066  E/N = -2.127032  Var(E_loc) = 5.25e-3  (1768071 ms)
  step 3900  E = -136.131326  E/N = -2.127052  Var(E_loc) = 6.17e-3  (1808017 ms)
  step 4000  E = -136.134894  E/N = -2.127108  Var(E_loc) = 5.06e-3  (1848209 ms)
trained: 4000 steps, 1848218 ms
wrote .lake/build/nqs_ising_gpt_n64_r2_h200_metrics.json, _curve.csv, _samples.bin, _params.bin
gpt N=64 h=2.000000: E = -136.133981  E/N = -2.127093  Var(E_loc) = 4.79e-3  <sx> = 0.93524  C(N/2) = -0.00294  (8192 samples, 27056 params, 1868 s)
