step,E,var
0,-127.77734375,6.87e+1
100,-135.96711900,1.24e+0
200,-135.94012731,1.02e+0
300,-136.03128761,1.02e+0
400,-135.98036002,1.03e+0
500,-135.97672447,1.04e+0
600,-136.00717082,1.03e+0
700,-135.95051201,1.02e+0
800,-135.97602992,1.02e+0
900,-135.97922237,1.03e+0
1000,-135.99821799,1.01e+0
1100,-136.00222890,1.03e+0
1200,-135.95857347,1.01e+0
1300,-135.97635649,1.02e+0
1400,-135.96886234,1.04e+0
1500,-135.99605579,1.03e+0
1600,-135.97567892,1.02e+0
1700,-136.03383068,9.57e-1
1800,-136.12566010,1.07e-1
1900,-136.13840065,3.18e-2
2000,-136.13760821,2.36e-2
2100,-136.14195752,1.83e-2
2200,-136.13129997,1.57e-2
2300,-136.12751742,1.22e-2
2400,-136.13299870,9.84e-3
2500,-136.13553379,9.03e-3
2600,-136.12937152,9.10e-3
2700,-136.13087811,6.87e-3
2800,-136.13158100,6.45e-3
2900,-136.13441991,6.58e-3
3000,-136.13179337,6.06e-3
3100,-136.13402629,5.09e-3
3200,-136.13480999,6.17e-3
3300,-136.13371553,4.64e-3
3400,-136.13066937,5.30e-3
3500,-136.13018866,5.41e-3
3600,-136.13730646,5.13e-3
3700,-136.13253105,5.44e-3
3800,-136.13006617,5.25e-3
3900,-136.13132591,6.17e-3
4000,-136.13489420,5.06e-3
