nqs-ising-vit-n64-r1b: 26529 params, N = 64, h = 1.400000, J = 1.000000, 4000 steps, 2048 chains, mean-field reference, seed 1
  mean field: φ = 0.7754, E_MF = -95.360000
[pjrt_ffi] allocator: 1 create option(s), memory_fraction=0.300
I0912 00:48:40.216184 2085471 service.cc:154] XLA service 0x74b25c028880 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
I0912 00:48:40.216219 2085471 service.cc:170]   StreamExecutor [0]: NVIDIA GeForce RTX 4060 Ti, Compute Capability 8.9 (Driver: 12.9.0[575.57.8]; Runtime: 12.9.0; Toolkit: 12.9.0; DNN: 9.23.2)
I0912 00:48:40.217869 2085471 se_gpu_pjrt_client.cc:1342] Using BFC allocator.
I0912 00:48:40.217910 2085471 gpu_helpers.cc:162] XLA backend allocating 4.67GiB (5018484736 bytes) on device 0 for BFCAllocator.
I0912 00:48:40.225568 2085471 cuda_dnn.cc:440] Loaded cuDNN version 92302
[pjrt_ffi] XLA backend: PJRT 0.114, 1 device(s)
[pjrt_ffi] command buffers: enabled (CUDA default)
I0912 00:48:41.963855 2085490 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'gemm_fusion_dot_128', 8 bytes spill stores, 8 bytes spill loads

I0912 00:48:42.589734 2085499 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'gemm_fusion_dot_130', 4 bytes spill stores, 4 bytes spill loads

[pjrt_ffi] compiled .lake/build/nqs_ising_vit_n64_r1b_train_step.mlir (@main, 115 outputs, 1 replica) in 3475 ms
[pjrt_ffi] compiled .lake/build/nqs_ising_vit_n64_r1b_fwd_eval.mlir (@forward_eval, 1 outputs, 1 replica) in 779 ms
[pjrt_ffi] compiled .lake/build/nqs_ising_vit_n64_r1b_fwd_flip.mlir (@forward_eval, 1 outputs, 1 replica) in 2809 ms
  sessions loaded
  burn-in: 20 sweeps, acceptance 0.299
  step 0  E = -95.307678  E/N = -1.489182  Var(E_loc) = 1.55e+1  (890 ms)
  step 100  E = -98.061838  E/N = -1.532216  Var(E_loc) = 7.71e+0  (84020 ms)
  step 200  E = -98.539173  E/N = -1.539675  Var(E_loc) = 8.73e+0  (170658 ms)
  step 300  E = -98.525848  E/N = -1.539466  Var(E_loc) = 8.12e+0  (256258 ms)
  step 400  E = -98.710443  E/N = -1.542351  Var(E_loc) = 1.00e+1  (341488 ms)
  step 500  E = -99.171991  E/N = -1.549562  Var(E_loc) = 9.41e+0  (426926 ms)
  step 600  E = -100.005702  E/N = -1.562589  Var(E_loc) = 5.73e+0  (512274 ms)
  step 700  E = -100.636399  E/N = -1.572444  Var(E_loc) = 4.38e+0  (595074 ms)
  step 800  E = -83.127490  E/N = -1.298867  Var(E_loc) = 7.10e+2  (670892 ms)
  step 900  E = -83.196926  E/N = -1.299952  Var(E_loc) = 7.11e+2  (746584 ms)
  step 1000  E = -83.192929  E/N = -1.299890  Var(E_loc) = 7.11e+2  (821839 ms)
  step 1100  E = -83.186538  E/N = -1.299790  Var(E_loc) = 7.11e+2  (897132 ms)
  step 1200  E = -83.133260  E/N = -1.298957  Var(E_loc) = 7.10e+2  (972483 ms)
  step 1300  E = -83.130775  E/N = -1.298918  Var(E_loc) = 7.10e+2  (1045099 ms)
  step 1400  E = -83.226490  E/N = -1.300414  Var(E_loc) = 7.13e+2  (1108423 ms)
  step 1500  E = -83.300628  E/N = -1.301572  Var(E_loc) = 7.14e+2  (1171969 ms)
  step 1600  E = -83.244807  E/N = -1.300700  Var(E_loc) = 7.13e+2  (1237449 ms)
  step 1700  E = -83.316884  E/N = -1.301826  Var(E_loc) = 7.14e+2  (1301018 ms)
  step 1800  E = -83.238155  E/N = -1.300596  Var(E_loc) = 7.12e+2  (1364096 ms)
  step 1900  E = -83.220758  E/N = -1.300324  Var(E_loc) = 7.12e+2  (1427209 ms)
  step 2000  E = -83.182739  E/N = -1.299730  Var(E_loc) = 7.10e+2  (1490458 ms)
  step 2100  E = -83.289776  E/N = -1.301403  Var(E_loc) = 7.14e+2  (1554063 ms)
  step 2200  E = -83.393348  E/N = -1.303021  Var(E_loc) = 7.14e+2  (1617403 ms)
  step 2300  E = -83.337275  E/N = -1.302145  Var(E_loc) = 7.14e+2  (1680874 ms)
  step 2400  E = -83.397528  E/N = -1.303086  Var(E_loc) = 7.14e+2  (1744230 ms)
  step 2500  E = -83.325470  E/N = -1.301960  Var(E_loc) = 7.10e+2  (1807569 ms)
  step 2600  E = -83.441829  E/N = -1.303779  Var(E_loc) = 7.14e+2  (1871376 ms)
  step 2700  E = -83.393414  E/N = -1.303022  Var(E_loc) = 7.11e+2  (1934650 ms)
  step 2800  E = -83.412750  E/N = -1.303324  Var(E_loc) = 7.11e+2  (1998330 ms)
  step 2900  E = -83.346636  E/N = -1.302291  Var(E_loc) = 7.10e+2  (2061773 ms)
  step 3000  E = -83.378182  E/N = -1.302784  Var(E_loc) = 7.11e+2  (2124957 ms)
  step 3100  E = -83.389594  E/N = -1.302962  Var(E_loc) = 7.11e+2  (2189109 ms)
  step 3200  E = -83.467331  E/N = -1.304177  Var(E_loc) = 7.13e+2  (2252849 ms)
  step 3300  E = -83.368067  E/N = -1.302626  Var(E_loc) = 7.10e+2  (2316713 ms)
  step 3400  E = -83.366127  E/N = -1.302596  Var(E_loc) = 7.11e+2  (2380340 ms)
  step 3500  E = -83.385989  E/N = -1.302906  Var(E_loc) = 7.11e+2  (2444086 ms)
  step 3600  E = -83.248902  E/N = -1.300764  Var(E_loc) = 7.07e+2  (2507941 ms)
  step 3700  E = -83.392401  E/N = -1.303006  Var(E_loc) = 7.11e+2  (2571784 ms)
  step 3800  E = -83.456754  E/N = -1.304012  Var(E_loc) = 7.13e+2  (2635902 ms)
  step 3900  E = -83.450983  E/N = -1.303922  Var(E_loc) = 7.12e+2  (2700303 ms)
  step 4000  E = -83.320832  E/N = -1.301888  Var(E_loc) = 7.09e+2  (2764271 ms)
trained: 4000 steps, 2764279 ms
wrote .lake/build/nqs_ising_vit_n64_r1b_h140_metrics.json, _curve.csv, _samples.bin, _params.bin
vit N=64 h=1.400000: E = -83.380323  E/N = -1.302818  Var(E_loc) = 7.11e+2  <sx> = 0.57912  C(N/2) = 0.41533  (16384 samples, 26529 params, 2795 s)
