step,E,var
0,-95.30767820,1.55e+1
100,-98.06183840,7.71e+0
200,-98.53917293,8.73e+0
300,-98.52584773,8.12e+0
400,-98.71044319,1.00e+1
500,-99.17199110,9.41e+0
600,-100.00570161,5.73e+0
700,-100.63639853,4.38e+0
800,-83.12749000,7.10e+2
900,-83.19692598,7.11e+2
1000,-83.19292943,7.11e+2
1100,-83.18653841,7.11e+2
1200,-83.13325990,7.10e+2
1300,-83.13077478,7.10e+2
1400,-83.22649024,7.13e+2
1500,-83.30062804,7.14e+2
1600,-83.24480720,7.13e+2
1700,-83.31688439,7.14e+2
1800,-83.23815508,7.12e+2
1900,-83.22075753,7.12e+2
2000,-83.18273925,7.10e+2
2100,-83.28977615,7.14e+2
2200,-83.39334751,7.14e+2
2300,-83.33727546,7.14e+2
2400,-83.39752772,7.14e+2
2500,-83.32546991,7.10e+2
2600,-83.44182941,7.14e+2
2700,-83.39341380,7.11e+2
2800,-83.41275038,7.11e+2
2900,-83.34663574,7.10e+2
3000,-83.37818153,7.11e+2
3100,-83.38959421,7.11e+2
3200,-83.46733050,7.13e+2
3300,-83.36806651,7.10e+2
3400,-83.36612650,7.11e+2
3500,-83.38598875,7.11e+2
3600,-83.24890172,7.07e+2
3700,-83.39240147,7.11e+2
3800,-83.45675353,7.13e+2
3900,-83.45098305,7.12e+2
4000,-83.32083212,7.09e+2
