step,E,var
0,-87.15000000,8.69e+0
100,-88.57103466,3.69e+0
200,-88.72420005,4.43e+0
300,-88.74546789,4.25e+0
400,-88.81114475,3.91e+0
500,-88.88597063,5.33e+0
600,-88.85839047,4.86e+0
700,-88.95146299,4.07e+0
800,-89.22422715,4.70e+0
900,-89.48190705,3.46e+0
1000,-89.64804745,3.41e+0
1100,-89.89284637,2.39e+0
1200,-89.96998052,1.74e+0
1300,-90.07007832,1.70e+0
1400,-90.11810113,1.44e+0
1500,-90.28998344,1.54e+0
1600,-90.22216798,1.41e+0
1700,-90.27889532,1.34e+0
1800,-90.33939918,1.59e+0
1900,-90.27165222,1.38e+0
2000,-90.29852592,1.51e+0
