step,E,var
0,-128.14062500,6.78e+1
100,-134.03375292,1.87e+1
200,-134.36002321,1.62e+1
300,-135.72821874,4.78e+0
400,-136.01956899,1.55e+0
500,-136.06744439,9.66e-1
600,-136.06036533,8.07e-1
700,-136.07021555,6.79e-1
800,-136.09232857,5.14e-1
900,-136.06131209,4.66e-1
1000,-136.11248128,5.74e-1
1100,-136.12942840,6.39e-1
1200,-136.10746262,5.54e-1
1300,-136.09730904,3.81e-1
1400,-136.08721009,6.70e-1
1500,-136.10661497,3.51e-1
1600,-136.08623340,3.63e-1
1700,-136.11772395,3.71e-1
1800,-136.04863414,3.95e-1
1900,-136.11474446,3.45e-1
2000,-136.11550126,3.37e-1
