nqs-ising-mlp-n12-sm: 5057 params, N = 12, h = 0.200000, J = 1.000000, 4000 steps, enumeration of 4096 configurations, Z2-symmetrised mean-field reference, seed 1
  mean field: φ = 0.1002, E_MF = -12.120000
[pjrt_ffi] allocator: 1 create option(s), memory_fraction=0.150
I0912 00:36:06.165604 2078531 service.cc:154] XLA service 0x709d70028880 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
I0912 00:36:06.165637 2078531 service.cc:170]   StreamExecutor [0]: NVIDIA GeForce RTX 4060 Ti, Compute Capability 8.9 (Driver: 12.9.0[575.57.8]; Runtime: 12.9.0; Toolkit: 12.9.0; DNN: 9.23.2)
I0912 00:36:06.167383 2078531 se_gpu_pjrt_client.cc:1342] Using BFC allocator.
I0912 00:36:06.167427 2078531 gpu_helpers.cc:162] XLA backend allocating 2.34GiB (2510290944 bytes) on device 0 for BFCAllocator.
I0912 00:36:06.176238 2078531 cuda_dnn.cc:440] Loaded cuDNN version 92302
[pjrt_ffi] XLA backend: PJRT 0.114, 1 device(s)
[pjrt_ffi] command buffers: enabled (CUDA default)
I0912 00:36:06.696401 2078562 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'gemm_fusion_dot_3', 4 bytes spill stores, 4 bytes spill loads

[pjrt_ffi] compiled .lake/build/nqs_ising_mlp_n12_sm_train_step.mlir (@main, 19 outputs, 1 replica) in 1104 ms
[pjrt_ffi] compiled .lake/build/nqs_ising_mlp_n12_sm_fwd_eval.mlir (@forward_eval, 1 outputs, 1 replica) in 624 ms
  sessions loaded
  step 0  E = -12.120000  E/N = -1.010000  Var(E_loc) = 1.20e-3  (12 ms)
  step 100  E = -12.120286  E/N = -1.010024  Var(E_loc) = 9.18e-5  (1531 ms)
  step 200  E = -12.120295  E/N = -1.010025  Var(E_loc) = 4.27e-5  (3029 ms)
  step 300  E = -12.120294  E/N = -1.010024  Var(E_loc) = 4.77e-5  (4542 ms)
  step 400  E = -12.120296  E/N = -1.010025  Var(E_loc) = 3.94e-5  (6035 ms)
  step 500  E = -12.120298  E/N = -1.010025  Var(E_loc) = 2.79e-5  (7557 ms)
  step 600  E = -12.120297  E/N = -1.010025  Var(E_loc) = 3.14e-5  (9032 ms)
  step 700  E = -12.120299  E/N = -1.010025  Var(E_loc) = 2.22e-5  (10500 ms)
  step 800  E = -12.120296  E/N = -1.010025  Var(E_loc) = 3.73e-5  (12010 ms)
  step 900  E = -12.120300  E/N = -1.010025  Var(E_loc) = 1.85e-5  (13518 ms)
  step 1000  E = -12.120301  E/N = -1.010025  Var(E_loc) = 1.50e-5  (14991 ms)
  step 1100  E = -12.120301  E/N = -1.010025  Var(E_loc) = 1.55e-5  (16488 ms)
  step 1200  E = -12.120300  E/N = -1.010025  Var(E_loc) = 1.75e-5  (17945 ms)
  step 1300  E = -12.120301  E/N = -1.010025  Var(E_loc) = 1.16e-5  (19451 ms)
  step 1400  E = -12.120302  E/N = -1.010025  Var(E_loc) = 1.02e-5  (20891 ms)
  step 1500  E = -12.120302  E/N = -1.010025  Var(E_loc) = 1.01e-5  (22391 ms)
  step 1600  E = -12.120302  E/N = -1.010025  Var(E_loc) = 9.02e-6  (23911 ms)
  step 1700  E = -12.120302  E/N = -1.010025  Var(E_loc) = 8.77e-6  (25462 ms)
  step 1800  E = -12.120302  E/N = -1.010025  Var(E_loc) = 9.70e-6  (27862 ms)
  step 1900  E = -12.120302  E/N = -1.010025  Var(E_loc) = 7.64e-6  (30567 ms)
  step 2000  E = -12.120302  E/N = -1.010025  Var(E_loc) = 7.19e-6  (32495 ms)
  step 2100  E = -12.120302  E/N = -1.010025  Var(E_loc) = 6.96e-6  (33979 ms)
  step 2200  E = -12.120302  E/N = -1.010025  Var(E_loc) = 6.97e-6  (35479 ms)
  step 2300  E = -12.120302  E/N = -1.010025  Var(E_loc) = 6.61e-6  (37032 ms)
  step 2400  E = -12.120302  E/N = -1.010025  Var(E_loc) = 6.14e-6  (38578 ms)
  step 2500  E = -12.120302  E/N = -1.010025  Var(E_loc) = 6.10e-6  (40112 ms)
  step 2600  E = -12.120302  E/N = -1.010025  Var(E_loc) = 5.79e-6  (41619 ms)
  step 2700  E = -12.120302  E/N = -1.010025  Var(E_loc) = 5.62e-6  (43115 ms)
  step 2800  E = -12.120302  E/N = -1.010025  Var(E_loc) = 5.57e-6  (44682 ms)
  step 2900  E = -12.120302  E/N = -1.010025  Var(E_loc) = 5.41e-6  (46178 ms)
  step 3000  E = -12.120302  E/N = -1.010025  Var(E_loc) = 5.29e-6  (47744 ms)
  step 3100  E = -12.120302  E/N = -1.010025  Var(E_loc) = 5.18e-6  (49232 ms)
  step 3200  E = -12.120302  E/N = -1.010025  Var(E_loc) = 5.19e-6  (50809 ms)
  step 3300  E = -12.120302  E/N = -1.010025  Var(E_loc) = 5.00e-6  (52303 ms)
  step 3400  E = -12.120302  E/N = -1.010025  Var(E_loc) = 4.94e-6  (53806 ms)
  step 3500  E = -12.120302  E/N = -1.010025  Var(E_loc) = 4.90e-6  (55335 ms)
  step 3600  E = -12.120302  E/N = -1.010025  Var(E_loc) = 4.85e-6  (56865 ms)
  step 3700  E = -12.120302  E/N = -1.010025  Var(E_loc) = 4.85e-6  (58414 ms)
  step 3800  E = -12.120302  E/N = -1.010025  Var(E_loc) = 4.77e-6  (59966 ms)
  step 3900  E = -12.120302  E/N = -1.010025  Var(E_loc) = 4.79e-6  (61458 ms)
  step 4000  E = -12.120302  E/N = -1.010025  Var(E_loc) = 4.71e-6  (63051 ms)
trained: 4000 steps, 63052 ms
wrote .lake/build/nqs_ising_mlp_n12_sm_h20_symref_metrics.json, _curve.csv, _samples.bin, _params.bin
mlp N=12 h=0.200000: E = -12.120302  E/N = -1.010025  Var(E_loc) = 4.71e-6  <sx> = 0.10051  C(N/2) = 0.98985  (4096 samples, 5057 params, 63 s)
