nqs-ising-mlp-n12-sm: 5057 params, N = 12, h = 0.800000, J = 1.000000, 4000 steps, enumeration of 4096 configurations, Z2-symmetrised mean-field reference, seed 1
  mean field: φ = 0.4115, E_MF = -13.920000
[pjrt_ffi] allocator: 1 create option(s), memory_fraction=0.150
I0912 00:39:19.523933 2080803 service.cc:154] XLA service 0x7dd458028880 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
I0912 00:39:19.523965 2080803 service.cc:170]   StreamExecutor [0]: NVIDIA GeForce RTX 4060 Ti, Compute Capability 8.9 (Driver: 12.9.0[575.57.8]; Runtime: 12.9.0; Toolkit: 12.9.0; DNN: 9.23.2)
I0912 00:39:19.525979 2080803 se_gpu_pjrt_client.cc:1342] Using BFC allocator.
I0912 00:39:19.526016 2080803 gpu_helpers.cc:162] XLA backend allocating 2.34GiB (2510290944 bytes) on device 0 for BFCAllocator.
I0912 00:39:19.533421 2080803 cuda_dnn.cc:440] Loaded cuDNN version 92302
[pjrt_ffi] XLA backend: PJRT 0.114, 1 device(s)
[pjrt_ffi] command buffers: enabled (CUDA default)
I0912 00:39:20.149337 2080835 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'gemm_fusion_dot_3', 4 bytes spill stores, 4 bytes spill loads

[pjrt_ffi] compiled .lake/build/nqs_ising_mlp_n12_sm_train_step.mlir (@main, 19 outputs, 1 replica) in 1082 ms
[pjrt_ffi] compiled .lake/build/nqs_ising_mlp_n12_sm_fwd_eval.mlir (@forward_eval, 1 outputs, 1 replica) in 758 ms
  sessions loaded
  step 0  E = -13.920169  E/N = -1.160014  Var(E_loc) = 3.08e-1  (17 ms)
  step 100  E = -14.010336  E/N = -1.167528  Var(E_loc) = 6.12e-2  (1572 ms)
  step 200  E = -14.018369  E/N = -1.168197  Var(E_loc) = 2.91e-2  (3137 ms)
  step 300  E = -14.019822  E/N = -1.168319  Var(E_loc) = 1.56e-2  (4600 ms)
  step 400  E = -14.020192  E/N = -1.168349  Var(E_loc) = 1.17e-2  (6088 ms)
  step 500  E = -14.020223  E/N = -1.168352  Var(E_loc) = 9.35e-3  (7618 ms)
  step 600  E = -14.020436  E/N = -1.168370  Var(E_loc) = 7.70e-3  (9171 ms)
  step 700  E = -14.020649  E/N = -1.168387  Var(E_loc) = 6.48e-3  (10692 ms)
  step 800  E = -14.020702  E/N = -1.168392  Var(E_loc) = 5.61e-3  (12199 ms)
  step 900  E = -14.020743  E/N = -1.168395  Var(E_loc) = 5.21e-3  (13709 ms)
  step 1000  E = -14.020751  E/N = -1.168396  Var(E_loc) = 4.74e-3  (15195 ms)
  step 1100  E = -14.020797  E/N = -1.168400  Var(E_loc) = 4.29e-3  (16677 ms)
  step 1200  E = -14.020847  E/N = -1.168404  Var(E_loc) = 3.94e-3  (18220 ms)
  step 1300  E = -14.020862  E/N = -1.168405  Var(E_loc) = 3.67e-3  (19783 ms)
  step 1400  E = -14.020875  E/N = -1.168406  Var(E_loc) = 3.59e-3  (21283 ms)
  step 1500  E = -14.020874  E/N = -1.168406  Var(E_loc) = 3.38e-3  (22844 ms)
  step 1600  E = -14.020922  E/N = -1.168410  Var(E_loc) = 3.10e-3  (24368 ms)
  step 1700  E = -14.020916  E/N = -1.168410  Var(E_loc) = 3.03e-3  (26014 ms)
  step 1800  E = -14.020945  E/N = -1.168412  Var(E_loc) = 2.80e-3  (27540 ms)
  step 1900  E = -14.020952  E/N = -1.168413  Var(E_loc) = 2.66e-3  (29052 ms)
  step 2000  E = -14.020964  E/N = -1.168414  Var(E_loc) = 2.59e-3  (30549 ms)
  step 2100  E = -14.020967  E/N = -1.168414  Var(E_loc) = 2.48e-3  (32126 ms)
  step 2200  E = -14.020972  E/N = -1.168414  Var(E_loc) = 2.40e-3  (33632 ms)
  step 2300  E = -14.020986  E/N = -1.168415  Var(E_loc) = 2.31e-3  (35270 ms)
  step 2400  E = -14.020985  E/N = -1.168415  Var(E_loc) = 2.28e-3  (36836 ms)
  step 2500  E = -14.020990  E/N = -1.168416  Var(E_loc) = 2.20e-3  (38377 ms)
  step 2600  E = -14.020998  E/N = -1.168416  Var(E_loc) = 2.14e-3  (39920 ms)
  step 2700  E = -14.021002  E/N = -1.168417  Var(E_loc) = 2.10e-3  (41459 ms)
  step 2800  E = -14.021005  E/N = -1.168417  Var(E_loc) = 2.06e-3  (43015 ms)
  step 2900  E = -14.021006  E/N = -1.168417  Var(E_loc) = 2.03e-3  (44558 ms)
  step 3000  E = -14.021009  E/N = -1.168417  Var(E_loc) = 1.99e-3  (46061 ms)
  step 3100  E = -14.021012  E/N = -1.168418  Var(E_loc) = 1.96e-3  (47585 ms)
  step 3200  E = -14.021012  E/N = -1.168418  Var(E_loc) = 1.94e-3  (49150 ms)
  step 3300  E = -14.021014  E/N = -1.168418  Var(E_loc) = 1.92e-3  (50671 ms)
  step 3400  E = -14.021016  E/N = -1.168418  Var(E_loc) = 1.90e-3  (52217 ms)
  step 3500  E = -14.021018  E/N = -1.168418  Var(E_loc) = 1.88e-3  (53803 ms)
  step 3600  E = -14.021018  E/N = -1.168418  Var(E_loc) = 1.88e-3  (55301 ms)
  step 3700  E = -14.021019  E/N = -1.168418  Var(E_loc) = 1.86e-3  (56854 ms)
  step 3800  E = -14.021020  E/N = -1.168418  Var(E_loc) = 1.85e-3  (58402 ms)
  step 3900  E = -14.021020  E/N = -1.168418  Var(E_loc) = 1.85e-3  (59988 ms)
  step 4000  E = -14.021021  E/N = -1.168418  Var(E_loc) = 1.83e-3  (61514 ms)
trained: 4000 steps, 61516 ms
wrote .lake/build/nqs_ising_mlp_n12_sm_h80_symref_metrics.json, _curve.csv, _samples.bin, _params.bin
mlp N=12 h=0.800000: E = -14.021021  E/N = -1.168418  Var(E_loc) = 1.83e-3  <sx> = 0.45185  C(N/2) = 0.76264  (4096 samples, 5057 params, 62 s)
