nqs-ising-mlp-n12-sm: 5057 params, N = 12, h = 1.400000, J = 1.000000, 4000 steps, enumeration of 4096 configurations, Z2-symmetrised mean-field reference, seed 1
  mean field: φ = 0.7754, E_MF = -17.880000
[pjrt_ffi] allocator: 1 create option(s), memory_fraction=0.150
I0912 00:42:30.757569 2081661 service.cc:154] XLA service 0x702970028880 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
I0912 00:42:30.757613 2081661 service.cc:170]   StreamExecutor [0]: NVIDIA GeForce RTX 4060 Ti, Compute Capability 8.9 (Driver: 12.9.0[575.57.8]; Runtime: 12.9.0; Toolkit: 12.9.0; DNN: 9.23.2)
I0912 00:42:30.759338 2081661 se_gpu_pjrt_client.cc:1342] Using BFC allocator.
I0912 00:42:30.759375 2081661 gpu_helpers.cc:162] XLA backend allocating 2.34GiB (2510290944 bytes) on device 0 for BFCAllocator.
I0912 00:42:30.767553 2081661 cuda_dnn.cc:440] Loaded cuDNN version 92302
[pjrt_ffi] XLA backend: PJRT 0.114, 1 device(s)
[pjrt_ffi] command buffers: enabled (CUDA default)
I0912 00:42:31.406878 2081690 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'gemm_fusion_dot_3', 4 bytes spill stores, 4 bytes spill loads

[pjrt_ffi] compiled .lake/build/nqs_ising_mlp_n12_sm_train_step.mlir (@main, 19 outputs, 1 replica) in 1060 ms
[pjrt_ffi] compiled .lake/build/nqs_ising_mlp_n12_sm_fwd_eval.mlir (@forward_eval, 1 outputs, 1 replica) in 656 ms
  sessions loaded
  step 0  E = -17.963552  E/N = -1.496963  Var(E_loc) = 3.18e+0  (12 ms)
  step 100  E = -18.995486  E/N = -1.582957  Var(E_loc) = 5.07e-1  (1599 ms)
  step 200  E = -19.015184  E/N = -1.584599  Var(E_loc) = 1.92e-1  (3092 ms)
  step 300  E = -19.019528  E/N = -1.584961  Var(E_loc) = 1.13e-1  (4626 ms)
  step 400  E = -19.021560  E/N = -1.585130  Var(E_loc) = 7.65e-2  (6214 ms)
  step 500  E = -19.022559  E/N = -1.585213  Var(E_loc) = 5.72e-2  (7731 ms)
  step 600  E = -19.023104  E/N = -1.585259  Var(E_loc) = 4.56e-2  (9233 ms)
  step 700  E = -19.023512  E/N = -1.585293  Var(E_loc) = 3.80e-2  (11646 ms)
  step 800  E = -19.023781  E/N = -1.585315  Var(E_loc) = 3.24e-2  (13350 ms)
  step 900  E = -19.023954  E/N = -1.585329  Var(E_loc) = 2.84e-2  (14809 ms)
  step 1000  E = -19.024147  E/N = -1.585346  Var(E_loc) = 2.52e-2  (16263 ms)
  step 1100  E = -19.024250  E/N = -1.585354  Var(E_loc) = 2.28e-2  (17769 ms)
  step 1200  E = -19.024357  E/N = -1.585363  Var(E_loc) = 2.08e-2  (19418 ms)
  step 1300  E = -19.024441  E/N = -1.585370  Var(E_loc) = 1.90e-2  (21640 ms)
  step 1400  E = -19.024477  E/N = -1.585373  Var(E_loc) = 1.76e-2  (23365 ms)
  step 1500  E = -19.024562  E/N = -1.585380  Var(E_loc) = 1.63e-2  (24868 ms)
  step 1600  E = -19.024627  E/N = -1.585386  Var(E_loc) = 1.52e-2  (26355 ms)
  step 1700  E = -19.024660  E/N = -1.585388  Var(E_loc) = 1.42e-2  (27829 ms)
  step 1800  E = -19.024707  E/N = -1.585392  Var(E_loc) = 1.33e-2  (30128 ms)
  step 1900  E = -19.024751  E/N = -1.585396  Var(E_loc) = 1.25e-2  (31871 ms)
  step 2000  E = -19.024783  E/N = -1.585399  Var(E_loc) = 1.18e-2  (33363 ms)
  step 2100  E = -19.024814  E/N = -1.585401  Var(E_loc) = 1.11e-2  (34811 ms)
  step 2200  E = -19.024838  E/N = -1.585403  Var(E_loc) = 1.06e-2  (36296 ms)
  step 2300  E = -19.024858  E/N = -1.585405  Var(E_loc) = 1.02e-2  (37787 ms)
  step 2400  E = -19.024874  E/N = -1.585406  Var(E_loc) = 9.81e-3  (39253 ms)
  step 2500  E = -19.024892  E/N = -1.585408  Var(E_loc) = 9.44e-3  (40771 ms)
  step 2600  E = -19.024908  E/N = -1.585409  Var(E_loc) = 9.11e-3  (42256 ms)
  step 2700  E = -19.024921  E/N = -1.585410  Var(E_loc) = 8.83e-3  (43712 ms)
  step 2800  E = -19.024931  E/N = -1.585411  Var(E_loc) = 8.60e-3  (45194 ms)
  step 2900  E = -19.024941  E/N = -1.585412  Var(E_loc) = 8.41e-3  (46660 ms)
  step 3000  E = -19.024948  E/N = -1.585412  Var(E_loc) = 8.22e-3  (48114 ms)
  step 3100  E = -19.024957  E/N = -1.585413  Var(E_loc) = 8.05e-3  (49594 ms)
  step 3200  E = -19.024963  E/N = -1.585414  Var(E_loc) = 7.91e-3  (51077 ms)
  step 3300  E = -19.024970  E/N = -1.585414  Var(E_loc) = 7.78e-3  (52594 ms)
  step 3400  E = -19.024975  E/N = -1.585415  Var(E_loc) = 7.67e-3  (54081 ms)
  step 3500  E = -19.024980  E/N = -1.585415  Var(E_loc) = 7.56e-3  (55551 ms)
  step 3600  E = -19.024983  E/N = -1.585415  Var(E_loc) = 7.50e-3  (56982 ms)
  step 3700  E = -19.024986  E/N = -1.585415  Var(E_loc) = 7.43e-3  (58426 ms)
  step 3800  E = -19.024989  E/N = -1.585416  Var(E_loc) = 7.36e-3  (59945 ms)
  step 3900  E = -19.024992  E/N = -1.585416  Var(E_loc) = 7.30e-3  (61373 ms)
  step 4000  E = -19.024995  E/N = -1.585416  Var(E_loc) = 7.23e-3  (62841 ms)
trained: 4000 steps, 62842 ms
wrote .lake/build/nqs_ising_mlp_n12_sm_h140_symref_metrics.json, _curve.csv, _samples.bin, _params.bin
mlp N=12 h=1.400000: E = -19.024995  E/N = -1.585416  Var(E_loc) = 7.23e-3  <sx> = 0.85467  C(N/2) = 0.06868  (4096 samples, 5057 params, 63 s)
