nqs-ising-mlp-n12-sm: 5057 params, N = 12, h = 1.600000, J = 1.000000, 4000 steps, enumeration of 4096 configurations, Z2-symmetrised mean-field reference, seed 1
  mean field: φ = 0.9273, E_MF = -19.680000
[pjrt_ffi] allocator: 1 create option(s), memory_fraction=0.150
I0912 00:43:36.297508 2084386 service.cc:154] XLA service 0x7616a0028880 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
I0912 00:43:36.297545 2084386 service.cc:170]   StreamExecutor [0]: NVIDIA GeForce RTX 4060 Ti, Compute Capability 8.9 (Driver: 12.9.0[575.57.8]; Runtime: 12.9.0; Toolkit: 12.9.0; DNN: 9.23.2)
I0912 00:43:36.299332 2084386 se_gpu_pjrt_client.cc:1342] Using BFC allocator.
I0912 00:43:36.299363 2084386 gpu_helpers.cc:162] XLA backend allocating 2.34GiB (2510290944 bytes) on device 0 for BFCAllocator.
I0912 00:43:36.307339 2084386 cuda_dnn.cc:440] Loaded cuDNN version 92302
[pjrt_ffi] XLA backend: PJRT 0.114, 1 device(s)
[pjrt_ffi] command buffers: enabled (CUDA default)
I0912 00:43:36.906363 2084421 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'gemm_fusion_dot_3', 4 bytes spill stores, 4 bytes spill loads

[pjrt_ffi] compiled .lake/build/nqs_ising_mlp_n12_sm_train_step.mlir (@main, 19 outputs, 1 replica) in 1010 ms
[pjrt_ffi] compiled .lake/build/nqs_ising_mlp_n12_sm_fwd_eval.mlir (@forward_eval, 1 outputs, 1 replica) in 699 ms
  sessions loaded
  step 0  E = -19.957779  E/N = -1.663148  Var(E_loc) = 5.38e+0  (13 ms)
  step 100  E = -21.097680  E/N = -1.758140  Var(E_loc) = 5.45e-1  (1521 ms)
  step 200  E = -21.115985  E/N = -1.759665  Var(E_loc) = 2.23e-1  (3073 ms)
  step 300  E = -21.120432  E/N = -1.760036  Var(E_loc) = 1.38e-1  (4645 ms)
  step 400  E = -21.122547  E/N = -1.760212  Var(E_loc) = 9.44e-2  (6166 ms)
  step 500  E = -21.123687  E/N = -1.760307  Var(E_loc) = 7.07e-2  (7714 ms)
  step 600  E = -21.124378  E/N = -1.760365  Var(E_loc) = 5.54e-2  (9298 ms)
  step 700  E = -21.124877  E/N = -1.760406  Var(E_loc) = 4.54e-2  (10803 ms)
  step 800  E = -21.125208  E/N = -1.760434  Var(E_loc) = 3.81e-2  (12342 ms)
  step 900  E = -21.125439  E/N = -1.760453  Var(E_loc) = 3.28e-2  (13839 ms)
  step 1000  E = -21.125627  E/N = -1.760469  Var(E_loc) = 2.87e-2  (15420 ms)
  step 1100  E = -21.125776  E/N = -1.760481  Var(E_loc) = 2.54e-2  (16971 ms)
  step 1200  E = -21.125892  E/N = -1.760491  Var(E_loc) = 2.28e-2  (18493 ms)
  step 1300  E = -21.125987  E/N = -1.760499  Var(E_loc) = 2.06e-2  (20001 ms)
  step 1400  E = -21.126053  E/N = -1.760504  Var(E_loc) = 1.89e-2  (21533 ms)
  step 1500  E = -21.126132  E/N = -1.760511  Var(E_loc) = 1.74e-2  (23039 ms)
  step 1600  E = -21.126178  E/N = -1.760515  Var(E_loc) = 1.60e-2  (24537 ms)
  step 1700  E = -21.126243  E/N = -1.760520  Var(E_loc) = 1.48e-2  (26059 ms)
  step 1800  E = -21.126287  E/N = -1.760524  Var(E_loc) = 1.39e-2  (27673 ms)
  step 1900  E = -21.126321  E/N = -1.760527  Var(E_loc) = 1.31e-2  (29195 ms)
  step 2000  E = -21.126356  E/N = -1.760530  Var(E_loc) = 1.23e-2  (30773 ms)
  step 2100  E = -21.126384  E/N = -1.760532  Var(E_loc) = 1.17e-2  (32246 ms)
  step 2200  E = -21.126409  E/N = -1.760534  Var(E_loc) = 1.11e-2  (33806 ms)
  step 2300  E = -21.126431  E/N = -1.760536  Var(E_loc) = 1.06e-2  (35406 ms)
  step 2400  E = -21.126451  E/N = -1.760538  Var(E_loc) = 1.01e-2  (36913 ms)
  step 2500  E = -21.126470  E/N = -1.760539  Var(E_loc) = 9.65e-3  (38530 ms)
  step 2600  E = -21.126486  E/N = -1.760541  Var(E_loc) = 9.28e-3  (40027 ms)
  step 2700  E = -21.126501  E/N = -1.760542  Var(E_loc) = 8.92e-3  (41539 ms)
  step 2800  E = -21.126514  E/N = -1.760543  Var(E_loc) = 8.63e-3  (43009 ms)
  step 2900  E = -21.126525  E/N = -1.760544  Var(E_loc) = 8.37e-3  (44531 ms)
  step 3000  E = -21.126535  E/N = -1.760545  Var(E_loc) = 8.13e-3  (46016 ms)
  step 3100  E = -21.126543  E/N = -1.760545  Var(E_loc) = 7.94e-3  (47564 ms)
  step 3200  E = -21.126551  E/N = -1.760546  Var(E_loc) = 7.76e-3  (49060 ms)
  step 3300  E = -21.126558  E/N = -1.760546  Var(E_loc) = 7.60e-3  (50597 ms)
  step 3400  E = -21.126563  E/N = -1.760547  Var(E_loc) = 7.47e-3  (52178 ms)
  step 3500  E = -21.126568  E/N = -1.760547  Var(E_loc) = 7.36e-3  (53757 ms)
  step 3600  E = -21.126572  E/N = -1.760548  Var(E_loc) = 7.27e-3  (55254 ms)
  step 3700  E = -21.126576  E/N = -1.760548  Var(E_loc) = 7.17e-3  (56761 ms)
  step 3800  E = -21.126579  E/N = -1.760548  Var(E_loc) = 7.09e-3  (58264 ms)
  step 3900  E = -21.126582  E/N = -1.760549  Var(E_loc) = 7.03e-3  (59851 ms)
  step 4000  E = -21.126585  E/N = -1.760549  Var(E_loc) = 6.94e-3  (61429 ms)
trained: 4000 steps, 61430 ms
wrote .lake/build/nqs_ising_mlp_n12_sm_h160_symref_metrics.json, _curve.csv, _samples.bin, _params.bin
mlp N=12 h=1.600000: E = -21.126585  E/N = -1.760549  Var(E_loc) = 6.94e-3  <sx> = 0.89322  C(N/2) = 0.02984  (4096 samples, 5057 params, 61 s)
