nqs-ising-mlp-n12-sm: 5057 params, N = 12, h = 1.800000, J = 1.000000, 4000 steps, enumeration of 4096 configurations, Z2-symmetrised mean-field reference, seed 1
  mean field: φ = 1.1198, E_MF = -21.720000
[pjrt_ffi] allocator: 1 create option(s), memory_fraction=0.150
I0912 00:44:40.486119 2084674 service.cc:154] XLA service 0x7548fc028880 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
I0912 00:44:40.486161 2084674 service.cc:170]   StreamExecutor [0]: NVIDIA GeForce RTX 4060 Ti, Compute Capability 8.9 (Driver: 12.9.0[575.57.8]; Runtime: 12.9.0; Toolkit: 12.9.0; DNN: 9.23.2)
I0912 00:44:40.488158 2084674 se_gpu_pjrt_client.cc:1342] Using BFC allocator.
I0912 00:44:40.488205 2084674 gpu_helpers.cc:162] XLA backend allocating 2.34GiB (2510290944 bytes) on device 0 for BFCAllocator.
I0912 00:44:40.497023 2084674 cuda_dnn.cc:440] Loaded cuDNN version 92302
[pjrt_ffi] XLA backend: PJRT 0.114, 1 device(s)
[pjrt_ffi] command buffers: enabled (CUDA default)
I0912 00:44:41.070827 2084709 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'gemm_fusion_dot_3', 4 bytes spill stores, 4 bytes spill loads

[pjrt_ffi] compiled .lake/build/nqs_ising_mlp_n12_sm_train_step.mlir (@main, 19 outputs, 1 replica) in 1063 ms
[pjrt_ffi] compiled .lake/build/nqs_ising_mlp_n12_sm_fwd_eval.mlir (@forward_eval, 1 outputs, 1 replica) in 722 ms
  sessions loaded
  step 0  E = -22.222125  E/N = -1.851844  Var(E_loc) = 7.67e+0  (11 ms)
  step 100  E = -23.273957  E/N = -1.939496  Var(E_loc) = 5.43e-1  (1536 ms)
  step 200  E = -23.291112  E/N = -1.940926  Var(E_loc) = 2.36e-1  (3014 ms)
  step 300  E = -23.295563  E/N = -1.941297  Var(E_loc) = 1.44e-1  (4464 ms)
  step 400  E = -23.297706  E/N = -1.941476  Var(E_loc) = 9.82e-2  (5932 ms)
  step 500  E = -23.298927  E/N = -1.941577  Var(E_loc) = 7.10e-2  (7417 ms)
  step 600  E = -23.299644  E/N = -1.941637  Var(E_loc) = 5.46e-2  (8919 ms)
  step 700  E = -23.300120  E/N = -1.941677  Var(E_loc) = 4.34e-2  (10343 ms)
  step 800  E = -23.300439  E/N = -1.941703  Var(E_loc) = 3.59e-2  (11811 ms)
  step 900  E = -23.300682  E/N = -1.941724  Var(E_loc) = 3.01e-2  (13279 ms)
  step 1000  E = -23.300868  E/N = -1.941739  Var(E_loc) = 2.57e-2  (14784 ms)
  step 1100  E = -23.301005  E/N = -1.941750  Var(E_loc) = 2.23e-2  (16263 ms)
  step 1200  E = -23.301112  E/N = -1.941759  Var(E_loc) = 1.97e-2  (17811 ms)
  step 1300  E = -23.301190  E/N = -1.941766  Var(E_loc) = 1.76e-2  (19285 ms)
  step 1400  E = -23.301267  E/N = -1.941772  Var(E_loc) = 1.58e-2  (20779 ms)
  step 1500  E = -23.301322  E/N = -1.941777  Var(E_loc) = 1.44e-2  (22221 ms)
  step 1600  E = -23.301375  E/N = -1.941781  Var(E_loc) = 1.30e-2  (23655 ms)
  step 1700  E = -23.301419  E/N = -1.941785  Var(E_loc) = 1.20e-2  (25165 ms)
  step 1800  E = -23.301454  E/N = -1.941788  Var(E_loc) = 1.10e-2  (26660 ms)
  step 1900  E = -23.301490  E/N = -1.941791  Var(E_loc) = 1.02e-2  (28163 ms)
  step 2000  E = -23.301518  E/N = -1.941793  Var(E_loc) = 9.44e-3  (29653 ms)
  step 2100  E = -23.301542  E/N = -1.941795  Var(E_loc) = 8.82e-3  (31122 ms)
  step 2200  E = -23.301562  E/N = -1.941797  Var(E_loc) = 8.29e-3  (32610 ms)
  step 2300  E = -23.301578  E/N = -1.941798  Var(E_loc) = 7.85e-3  (34135 ms)
  step 2400  E = -23.301596  E/N = -1.941800  Var(E_loc) = 7.44e-3  (35573 ms)
  step 2500  E = -23.301609  E/N = -1.941801  Var(E_loc) = 7.08e-3  (37115 ms)
  step 2600  E = -23.301620  E/N = -1.941802  Var(E_loc) = 6.80e-3  (38554 ms)
  step 2700  E = -23.301631  E/N = -1.941803  Var(E_loc) = 6.53e-3  (40068 ms)
  step 2800  E = -23.301639  E/N = -1.941803  Var(E_loc) = 6.33e-3  (41585 ms)
  step 2900  E = -23.301646  E/N = -1.941804  Var(E_loc) = 6.14e-3  (43047 ms)
  step 3000  E = -23.301653  E/N = -1.941804  Var(E_loc) = 5.96e-3  (44517 ms)
  step 3100  E = -23.301658  E/N = -1.941805  Var(E_loc) = 5.81e-3  (45961 ms)
  step 3200  E = -23.301663  E/N = -1.941805  Var(E_loc) = 5.69e-3  (47464 ms)
  step 3300  E = -23.301667  E/N = -1.941806  Var(E_loc) = 5.59e-3  (48929 ms)
  step 3400  E = -23.301672  E/N = -1.941806  Var(E_loc) = 5.48e-3  (50393 ms)
  step 3500  E = -23.301675  E/N = -1.941806  Var(E_loc) = 5.39e-3  (51876 ms)
  step 3600  E = -23.301677  E/N = -1.941806  Var(E_loc) = 5.33e-3  (53386 ms)
  step 3700  E = -23.301680  E/N = -1.941807  Var(E_loc) = 5.26e-3  (54884 ms)
  step 3800  E = -23.301682  E/N = -1.941807  Var(E_loc) = 5.21e-3  (56340 ms)
  step 3900  E = -23.301684  E/N = -1.941807  Var(E_loc) = 5.15e-3  (57844 ms)
  step 4000  E = -23.301686  E/N = -1.941807  Var(E_loc) = 5.11e-3  (59365 ms)
trained: 4000 steps, 59366 ms
wrote .lake/build/nqs_ising_mlp_n12_sm_h180_symref_metrics.json, _curve.csv, _samples.bin, _params.bin
mlp N=12 h=1.800000: E = -23.301686  E/N = -1.941807  Var(E_loc) = 5.11e-3  <sx> = 0.91755  C(N/2) = 0.01436  (4096 samples, 5057 params, 59 s)
