nqs-ising-mlp-n12-sm: 5057 params, N = 12, h = 2.000000, J = 1.000000, 4000 steps, enumeration of 4096 configurations, Z2-symmetrised mean-field reference, seed 1
  mean field: φ = 1.5708, E_MF = -24.000000
[pjrt_ffi] allocator: 1 create option(s), memory_fraction=0.150
I0912 00:45:42.494741 2084951 service.cc:154] XLA service 0x7b87c4028880 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
I0912 00:45:42.494782 2084951 service.cc:170]   StreamExecutor [0]: NVIDIA GeForce RTX 4060 Ti, Compute Capability 8.9 (Driver: 12.9.0[575.57.8]; Runtime: 12.9.0; Toolkit: 12.9.0; DNN: 9.23.2)
I0912 00:45:42.496482 2084951 se_gpu_pjrt_client.cc:1342] Using BFC allocator.
I0912 00:45:42.496525 2084951 gpu_helpers.cc:162] XLA backend allocating 2.34GiB (2510290944 bytes) on device 0 for BFCAllocator.
I0912 00:45:42.504538 2084951 cuda_dnn.cc:440] Loaded cuDNN version 92302
[pjrt_ffi] XLA backend: PJRT 0.114, 1 device(s)
[pjrt_ffi] command buffers: enabled (CUDA default)
I0912 00:45:42.995409 2084986 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'gemm_fusion_dot_3', 4 bytes spill stores, 4 bytes spill loads

[pjrt_ffi] compiled .lake/build/nqs_ising_mlp_n12_sm_train_step.mlir (@main, 19 outputs, 1 replica) in 1050 ms
[pjrt_ffi] compiled .lake/build/nqs_ising_mlp_n12_sm_fwd_eval.mlir (@forward_eval, 1 outputs, 1 replica) in 645 ms
  sessions loaded
  step 0  E = -24.000000  E/N = -2.000000  Var(E_loc) = 1.20e+1  (17 ms)
  step 100  E = -25.495875  E/N = -2.124656  Var(E_loc) = 6.35e-1  (1483 ms)
  step 200  E = -25.512996  E/N = -2.126083  Var(E_loc) = 2.85e-1  (2950 ms)
  step 300  E = -25.518152  E/N = -2.126513  Var(E_loc) = 1.71e-1  (4464 ms)
  step 400  E = -25.520515  E/N = -2.126710  Var(E_loc) = 1.17e-1  (5883 ms)
  step 500  E = -25.521708  E/N = -2.126809  Var(E_loc) = 8.86e-2  (7341 ms)
  step 600  E = -25.522454  E/N = -2.126871  Var(E_loc) = 7.04e-2  (8827 ms)
  step 700  E = -25.522959  E/N = -2.126913  Var(E_loc) = 5.79e-2  (10244 ms)
  step 800  E = -25.523331  E/N = -2.126944  Var(E_loc) = 4.86e-2  (11711 ms)
  step 900  E = -25.523627  E/N = -2.126969  Var(E_loc) = 4.11e-2  (13151 ms)
  step 1000  E = -25.523847  E/N = -2.126987  Var(E_loc) = 3.54e-2  (14600 ms)
  step 1100  E = -25.524017  E/N = -2.127001  Var(E_loc) = 3.10e-2  (16017 ms)
  step 1200  E = -25.524152  E/N = -2.127013  Var(E_loc) = 2.74e-2  (17550 ms)
  step 1300  E = -25.524256  E/N = -2.127021  Var(E_loc) = 2.46e-2  (18984 ms)
  step 1400  E = -25.524342  E/N = -2.127028  Var(E_loc) = 2.23e-2  (20469 ms)
  step 1500  E = -25.524416  E/N = -2.127035  Var(E_loc) = 2.03e-2  (21892 ms)
  step 1600  E = -25.524480  E/N = -2.127040  Var(E_loc) = 1.85e-2  (23405 ms)
  step 1700  E = -25.524533  E/N = -2.127044  Var(E_loc) = 1.71e-2  (24845 ms)
  step 1800  E = -25.524576  E/N = -2.127048  Var(E_loc) = 1.59e-2  (26352 ms)
  step 1900  E = -25.524613  E/N = -2.127051  Var(E_loc) = 1.49e-2  (27791 ms)
  step 2000  E = -25.524647  E/N = -2.127054  Var(E_loc) = 1.40e-2  (29266 ms)
  step 2100  E = -25.524676  E/N = -2.127056  Var(E_loc) = 1.32e-2  (30779 ms)
  step 2200  E = -25.524702  E/N = -2.127058  Var(E_loc) = 1.25e-2  (32237 ms)
  step 2300  E = -25.524726  E/N = -2.127061  Var(E_loc) = 1.18e-2  (33718 ms)
  step 2400  E = -25.524747  E/N = -2.127062  Var(E_loc) = 1.12e-2  (35177 ms)
  step 2500  E = -25.524765  E/N = -2.127064  Var(E_loc) = 1.07e-2  (36650 ms)
  step 2600  E = -25.524780  E/N = -2.127065  Var(E_loc) = 1.03e-2  (38121 ms)
  step 2700  E = -25.524793  E/N = -2.127066  Var(E_loc) = 9.94e-3  (39604 ms)
  step 2800  E = -25.524805  E/N = -2.127067  Var(E_loc) = 9.62e-3  (41061 ms)
  step 2900  E = -25.524814  E/N = -2.127068  Var(E_loc) = 9.35e-3  (42542 ms)
  step 3000  E = -25.524824  E/N = -2.127069  Var(E_loc) = 9.08e-3  (43975 ms)
  step 3100  E = -25.524832  E/N = -2.127069  Var(E_loc) = 8.87e-3  (45495 ms)
  step 3200  E = -25.524838  E/N = -2.127070  Var(E_loc) = 8.68e-3  (46929 ms)
  step 3300  E = -25.524844  E/N = -2.127070  Var(E_loc) = 8.51e-3  (48395 ms)
  step 3400  E = -25.524850  E/N = -2.127071  Var(E_loc) = 8.35e-3  (49879 ms)
  step 3500  E = -25.524854  E/N = -2.127071  Var(E_loc) = 8.23e-3  (51325 ms)
  step 3600  E = -25.524857  E/N = -2.127071  Var(E_loc) = 8.14e-3  (52775 ms)
  step 3700  E = -25.524861  E/N = -2.127072  Var(E_loc) = 8.04e-3  (54243 ms)
  step 3800  E = -25.524864  E/N = -2.127072  Var(E_loc) = 7.94e-3  (55686 ms)
  step 3900  E = -25.524867  E/N = -2.127072  Var(E_loc) = 7.87e-3  (57102 ms)
  step 4000  E = -25.524869  E/N = -2.127072  Var(E_loc) = 7.80e-3  (58543 ms)
trained: 4000 steps, 58544 ms
wrote .lake/build/nqs_ising_mlp_n12_sm_h200_symref_metrics.json, _curve.csv, _samples.bin, _params.bin
mlp N=12 h=2.000000: E = -25.524869  E/N = -2.127072  Var(E_loc) = 7.80e-3  <sx> = 0.93419  C(N/2) = 0.00747  (4096 samples, 5057 params, 58 s)
