nqs-ising-vit-n12-sv: 25825 params, N = 12, h = 0.400000, J = 1.000000, 4000 steps, enumeration of 4096 configurations, Z2-symmetrised mean-field reference, seed 1
  mean field: φ = 0.2014, E_MF = -12.480000
[pjrt_ffi] allocator: 1 create option(s), memory_fraction=0.150
I0912 00:20:21.461333 2052998 service.cc:154] XLA service 0x7b63ec028880 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
I0912 00:20:21.461368 2052998 service.cc:170]   StreamExecutor [0]: NVIDIA GeForce RTX 4060 Ti, Compute Capability 8.9 (Driver: 12.9.0[575.57.8]; Runtime: 12.9.0; Toolkit: 12.9.0; DNN: 9.23.2)
I0912 00:20:21.462917 2052998 se_gpu_pjrt_client.cc:1342] Using BFC allocator.
I0912 00:20:21.462953 2052998 gpu_helpers.cc:162] XLA backend allocating 2.34GiB (2510290944 bytes) on device 0 for BFCAllocator.
I0912 00:20:21.470292 2052998 cuda_dnn.cc:440] Loaded cuDNN version 92302
[pjrt_ffi] XLA backend: PJRT 0.114, 1 device(s)
[pjrt_ffi] command buffers: enabled (CUDA default)
I0912 00:20:22.754222 2053039 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'gemm_fusion_dot_128', 8 bytes spill stores, 8 bytes spill loads

I0912 00:20:23.246430 2053039 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'gemm_fusion_dot_130', 4 bytes spill stores, 4 bytes spill loads

I0912 00:20:25.384395 2053033 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'fusion_249', 356 bytes spill stores, 360 bytes spill loads

I0912 00:20:25.426129 2053012 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'fusion_250', 312 bytes spill stores, 324 bytes spill loads

I0912 00:20:25.915951 2053039 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'fusion_248', 384 bytes spill stores, 460 bytes spill loads

I0912 00:20:25.967130 2053013 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'fusion_247', 300 bytes spill stores, 384 bytes spill loads

[pjrt_ffi] compiled .lake/build/nqs_ising_vit_n12_sv_train_step.mlir (@main, 115 outputs, 1 replica) in 4519 ms
[pjrt_ffi] compiled .lake/build/nqs_ising_vit_n12_sv_fwd_eval.mlir (@forward_eval, 1 outputs, 1 replica) in 457 ms
  sessions loaded
  step 0  E = -12.480000  E/N = -1.040000  Var(E_loc) = 1.92e-2  (62 ms)
  step 100  E = -12.484393  E/N = -1.040366  Var(E_loc) = 2.56e-3  (2432 ms)
  step 200  E = -12.484405  E/N = -1.040367  Var(E_loc) = 2.40e-3  (4800 ms)
  step 300  E = -12.484731  E/N = -1.040394  Var(E_loc) = 1.31e-3  (7165 ms)
  step 400  E = -12.484854  E/N = -1.040404  Var(E_loc) = 7.98e-4  (9537 ms)
  step 500  E = -12.484896  E/N = -1.040408  Var(E_loc) = 6.13e-4  (11992 ms)
  step 600  E = -12.484920  E/N = -1.040410  Var(E_loc) = 4.99e-4  (14359 ms)
  step 700  E = -12.484934  E/N = -1.040411  Var(E_loc) = 3.91e-4  (16809 ms)
  step 800  E = -12.484949  E/N = -1.040412  Var(E_loc) = 3.35e-4  (19167 ms)
  step 900  E = -12.484959  E/N = -1.040413  Var(E_loc) = 2.76e-4  (21582 ms)
  step 1000  E = -12.484968  E/N = -1.040414  Var(E_loc) = 2.37e-4  (24034 ms)
  step 1100  E = -12.484973  E/N = -1.040414  Var(E_loc) = 2.18e-4  (26484 ms)
  step 1200  E = -12.484974  E/N = -1.040415  Var(E_loc) = 2.08e-4  (28895 ms)
  step 1300  E = -12.484983  E/N = -1.040415  Var(E_loc) = 1.59e-4  (31234 ms)
  step 1400  E = -12.484985  E/N = -1.040415  Var(E_loc) = 1.48e-4  (33599 ms)
  step 1500  E = -12.484986  E/N = -1.040415  Var(E_loc) = 1.43e-4  (35974 ms)
  step 1600  E = -12.484989  E/N = -1.040416  Var(E_loc) = 1.25e-4  (38417 ms)
  step 1700  E = -12.484988  E/N = -1.040416  Var(E_loc) = 1.28e-4  (40871 ms)
  step 1800  E = -12.484991  E/N = -1.040416  Var(E_loc) = 1.10e-4  (43316 ms)
  step 1900  E = -12.484991  E/N = -1.040416  Var(E_loc) = 1.09e-4  (45759 ms)
  step 2000  E = -12.484990  E/N = -1.040416  Var(E_loc) = 1.10e-4  (48161 ms)
  step 2100  E = -12.484992  E/N = -1.040416  Var(E_loc) = 9.88e-5  (50597 ms)
  step 2200  E = -12.484993  E/N = -1.040416  Var(E_loc) = 9.58e-5  (52996 ms)
  step 2300  E = -12.484994  E/N = -1.040416  Var(E_loc) = 9.16e-5  (55366 ms)
  step 2400  E = -12.484994  E/N = -1.040416  Var(E_loc) = 8.81e-5  (57785 ms)
  step 2500  E = -12.484994  E/N = -1.040416  Var(E_loc) = 8.58e-5  (60174 ms)
