nqs-ising-vit-n12-sv: 25825 params, N = 12, h = 0.800000, J = 1.000000, 4000 steps, enumeration of 4096 configurations, Z2-symmetrised mean-field reference, seed 1
  mean field: φ = 0.4115, E_MF = -13.920000
[pjrt_ffi] allocator: 1 create option(s), memory_fraction=0.150
I0912 00:23:45.596391 2054419 service.cc:154] XLA service 0x734770028880 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
I0912 00:23:45.596423 2054419 service.cc:170]   StreamExecutor [0]: NVIDIA GeForce RTX 4060 Ti, Compute Capability 8.9 (Driver: 12.9.0[575.57.8]; Runtime: 12.9.0; Toolkit: 12.9.0; DNN: 9.23.2)
I0912 00:23:45.598155 2054419 se_gpu_pjrt_client.cc:1342] Using BFC allocator.
I0912 00:23:45.598199 2054419 gpu_helpers.cc:162] XLA backend allocating 2.34GiB (2510290944 bytes) on device 0 for BFCAllocator.
I0912 00:23:45.606960 2054419 cuda_dnn.cc:440] Loaded cuDNN version 92302
[pjrt_ffi] XLA backend: PJRT 0.114, 1 device(s)
[pjrt_ffi] command buffers: enabled (CUDA default)
I0912 00:23:46.864782 2054460 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'gemm_fusion_dot_128', 8 bytes spill stores, 8 bytes spill loads

I0912 00:23:47.359619 2054460 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'gemm_fusion_dot_130', 4 bytes spill stores, 4 bytes spill loads

I0912 00:23:49.600979 2054435 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'fusion_249', 356 bytes spill stores, 360 bytes spill loads

I0912 00:23:49.620128 2054431 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'fusion_250', 312 bytes spill stores, 324 bytes spill loads

I0912 00:23:50.127479 2054458 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'fusion_247', 300 bytes spill stores, 384 bytes spill loads

I0912 00:23:50.160530 2054429 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'fusion_248', 384 bytes spill stores, 460 bytes spill loads

[pjrt_ffi] compiled .lake/build/nqs_ising_vit_n12_sv_train_step.mlir (@main, 115 outputs, 1 replica) in 4574 ms
[pjrt_ffi] compiled .lake/build/nqs_ising_vit_n12_sv_fwd_eval.mlir (@forward_eval, 1 outputs, 1 replica) in 423 ms
  sessions loaded
  step 0  E = -13.920169  E/N = -1.160014  Var(E_loc) = 3.08e-1  (15 ms)
  step 100  E = -13.983043  E/N = -1.165254  Var(E_loc) = 1.18e-1  (2484 ms)
  step 200  E = -14.001293  E/N = -1.166774  Var(E_loc) = 8.13e-2  (4904 ms)
  step 300  E = -14.005060  E/N = -1.167088  Var(E_loc) = 7.20e-2  (7248 ms)
  step 400  E = -14.009256  E/N = -1.167438  Var(E_loc) = 7.25e-2  (9655 ms)
  step 500  E = -14.013020  E/N = -1.167752  Var(E_loc) = 5.85e-2  (12050 ms)
  step 600  E = -14.015659  E/N = -1.167972  Var(E_loc) = 4.71e-2  (14464 ms)
  step 700  E = -14.017344  E/N = -1.168112  Var(E_loc) = 3.77e-2  (16846 ms)
  step 800  E = -14.018179  E/N = -1.168182  Var(E_loc) = 3.20e-2  (19250 ms)
  step 900  E = -14.018831  E/N = -1.168236  Var(E_loc) = 2.45e-2  (21573 ms)
  step 1000  E = -14.019377  E/N = -1.168281  Var(E_loc) = 2.09e-2  (24014 ms)
  step 1100  E = -14.019603  E/N = -1.168300  Var(E_loc) = 1.85e-2  (26395 ms)
  step 1200  E = -14.019837  E/N = -1.168320  Var(E_loc) = 1.64e-2  (28766 ms)
  step 1300  E = -14.019826  E/N = -1.168319  Var(E_loc) = 1.62e-2  (31239 ms)
  step 1400  E = -14.020079  E/N = -1.168340  Var(E_loc) = 1.34e-2  (33596 ms)
  step 1500  E = -14.020243  E/N = -1.168354  Var(E_loc) = 1.18e-2  (35980 ms)
  step 1600  E = -14.020332  E/N = -1.168361  Var(E_loc) = 1.05e-2  (38403 ms)
  step 1700  E = -14.020330  E/N = -1.168361  Var(E_loc) = 9.86e-3  (40788 ms)
  step 1800  E = -14.020454  E/N = -1.168371  Var(E_loc) = 9.39e-3  (43203 ms)
  step 1900  E = -14.020487  E/N = -1.168374  Var(E_loc) = 8.40e-3  (45658 ms)
  step 2000  E = -14.020571  E/N = -1.168381  Var(E_loc) = 7.87e-3  (48111 ms)
  step 2100  E = -14.020610  E/N = -1.168384  Var(E_loc) = 7.47e-3  (50595 ms)
  step 2200  E = -14.020636  E/N = -1.168386  Var(E_loc) = 6.96e-3  (53075 ms)
  step 2300  E = -14.020636  E/N = -1.168386  Var(E_loc) = 6.62e-3  (55531 ms)
  step 2400  E = -14.020687  E/N = -1.168391  Var(E_loc) = 6.31e-3  (57951 ms)
  step 2500  E = -14.020710  E/N = -1.168393  Var(E_loc) = 6.10e-3  (60571 ms)
