nqs-ising-vit-n12-sv: 25825 params, N = 12, h = 1.000000, J = 1.000000, 4000 steps, enumeration of 4096 configurations, Z2-symmetrised mean-field reference, seed 1
  mean field: φ = 0.5236, E_MF = -15.000000
[pjrt_ffi] allocator: 1 create option(s), memory_fraction=0.150
I0912 00:25:33.001513 2055246 service.cc:154] XLA service 0x78a990028880 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
I0912 00:25:33.001549 2055246 service.cc:170]   StreamExecutor [0]: NVIDIA GeForce RTX 4060 Ti, Compute Capability 8.9 (Driver: 12.9.0[575.57.8]; Runtime: 12.9.0; Toolkit: 12.9.0; DNN: 9.23.2)
I0912 00:25:33.003205 2055246 se_gpu_pjrt_client.cc:1342] Using BFC allocator.
I0912 00:25:33.003244 2055246 gpu_helpers.cc:162] XLA backend allocating 2.34GiB (2510290944 bytes) on device 0 for BFCAllocator.
I0912 00:25:33.011087 2055246 cuda_dnn.cc:440] Loaded cuDNN version 92302
[pjrt_ffi] XLA backend: PJRT 0.114, 1 device(s)
[pjrt_ffi] command buffers: enabled (CUDA default)
I0912 00:25:34.267661 2055287 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'gemm_fusion_dot_128', 8 bytes spill stores, 8 bytes spill loads

I0912 00:25:34.776481 2055287 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'gemm_fusion_dot_130', 4 bytes spill stores, 4 bytes spill loads

I0912 00:25:36.893020 2055282 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'fusion_250', 312 bytes spill stores, 324 bytes spill loads

I0912 00:25:36.925245 2055261 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'fusion_249', 356 bytes spill stores, 360 bytes spill loads

I0912 00:25:37.391552 2055276 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'fusion_247', 300 bytes spill stores, 384 bytes spill loads

I0912 00:25:37.416996 2055265 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'fusion_248', 384 bytes spill stores, 460 bytes spill loads

[pjrt_ffi] compiled .lake/build/nqs_ising_vit_n12_sv_train_step.mlir (@main, 115 outputs, 1 replica) in 4427 ms
[pjrt_ffi] compiled .lake/build/nqs_ising_vit_n12_sv_fwd_eval.mlir (@forward_eval, 1 outputs, 1 replica) in 410 ms
  sessions loaded
  step 0  E = -15.002197  E/N = -1.250183  Var(E_loc) = 7.64e-1  (14 ms)
  step 100  E = -15.183373  E/N = -1.265281  Var(E_loc) = 4.22e-1  (2376 ms)
  step 200  E = -15.249470  E/N = -1.270789  Var(E_loc) = 4.24e-1  (4718 ms)
  step 300  E = -15.291769  E/N = -1.274314  Var(E_loc) = 3.35e-1  (7005 ms)
  step 400  E = -15.304080  E/N = -1.275340  Var(E_loc) = 2.24e-1  (9399 ms)
  step 500  E = -15.309960  E/N = -1.275830  Var(E_loc) = 1.64e-1  (14292 ms)
  step 600  E = -15.311132  E/N = -1.275928  Var(E_loc) = 1.25e-1  (17115 ms)
  step 700  E = -15.315349  E/N = -1.276279  Var(E_loc) = 1.00e-1  (19807 ms)
  step 800  E = -15.315711  E/N = -1.276309  Var(E_loc) = 9.24e-2  (22322 ms)
  step 900  E = -15.317253  E/N = -1.276438  Var(E_loc) = 7.34e-2  (25056 ms)
  step 1000  E = -15.317764  E/N = -1.276480  Var(E_loc) = 6.26e-2  (27627 ms)
  step 1100  E = -15.319070  E/N = -1.276589  Var(E_loc) = 5.17e-2  (30068 ms)
  step 1200  E = -15.319311  E/N = -1.276609  Var(E_loc) = 4.42e-2  (32492 ms)
  step 1300  E = -15.319805  E/N = -1.276650  Var(E_loc) = 3.89e-2  (34975 ms)
  step 1400  E = -15.320213  E/N = -1.276684  Var(E_loc) = 3.50e-2  (37399 ms)
  step 1500  E = -15.320146  E/N = -1.276679  Var(E_loc) = 3.35e-2  (39876 ms)
  step 1600  E = -15.320262  E/N = -1.276688  Var(E_loc) = 2.99e-2  (42313 ms)
  step 1700  E = -15.320944  E/N = -1.276745  Var(E_loc) = 2.52e-2  (44821 ms)
  step 1800  E = -15.320937  E/N = -1.276745  Var(E_loc) = 2.41e-2  (47448 ms)
  step 1900  E = -15.321027  E/N = -1.276752  Var(E_loc) = 2.27e-2  (50310 ms)
  step 2000  E = -15.321250  E/N = -1.276771  Var(E_loc) = 1.97e-2  (53689 ms)
  step 2100  E = -15.321404  E/N = -1.276784  Var(E_loc) = 1.83e-2  (57289 ms)
  step 2200  E = -15.321547  E/N = -1.276796  Var(E_loc) = 1.67e-2  (60930 ms)
  step 2300  E = -15.321539  E/N = -1.276795  Var(E_loc) = 1.62e-2  (64286 ms)
  step 2400  E = -15.321663  E/N = -1.276805  Var(E_loc) = 1.49e-2  (67261 ms)
  step 2500  E = -15.321744  E/N = -1.276812  Var(E_loc) = 1.38e-2  (69571 ms)
