step,E,var
0,-13.08000580,9.72e-2
100,-13.10531294,1.04e-2
200,-13.10618007,5.54e-3
300,-13.10647127,4.20e-3
400,-13.10662914,3.47e-3
500,-13.10679484,2.84e-3
600,-13.10687290,2.44e-3
700,-13.10691485,2.06e-3
800,-13.10698296,1.72e-3
900,-13.10698697,1.56e-3
1000,-13.10702724,1.35e-3
1100,-13.10704122,1.25e-3
1200,-13.10705165,1.16e-3
1300,-13.10704635,1.11e-3
1400,-13.10704940,1.07e-3
1500,-13.10707489,9.58e-4
1600,-13.10707569,9.12e-4
1700,-13.10708633,8.54e-4
1800,-13.10708934,8.17e-4
1900,-13.10709342,7.82e-4
2000,-13.10709664,7.56e-4
2100,-13.10709242,7.49e-4
2200,-13.10710002,7.16e-4
2300,-13.10710401,6.85e-4
2400,-13.10710641,6.62e-4
2500,-13.10710707,6.48e-4
2600,-13.10710981,6.31e-4
2700,-13.10711101,6.19e-4
2800,-13.10711225,6.06e-4
2900,-13.10711307,5.97e-4
3000,-13.10711374,5.89e-4
3100,-13.10711518,5.77e-4
3200,-13.10711578,5.70e-4
3300,-13.10711624,5.66e-4
3400,-13.10711679,5.61e-4
3500,-13.10711749,5.53e-4
3600,-13.10711782,5.50e-4
3700,-13.10711821,5.45e-4
3800,-13.10711808,5.43e-4
3900,-13.10711891,5.39e-4
4000,-13.10711921,5.36e-4
