step,E,var
0,-15.00219673,7.64e-1
100,-15.30385360,2.24e-1
200,-15.31806521,6.41e-2
300,-15.31998168,3.85e-2
400,-15.32076949,2.84e-2
500,-15.32118009,2.20e-2
600,-15.32139838,1.85e-2
700,-15.32162575,1.56e-2
800,-15.32175507,1.37e-2
900,-15.32183509,1.25e-2
1000,-15.32191668,1.13e-2
1100,-15.32191711,1.04e-2
1200,-15.32199596,9.56e-3
1300,-15.32206465,8.95e-3
1400,-15.32204608,8.68e-3
1500,-15.32212971,7.84e-3
1600,-15.32214036,7.46e-3
1700,-15.32218991,6.97e-3
1800,-15.32220810,6.58e-3
1900,-15.32222430,6.24e-3
2000,-15.32222629,6.01e-3
2100,-15.32226327,5.70e-3
2200,-15.32228154,5.44e-3
2300,-15.32228704,5.25e-3
2400,-15.32230265,5.06e-3
2500,-15.32231417,4.91e-3
2600,-15.32232365,4.76e-3
2700,-15.32232672,4.65e-3
2800,-15.32233114,4.58e-3
2900,-15.32233759,4.45e-3
3000,-15.32234608,4.37e-3
3100,-15.32235175,4.29e-3
3200,-15.32235493,4.23e-3
3300,-15.32235936,4.16e-3
3400,-15.32236289,4.11e-3
3500,-15.32236533,4.07e-3
3600,-15.32236741,4.02e-3
3700,-15.32236927,3.99e-3
3800,-15.32237133,3.96e-3
3900,-15.32237275,3.93e-3
4000,-15.32237451,3.91e-3
