step,E,var
0,-13.08000580,9.72e-2
100,-13.10094985,2.42e-2
200,-13.10401151,1.38e-2
300,-13.10454181,1.18e-2
400,-13.10533388,8.36e-3
500,-13.10607488,6.08e-3
600,-13.10636673,4.32e-3
700,-13.10650560,3.73e-3
800,-13.10645776,4.27e-3
900,-13.10663437,3.00e-3
1000,-13.10671699,2.90e-3
1100,-13.10675565,2.79e-3
1200,-13.10679423,2.58e-3
1300,-13.10680849,2.41e-3
1400,-13.10682352,2.52e-3
1500,-13.10684990,2.40e-3
1600,-13.10687857,2.21e-3
1700,-13.10688494,2.16e-3
1800,-13.10690251,2.11e-3
1900,-13.10692679,1.88e-3
2000,-13.10694520,1.81e-3
2100,-13.10695585,1.78e-3
2200,-13.10696666,1.73e-3
2300,-13.10698005,1.64e-3
2400,-13.10699570,1.53e-3
2500,-13.10700592,1.50e-3
2600,-13.10701441,1.43e-3
2700,-13.10702171,1.40e-3
2800,-13.10702851,1.34e-3
2900,-13.10703568,1.31e-3
3000,-13.10704033,1.27e-3
3100,-13.10704458,1.24e-3
3200,-13.10704819,1.23e-3
3300,-13.10705117,1.20e-3
3400,-13.10705331,1.18e-3
3500,-13.10705527,1.17e-3
3600,-13.10705715,1.16e-3
3700,-13.10705849,1.14e-3
3800,-13.10705975,1.13e-3
3900,-13.10706083,1.13e-3
4000,-13.10706198,1.11e-3
